id	type	longitude	latitude	elevation
100001	1000	0.0	70.0	0.0
200001	1000	0.0	70.0	0.0
1	100	0.0	70.0	0.0
100002	1000	30.0	70.0	0.0
200002	1000	30.0	70.0	0.0
2	100	30.0	70.0	0.0
100003	1000	0.0	60.0	0.0
200003	1000	0.0	60.0	0.0
3	100	0.0	60.0	0.0
100004	1000	10.0	60.0	0.0
200004	1000	10.0	60.0	0.0
4	100	10.0	60.0	0.0
100005	1000	20.0	60.0	0.0
200005	1000	20.0	60.0	0.0
5	100	20.0	60.0	0.0
100006	1000	30.0	60.0	0.0
200006	1000	30.0	60.0	0.0
6	100	30.0	60.0	0.0
100007	1000	40.0	50.0	0.0
200007	1000	40.0	50.0	0.0
7	100	40.0	50.0	0.0
100008	1000	30.0	50.0	0.0
200008	1000	30.0	50.0	0.0
8	100	30.0	50.0	0.0
100009	1000	20.0	50.0	0.0
200009	1000	20.0	50.0	0.0
9	100	20.0	50.0	0.0
100010	1000	20.0	40.0	0.0
200010	1000	20.0	40.0	0.0
10	100	20.0	40.0	0.0
100011	1000	10.0	40.0	0.0
200011	1000	10.0	40.0	0.0
11	100	10.0	40.0	0.0
100012	1000	0.0	40.0	0.0
200012	1000	0.0	40.0	0.0
12	100	0.0	40.0	0.0
100013	1000	0.0	0.0	0.0
200013	1000	0.0	0.0	0.0
13	100	0.0	0.0	0.0
100014	1000	10.0	20.0	0.0
200014	1000	10.0	20.0	0.0
14	100	10.0	20.0	0.0
100015	1000	20.0	20.0	0.0
200015	1000	20.0	20.0	0.0
15	100	20.0	20.0	0.0
100016	1000	30.0	40.0	0.0
200016	1000	30.0	40.0	0.0
16	100	30.0	40.0	0.0
100017	1000	30.0	30.0	0.0
200017	1000	30.0	30.0	0.0
17	100	30.0	30.0	0.0
100018	1000	40.0	40.0	0.0
200018	1000	40.0	40.0	0.0
18	100	40.0	40.0	0.0
100019	1000	30.0	20.0	0.0
200019	1000	30.0	20.0	0.0
19	100	30.0	20.0	0.0
100020	1000	30.0	0.0	0.0
200020	1000	30.0	0.0	0.0
20	100	30.0	0.0	0.0
100021	1000	20.0	0.0	0.0
200021	1000	20.0	0.0	0.0
21	100	20.0	0.0	0.0
100022	1000	20.0	10.0	0.0
200022	1000	20.0	10.0	0.0
22	100	20.0	10.0	0.0
100023	1000	10.0	10.0	0.0
200023	1000	10.0	10.0	0.0
23	100	10.0	10.0	0.0
100024	1000	10.0	0.0	0.0
200024	1000	10.0	0.0	0.0
24	100	10.0	0.0	0.0
