id	type	origin	dest	ast	demand
1	121	9001	9002	0	2.3616
2	121	9001	9002	1	2.3616
3	111	9001	9002	0	3.5423999999999998
4	111	9001	9002	1	3.5423999999999998
5	121	9001	9003	0	1.7072880000000001
6	121	9001	9003	1	1.7072880000000001
7	111	9001	9003	0	2.560932
8	111	9001	9003	1	2.560932
9	121	9001	9004	0	11.929460000000002
10	121	9001	9004	1	11.929460000000002
11	111	9001	9004	0	17.894190000000002
12	111	9001	9004	1	17.894190000000002
13	121	9001	9006	0	4.2077599999999995
14	121	9001	9006	1	4.2077599999999995
15	111	9001	9006	0	6.31164
16	111	9001	9006	1	6.31164
17	121	9001	9007	0	3.55014
18	121	9001	9007	1	3.55014
19	111	9001	9007	0	5.325209999999999
20	111	9001	9007	1	5.325209999999999
21	121	9001	9008	0	6.707640000000001
22	121	9001	9008	1	6.707640000000001
23	111	9001	9008	0	10.06146
24	111	9001	9008	1	10.06146
25	121	9001	9009	0	5.646560000000001
26	121	9001	9009	1	5.646560000000001
27	111	9001	9009	0	8.46984
28	111	9001	9009	1	8.46984
29	121	9001	9010	0	14.21616
30	121	9001	9010	1	14.21616
31	111	9001	9010	0	21.32424
32	111	9001	9010	1	21.32424
33	121	9001	9011	0	8.67638
34	121	9001	9011	1	8.67638
35	111	9001	9011	0	13.01457
36	111	9001	9011	1	13.01457
37	121	9001	9012	0	12.119280000000002
38	121	9001	9012	1	12.119280000000002
39	111	9001	9012	0	18.17892
40	111	9001	9012	1	18.17892
41	121	9001	9013	0	11.557360000000001
42	121	9001	9013	1	11.557360000000001
43	111	9001	9013	0	17.33604
44	111	9001	9013	1	17.33604
45	121	9001	9014	0	4.1261
46	121	9001	9014	1	4.1261
47	111	9001	9014	0	6.189150000000001
48	111	9001	9014	1	6.189150000000001
49	121	9001	9015	0	4.31814
50	121	9001	9015	1	4.31814
51	111	9001	9015	0	6.4772099999999995
52	111	9001	9015	1	6.4772099999999995
53	121	9001	9016	0	8.124360000000001
54	121	9001	9016	1	8.124360000000001
55	111	9001	9016	0	12.186539999999999
56	111	9001	9016	1	12.186539999999999
57	121	9001	9017	0	6.7127
58	121	9001	9017	1	6.7127
59	111	9001	9017	0	10.069049999999999
60	111	9001	9017	1	10.069049999999999
61	121	9001	9018	0	10.440280000000001
62	121	9001	9018	1	10.440280000000001
63	111	9001	9018	0	15.660419999999998
64	111	9001	9018	1	15.660419999999998
65	121	9001	9019	0	2.1426600000000002
66	121	9001	9019	1	2.1426600000000002
67	111	9001	9019	0	3.21399
68	111	9001	9019	1	3.21399
69	121	9001	9020	0	5.07418
70	121	9001	9020	1	5.07418
71	111	9001	9020	0	7.611269999999999
72	111	9001	9020	1	7.611269999999999
73	121	9001	9021	0	2.3357
74	121	9001	9021	1	2.3357
75	111	9001	9021	0	3.5035499999999997
76	111	9001	9021	1	3.5035499999999997
77	121	9001	9022	0	4.874740000000001
78	121	9001	9022	1	4.874740000000001
79	111	9001	9022	0	7.3121100000000006
80	111	9001	9022	1	7.3121100000000006
81	121	9001	9023	0	4.92568
82	121	9001	9023	1	4.92568
83	111	9001	9023	0	7.38852
84	111	9001	9023	1	7.38852
85	121	9001	9024	0	5.018940000000001
86	121	9001	9024	1	5.018940000000001
87	111	9001	9024	0	7.528409999999999
88	111	9001	9024	1	7.528409999999999
89	121	9002	9001	0	2.2014600000000004
90	121	9002	9001	1	2.2014600000000004
91	111	9002	9001	0	3.30219
92	111	9002	9001	1	3.30219
93	121	9002	9004	0	2.5473600000000003
94	121	9002	9004	1	2.5473600000000003
95	111	9002	9004	0	3.82104
96	111	9002	9004	1	3.82104
97	121	9002	9006	0	1.794078
98	121	9002	9006	1	1.794078
99	111	9002	9006	0	2.6911169999999998
100	111	9002	9006	1	2.6911169999999998
101	121	9002	9007	0	2.3569
102	121	9002	9007	1	2.3569
103	111	9002	9007	0	3.5353499999999998
104	111	9002	9007	1	3.5353499999999998
