id	type	origin	destination	demand
1	121	9001	9002	4.7232
2	111	9001	9002	7.0847999999999995
3	121	9001	9003	3.4145760000000003
4	111	9001	9003	5.121864
5	121	9001	9004	23.858920000000005
6	111	9001	9004	35.788380000000004
7	121	9001	9006	8.415519999999999
8	111	9001	9006	12.62328
9	121	9001	9007	7.10028
10	111	9001	9007	10.650419999999999
11	121	9001	9008	13.415280000000003
12	111	9001	9008	20.12292
13	121	9001	9009	11.293120000000002
14	111	9001	9009	16.93968
15	121	9001	9010	28.43232
16	111	9001	9010	42.64848
17	121	9001	9011	17.35276
18	111	9001	9011	26.02914
19	121	9001	9012	24.238560000000003
20	111	9001	9012	36.35784
21	121	9001	9013	23.114720000000002
22	111	9001	9013	34.67208
23	121	9001	9014	8.2522
24	111	9001	9014	12.378300000000001
25	121	9001	9015	8.63628
26	111	9001	9015	12.954419999999999
27	121	9001	9016	16.248720000000002
28	111	9001	9016	24.373079999999998
29	121	9001	9017	13.4254
30	111	9001	9017	20.138099999999998
31	121	9001	9018	20.880560000000003
32	111	9001	9018	31.320839999999997
33	121	9001	9019	4.2853200000000005
34	111	9001	9019	6.42798
35	121	9001	9020	10.14836
36	111	9001	9020	15.222539999999999
37	121	9001	9021	4.6714
38	111	9001	9021	7.007099999999999
39	121	9001	9022	9.749480000000002
40	111	9001	9022	14.624220000000001
41	121	9001	9023	9.85136
42	111	9001	9023	14.77704
43	121	9001	9024	10.037880000000001
44	111	9001	9024	15.056819999999998
45	121	9002	9001	4.402920000000001
46	111	9002	9001	6.60438
47	121	9002	9004	5.094720000000001
48	111	9002	9004	7.64208
49	121	9002	9006	3.588156
50	111	9002	9006	5.3822339999999995
51	121	9002	9007	4.7138
52	111	9002	9007	7.0706999999999995
53	121	9002	9008	7.7342
54	111	9002	9008	11.6013
55	121	9002	9009	4.68268
56	111	9002	9009	7.024019999999999
57	121	9002	9010	15.949000000000005
58	111	9002	9010	23.923500000000004
59	121	9002	9011	9.2346
60	111	9002	9011	13.8519
61	121	9002	9012	5.173760000000001
62	111	9002	9012	7.7606399999999995
63	121	9002	9013	6.8845600000000005
64	111	9002	9013	10.32684
65	121	9002	9014	6.225520000000001
66	111	9002	9014	9.338280000000001
67	121	9002	9015	6.72584
68	111	9002	9015	10.088759999999999
69	121	9002	9016	13.170320000000002
70	111	9002	9016	19.755480000000002
71	121	9002	9017	12.71772
72	111	9002	9017	19.07658
73	121	9002	9019	4.35604
74	111	9002	9019	6.53406
75	121	9002	9020	8.362720000000001
76	111	9002	9020	12.54408
77	121	9002	9022	8.952920000000002
78	111	9002	9022	13.429380000000002
79	121	9003	9001	3.229016
80	111	9003	9001	4.8435239999999995
81	121	9003	9004	3.736372000000001
82	111	9003	9004	5.604558000000001
83	121	9003	9006	2.6314800000000003
84	111	9003	9006	3.94722
85	121	9003	9007	3.4570160000000003
86	111	9003	9007	5.185524
87	121	9003	9008	5.67212
88	111	9003	9008	8.50818
89	121	9003	9009	3.4342
90	111	9003	9009	5.1513
91	121	9003	9010	11.69668
92	111	9003	9010	17.54502
93	121	9003	9011	6.772480000000001
94	111	9003	9011	10.15872
95	121	9003	9012	3.79432
96	111	9003	9012	5.691479999999999
97	121	9003	9013	5.049
98	111	9003	9013	7.5735
99	121	9003	9014	4.5656799999999995
100	111	9003	9014	6.84852
101	121	9003	9015	4.932600000000001
102	111	9003	9015	7.398899999999999
103	121	9003	9016	9.658880000000002
104	111	9003	9016	14.48832
105	121	9003	9017	9.32692
106	111	9003	9017	13.99038
107	121	9003	9022	6.56588
108	111	9003	9022	9.84882
109	121	9003	9023	5.048640000000001
110	111	9003	9023	7.57296
111	121	9004	9001	23.20612
112	111	9004	9001	34.80918
113	121	9004	9002	5.319120000000001
114	111	9004	9002	7.97868
115	121	9004	9003	3.845408
116	111	9004	9003	5.7681119999999995
117	121	9004	9006	14.671160000000008
118	111	9004	9006	22.006740000000008
119	121	9004	9007	8.98956
120	111	9004	9007	13.48434
121	121	9004	9008	16.9846
122	111	9004	9008	25.4769
123	121	9004	9009	26.385320000000004
124	111	9004	9009	39.577980000000004
125	121	9004	9010	54.05080000000001
126	111	9004	9010	81.0762
127	121	9004	9011	32.46584
128	111	9004	9011	48.69875999999999
129	121	9004	9012	27.291000000000004
130	111	9004	9012	40.9365
131	121	9004	9013	25.85232
132	111	9004	9013	38.778479999999995
133	121	9004	9014	12.94016
134	111	9004	9014	19.410239999999998
135	121	9004	9015	15.163280000000007
136	111	9004	9015	22.744920000000008
137	121	9004	9016	21.638040000000004
138	111	9004	9016	32.45706
139	121	9004	9017	18.36676
140	111	9004	9017	27.55014
141	121	9004	9019	7.443080000000001
142	111	9004	9019	11.164620000000001
143	121	9004	9020	12.404600000000002
144	111	9004	9020	18.6069
145	121	9004	9021	5.641440000000001
146	111	9004	9021	8.46216
147	121	9004	9022	15.80468
148	111	9004	9022	23.707019999999996
149	121	9004	9023	11.122160000000001
150	111	9004	9023	16.683239999999998
151	121	9004	9024	11.304400000000001
152	111	9004	9024	16.956599999999998
153	121	9005	9010	118.17280000000001
154	111	9005	9010	177.2592
155	121	9005	9014	46.127600000000015
156	111	9005	9014	69.19140000000002
157	121	9005	9021	29.869560000000003
158	111	9005	9021	44.80434
159	121	9006	9001	8.14656
160	111	9006	9001	12.21984
161	121	9006	9002	3.7245320000000017
162	111	9006	9002	5.586798000000002
163	121	9006	9003	2.692608
164	111	9006	9003	4.038912
165	121	9006	9004	12.40276
166	111	9006	9004	18.60414
167	121	9006	9007	13.82004
168	111	9006	9007	20.730059999999998
169	121	9006	9008	33.92632
170	111	9006	9008	50.88948
171	121	9006	9009	10.330440000000001
172	111	9006	9009	15.495659999999999
173	121	9006	9010	22.822519999999997
174	111	9006	9010	34.233779999999996
175	121	9006	9011	12.52392
176	111	9006	9011	18.78588
177	121	9006	9012	8.51628
178	111	9006	9012	12.774420000000001
179	121	9006	9013	9.575320000000001
180	111	9006	9013	14.36298
181	121	9006	9014	6.09948
182	111	9006	9014	9.14922
183	121	9006	9015	7.032360000000001
184	111	9006	9015	10.54854
185	121	9006	9016	24.719240000000006
186	111	9006	9016	37.078860000000006
187	121	9006	9017	18.080440000000003
188	111	9006	9017	27.12066
189	121	9006	9019	5.1738
190	111	9006	9019	7.7607
191	121	9006	9020	15.467800000000004
192	111	9006	9020	23.201700000000002
193	121	9006	9021	4.341680000000002
194	111	9006	9021	6.512520000000002
195	121	9006	9022	9.99712
196	111	9006	9022	14.995679999999998
197	121	9006	9023	5.8162400000000005
198	111	9006	9023	8.724359999999999
199	121	9006	9024	7.91552
200	111	9006	9024	11.87328
201	121	9007	9001	5.9838000000000005
202	111	9007	9001	8.9757
203	121	9007	9002	4.0318
204	111	9007	9002	6.0477
205	121	9007	9003	2.9147320000000003
206	111	9007	9003	4.372098
207	121	9007	9004	8.64204
208	111	9007	9004	12.96306
209	121	9007	9006	15.0882
210	111	9007	9006	22.6323
211	121	9007	9008	70.9268
212	111	9007	9008	106.39020000000001
213	121	9007	9009	6.5489999999999995
214	111	9007	9009	9.8235
215	121	9007	9010	26.409
216	111	9007	9010	39.613499999999995
217	121	9007	9011	11.685640000000003
218	111	9007	9011	17.528460000000003
219	121	9007	9012	6.497400000000001
220	111	9007	9012	9.7461
221	121	9007	9013	7.34084
222	111	9007	9013	11.01126
223	121	9007	9014	7.275000000000002
224	111	9007	9014	10.912500000000001
225	121	9007	9015	12.39328
226	111	9007	9015	18.58992
227	121	9007	9016	75.3136
228	111	9007	9016	112.9704
229	121	9007	9017	38.1304
230	111	9007	9017	57.19559999999999
231	121	9007	9019	9.50676
232	111	9007	9019	14.26014
233	121	9007	9020	44.3356
234	111	9007	9020	66.5034
235	121	9007	9021	7.10484
236	111	9007	9021	10.657259999999999
237	121	9007	9022	17.79748
238	111	9007	9022	26.696219999999997
239	121	9007	9023	9.093760000000001
240	111	9007	9023	13.64064
241	121	9008	9001	10.760720000000003
242	111	9008	9001	16.141080000000002
243	121	9008	9002	6.1648
244	111	9008	9002	9.2472
245	121	9008	9003	4.456760000000001
246	111	9008	9003	6.6851400000000005
247	121	9008	9004	17.64084
248	111	9008	9004	26.46126
249	121	9008	9005	42.251200000000004
250	111	9008	9005	63.376799999999996
251	121	9008	9006	42.6164
252	111	9008	9006	63.9246
253	121	9008	9007	63.36480000000003
254	111	9008	9007	95.04720000000003
255	121	9008	9009	12.93804
256	111	9008	9009	19.40706
257	121	9008	9010	42.2036
258	111	9008	9010	63.3054
259	121	9008	9011	17.738960000000002
260	111	9008	9011	26.608439999999998
261	121	9008	9012	11.427599999999998
262	111	9008	9012	17.141399999999997
263	121	9008	9013	13.31532
264	111	9008	9013	19.97298
265	121	9008	9014	9.798960000000001
266	111	9008	9014	14.698439999999998
267	121	9008	9015	15.694880000000005
268	111	9008	9015	23.542320000000004
269	121	9008	9016	69.0832
270	111	9008	9016	103.6248
271	121	9008	9017	44.061200000000014
272	111	9008	9017	66.0918
273	121	9008	9019	11.737360000000002
274	111	9008	9019	17.60604
275	121	9008	9020	42.448800000000006
276	111	9008	9020	63.673199999999994
277	121	9008	9021	9.08272
278	111	9008	9021	13.624080000000001
279	121	9008	9022	22.261560000000003
280	111	9008	9022	33.39234
281	121	9008	9023	12.170920000000002
282	111	9008	9023	18.25638
283	121	9008	9024	13.101640000000002
284	111	9008	9024	19.65246
285	121	9009	9001	12.809200000000002
286	111	9009	9001	19.213800000000003
287	121	9009	9002	5.614040000000001
288	111	9009	9002	8.42106
289	121	9009	9003	4.0586
290	111	9009	9003	6.087899999999999
291	121	9009	9004	30.730320000000003
292	111	9009	9004	46.09548
293	121	9009	9006	10.799520000000001
294	111	9009	9006	16.199279999999998
295	121	9009	9007	10.269440000000001
296	111	9009	9007	15.40416
297	121	9009	9008	18.12216
298	111	9009	9008	27.183239999999998
299	121	9009	9010	160.3196
300	111	9009	9010	240.47939999999997
301	121	9009	9011	40.769200000000005
302	111	9009	9011	61.1538
303	121	9009	9012	14.998280000000001
304	111	9009	9012	22.497419999999998
305	121	9009	9013	16.44988
306	111	9009	9013	24.674819999999997
307	121	9009	9014	14.689680000000003
308	111	9009	9014	22.03452
309	121	9009	9015	28.79296
310	111	9009	9015	43.18944
311	121	9009	9016	34.39960000000001
312	111	9009	9016	51.5994
313	121	9009	9017	27.44948
314	111	9009	9017	41.17422
315	121	9009	9019	13.5768
316	111	9009	9019	20.365199999999998
317	121	9009	9020	15.914520000000003
318	111	9009	9020	23.87178
319	121	9009	9021	8.905
320	111	9009	9021	13.3575
321	121	9009	9022	25.272040000000004
322	111	9009	9022	37.90806
323	121	9009	9023	12.391840000000002
324	111	9009	9023	18.58776
325	121	9009	9024	11.9312
326	111	9009	9024	17.8968
327	121	9010	9001	31.36072
328	111	9010	9001	47.041079999999994
329	121	9010	9002	16.64836
330	111	9010	9002	24.97254
331	121	9010	9003	12.035760000000003
332	111	9010	9003	18.05364
333	121	9010	9004	63.97480000000001
334	111	9010	9004	95.96220000000001
335	121	9010	9005	114.10239999999999
336	111	9010	9005	171.15359999999998
337	121	9010	9006	21.369680000000002
338	111	9010	9006	32.05452
339	121	9010	9007	19.40972
340	111	9010	9007	29.114579999999997
341	121	9010	9008	31.08404
342	111	9010	9008	46.626059999999995
343	121	9010	9009	196.8188
344	111	9010	9009	295.2282
345	121	9010	9011	196.0824
346	111	9010	9011	294.1236
347	121	9010	9012	37.677600000000005
348	111	9010	9012	56.5164
349	121	9010	9013	42.421600000000005
350	111	9010	9013	63.6324
351	121	9010	9014	56.473600000000005
352	111	9010	9014	84.71039999999999
353	121	9010	9015	146.2452
354	111	9010	9015	219.3678
355	121	9010	9016	67.1304
356	111	9010	9016	100.6956
357	121	9010	9017	92.24880000000002
358	111	9010	9017	138.3732
359	121	9010	9019	49.137600000000006
360	111	9010	9019	73.7064
361	121	9010	9020	37.927800000000005
362	111	9010	9020	56.8917
363	121	9010	9021	33.787560000000006
364	111	9010	9021	50.68134
365	121	9010	9022	99.78800000000001
366	111	9010	9022	149.682
367	121	9010	9023	45.25240000000001
368	111	9010	9023	67.8786
369	121	9010	9024	35.381720000000016
370	111	9010	9024	53.072580000000016
371	121	9011	9001	17.64356
372	111	9011	9001	26.465339999999998
373	121	9011	9002	10.0652
374	111	9011	9002	15.0978
375	121	9011	9003	7.276520000000001
376	111	9011	9003	10.91478
377	121	9011	9004	33.93196
378	111	9011	9004	50.89794
379	121	9011	9006	12.858160000000002
380	111	9011	9006	19.28724
381	121	9011	9007	14.191360000000001
382	111	9011	9007	21.28704
383	121	9011	9008	20.345480000000002
384	111	9011	9008	30.51822
385	121	9011	9009	32.397960000000005
386	111	9011	9009	48.59694
387	121	9011	9010	172.758
388	111	9011	9010	259.137
389	121	9011	9012	34.37552
390	111	9011	9012	51.56328
391	121	9011	9013	35.924880000000016
392	111	9011	9013	53.88732000000002
393	121	9011	9014	55.6588
