id	origin	capacity
1	9020	4
2	9007	4
3	9012	4
4	9004	4
5	9005	4
6	9014	4
7	9008	4
8	9006	4
9	9015	4
10	9021	4
11	9020	4
12	9011	4
13	9018	4
14	9005	4
15	9019	4
16	9021	4
17	9015	4
18	9013	4
19	9008	4
20	9007	4
21	9013	4
22	9013	4
23	9014	4
24	9010	4
25	9016	4
26	9016	4
27	9005	4
28	9014	4
29	9020	4
30	9007	4
31	9007	4
32	9014	4
33	9018	4
34	9002	4
35	9019	4
36	9002	4
37	9014	4
38	9005	4
39	9004	4
40	9013	4
41	9008	4
42	9008	4
43	9021	4
44	9003	4
45	9023	4
46	9009	4
47	9020	4
48	9013	4
49	9023	4
50	9007	4
51	9014	4
52	9024	4
53	9011	4
54	9001	4
55	9017	4
56	9022	4
57	9004	4
58	9020	4
59	9017	4
60	9007	4
61	9018	4
62	9016	4
63	9018	4
64	9023	4
65	9019	4
66	9019	4
67	9019	4
68	9001	4
69	9003	4
70	9004	4
71	9003	4
72	9019	4
73	9013	4
74	9007	4
75	9019	4
76	9018	4
77	9015	4
78	9024	4
79	9011	4
80	9007	4
81	9003	4
82	9011	4
83	9009	4
84	9001	4
85	9017	4
86	9024	4
87	9002	4
88	9001	4
89	9024	4
90	9019	4
91	9007	4
92	9015	4
93	9009	4
94	9014	4
95	9001	4
96	9019	4
97	9005	4
98	9019	4
99	9016	4
100	9010	4
101	9018	4
102	9014	4
103	9010	4
104	9002	4
105	9020	4
106	9024	4
107	9010	4
108	9020	4
109	9023	4
110	9017	4
111	9001	4
112	9013	4
113	9022	4
114	9003	4
115	9002	4
116	9024	4
117	9005	4
118	9014	4
119	9017	4
120	9016	4
121	9006	4
122	9009	4
123	9022	4
124	9005	4
125	9009	4
126	9012	4
127	9021	4
128	9009	4
129	9003	4
130	9023	4
131	9011	4
132	9018	4
133	9014	4
134	9023	4
135	9010	4
136	9016	4
137	9023	4
138	9013	4
139	9020	4
140	9021	4
141	9012	4
142	9005	4
143	9010	4
144	9011	4
145	9011	4
146	9007	4
147	9002	4
148	9002	4
149	9016	4
150	9005	4
151	9015	4
152	9018	4
153	9012	4
154	9018	4
155	9012	4
156	9013	4
157	9011	4
158	9022	4
159	9008	4
160	9011	4
161	9007	4
162	9001	4
163	9005	4
164	9024	4
165	9006	4
166	9006	4
167	9008	4
168	9003	4
169	9014	4
170	9005	4
171	9019	4
172	9006	4
173	9008	4
174	9013	4
175	9017	4
176	9011	4
177	9020	4
178	9002	4
179	9023	4
180	9015	4
181	9017	4
182	9003	4
183	9022	4
184	9002	4
185	9009	4
186	9018	4
187	9020	4
188	9018	4
189	9002	4
190	9007	4
191	9023	4
192	9022	4
193	9014	4
194	9003	4
195	9023	4
196	9013	4
197	9010	4
198	9001	4
199	9012	4
200	9016	4
201	9001	4
202	9016	4
203	9024	4
204	9003	4
205	9006	4
206	9013	4
207	9006	4
208	9017	4
209	9020	4
210	9014	4
211	9015	4
212	9003	4
213	9024	4
214	9006	4
215	9023	4
216	9006	4
217	9021	4
218	9005	4
219	9021	4
220	9018	4
221	9007	4
222	9024	4
223	9012	4
224	9011	4
225	9021	4
226	9010	4
227	9014	4
228	9016	4
229	9013	4
230	9018	4
231	9012	4
232	9022	4
233	9020	4
234	9016	4
235	9003	4
236	9021	4
237	9011	4
238	9012	4
239	9016	4
240	9004	4
241	9018	4
242	9007	4
243	9004	4
244	9003	4
245	9013	4
246	9002	4
247	9022	4
248	9024	4
249	9010	4
250	9015	4
251	9022	4
252	9018	4
253	9003	4
254	9020	4
255	9010	4
256	9021	4
257	9001	4
258	9005	4
259	9023	4
260	9006	4
261	9022	4
262	9011	4
263	9022	4
264	9013	4
265	9015	4
266	9013	4
267	9012	4
268	9008	4
269	9008	4
270	9007	4
271	9007	4
272	9017	4
273	9023	4
274	9020	4
275	9010	4
276	9016	4
277	9011	4
278	9023	4
279	9010	4
280	9013	4
281	9015	4
282	9007	4
283	9006	4
284	9017	4
285	9022	4
286	9010	4
287	9008	4
288	9023	4
289	9015	4
290	9002	4
291	9010	4
292	9019	4
293	9021	4
294	9019	4
295	9003	4
296	9011	4
297	9009	4
298	9016	4
299	9016	4
300	9022	4
301	9013	4
302	9008	4
303	9024	4
304	9013	4
305	9024	4
306	9016	4
307	9002	4
308	9018	4
309	9019	4
310	9020	4
311	9013	4
312	9008	4
313	9017	4
314	9007	4
315	9004	4
316	9010	4
317	9001	4
318	9005	4
319	9019	4
320	9013	4
321	9002	4
322	9013	4
323	9010	4
324	9015	4
325	9010	4
326	9002	4
327	9013	4
328	9004	4
329	9021	4
330	9010	4
331	9016	4
332	9005	4
333	9011	4
334	9008	4
335	9020	4
336	9022	4
337	9016	4
338	9010	4
339	9004	4
340	9006	4
341	9015	4
342	9016	4
343	9023	4
344	9003	4
345	9006	4
346	9021	4
347	9024	4
348	9011	4
349	9022	4
350	9012	4
