id	type	source	dest	length (ft)	ffspd (mph)	w (mph)	capacity	num_lanes
312	100	3	12	21120.0	60.0	30.0	2340.0	1
43	100	4	3	21120.0	60.0	30.0	1711.0	1
45	100	4	5	10560.0	60.0	30.0	1778.0	1
411	100	4	11	31680.0	60.0	30.0	491.0	1
54	100	5	4	10560.0	60.0	30.0	1778.0	1
56	100	5	6	21120.0	60.0	30.0	495.0	1
59	100	5	9	26400.0	60.0	30.0	1000.0	1
62	100	6	2	26400.0	60.0	30.0	496.0	1
65	100	6	5	21120.0	60.0	30.0	495.0	1
68	100	6	8	10560.0	60.0	30.0	490.0	1
78	100	7	8	15840.0	60.0	30.0	784.0	1
718	100	7	18	10560.0	60.0	30.0	2340.0	1
86	100	8	6	10560.0	60.0	30.0	490.0	1
87	100	8	7	15840.0	60.0	30.0	784.0	1
89	100	8	9	52800.0	60.0	30.0	505.0	1
816	100	8	16	26400.0	60.0	30.0	505.0	1
95	100	9	5	26400.0	60.0	30.0	1000.0	1
98	100	9	8	52800.0	60.0	30.0	505.0	1
910	100	9	10	15840.0	60.0	30.0	1392.0	1
109	100	10	9	15840.0	60.0	30.0	1392.0	1
1011	100	10	11	26400.0	60.0	30.0	1000.0	1
1015	100	10	15	31680.0	60.0	30.0	1351.0	1
1016	100	10	16	21120.0	60.0	30.0	485.0	1
1017	100	10	17	42240.0	60.0	30.0	499.0	1
114	100	11	4	31680.0	60.0	30.0	491.0	1
1110	100	11	10	26400.0	60.0	30.0	1000.0	1
1112	100	11	12	31680.0	60.0	30.0	491.0	1
1114	100	11	14	21120.0	60.0	30.0	488.0	1
123	100	12	3	21120.0	60.0	30.0	2340.0	1
1211	100	12	11	31680.0	60.0	30.0	491.0	1
1213	100	12	13	15840.0	60.0	30.0	2590.0	1
1312	100	13	12	15840.0	60.0	30.0	2590.0	1
1324	100	13	24	21120.0	60.0	30.0	509.0	1
1411	100	14	11	21120.0	60.0	30.0	488.0	1
1415	100	14	15	26400.0	60.0	30.0	513.0	1
1423	100	14	23	21120.0	60.0	30.0	492.0	1
1510	100	15	10	31680.0	60.0	30.0	1351.0	1
1514	100	15	14	26400.0	60.0	30.0	513.0	1
1519	100	15	19	15840.0	60.0	30.0	1456.0	1
1522	100	15	22	15840.0	60.0	30.0	960.0	1
168	100	16	8	26400.0	60.0	30.0	505.0	1
1610	100	16	10	21120.0	60.0	30.0	485.0	1
1617	100	16	17	10560.0	60.0	30.0	523.0	1
1618	100	16	18	15840.0	60.0	30.0	1968.0	1
1710	100	17	10	42240.0	60.0	30.0	499.0	1
1716	100	17	16	10560.0	60.0	30.0	523.0	1
1719	100	17	19	10560.0	60.0	30.0	482.0	1
187	100	18	7	10560.0	60.0	30.0	2340.0	1
1816	100	18	16	15840.0	60.0	30.0	1968.0	1
1820	100	18	20	21120.0	60.0	30.0	2340.0	1
1915	100	19	15	15840.0	60.0	30.0	1456.0	1
1917	100	19	17	10560.0	60.0	30.0	482.0	1
1920	100	19	20	21120.0	60.0	30.0	500.0	1
2018	100	20	18	21120.0	60.0	30.0	2340.0	1
2019	100	20	19	21120.0	60.0	30.0	500.0	1
2021	100	20	21	31680.0	60.0	30.0	506.0	1
2022	100	20	22	26400.0	60.0	30.0	508.0	1
2120	100	21	20	31680.0	60.0	30.0	506.0	1
2122	100	21	22	10560.0	60.0	30.0	523.0	1
2124	100	21	24	15840.0	60.0	30.0	489.0	1
2215	100	22	15	15840.0	60.0	30.0	960.0	1
2220	100	22	20	26400.0	60.0	30.0	508.0	1
2221	100	22	21	10560.0	60.0	30.0	523.0	1
2223	100	22	23	21120.0	60.0	30.0	500.0	1
2314	100	23	14	21120.0	60.0	30.0	492.0	1
2322	100	23	22	21120.0	60.0	30.0	500.0	1
2324	100	23	24	10560.0	60.0	30.0	508.0	1
2413	100	24	13	21120.0	60.0	30.0	509.0	1
2421	100	24	21	15840.0	60.0	30.0	489.0	1
2423	100	24	23	10560.0	60.0	30.0	508.0	1
90011	1000	9001	1	1.0	60.0	30.0	1.0	1
119001	1000	1	9001	1.0	60.0	30.0	1.0	1
90022	1000	9002	2	1.0	60.0	30.0	1.0	1
219002	1000	2	9002	1.0	60.0	30.0	1.0	1
90033	1000	9003	3	1.0	60.0	30.0	1.0	1
319003	1000	3	9003	1.0	60.0	30.0	1.0	1
90044	1000	9004	4	1.0	60.0	30.0	1.0	1
419004	1000	4	9004	1.0	60.0	30.0	1.0	1
