id	type	longitude	latitude	elevation
9001	1000	0.0	70.0	0.0
1	100	0.0	70.0	0.0
9002	1000	30.0	70.0	0.0
2	100	30.0	70.0	0.0
9003	1000	0.0	60.0	0.0
3	100	0.0	60.0	0.0
9004	1000	10.0	60.0	0.0
4	100	10.0	60.0	0.0
9005	1000	20.0	60.0	0.0
5	100	20.0	60.0	0.0
9006	1000	30.0	60.0	0.0
6	100	30.0	60.0	0.0
9007	1000	40.0	50.0	0.0
7	100	40.0	50.0	0.0
9008	1000	30.0	50.0	0.0
8	100	30.0	50.0	0.0
9009	1000	20.0	50.0	0.0
9	100	20.0	50.0	0.0
9010	1000	20.0	40.0	0.0
10	100	20.0	40.0	0.0
9011	1000	10.0	40.0	0.0
11	100	10.0	40.0	0.0
9012	1000	0.0	40.0	0.0
12	100	0.0	40.0	0.0
9013	1000	0.0	0.0	0.0
13	100	0.0	0.0	0.0
9014	1000	10.0	20.0	0.0
14	100	10.0	20.0	0.0
9015	1000	20.0	20.0	0.0
15	100	20.0	20.0	0.0
9016	1000	30.0	40.0	0.0
16	100	30.0	40.0	0.0
9017	1000	30.0	30.0	0.0
17	100	30.0	30.0	0.0
9018	1000	40.0	40.0	0.0
18	100	40.0	40.0	0.0
9019	1000	30.0	20.0	0.0
19	100	30.0	20.0	0.0
9020	1000	30.0	0.0	0.0
20	100	30.0	0.0	0.0
9021	1000	20.0	0.0	0.0
21	100	20.0	0.0	0.0
9022	1000	20.0	10.0	0.0
22	100	20.0	10.0	0.0
9023	1000	10.0	10.0	0.0
23	100	10.0	10.0	0.0
9024	1000	10.0	0.0	0.0
24	100	10.0	0.0	0.0
