900
,,2314,12,13,2322,901919,1419014,2324,21,902424,1816,26,1820,31,319003,1312,34,43,901414,1324,45,2219022,816,1119011,54,1919019,312,56,59,62,65,902222,68,2120,1610,2122,2124,819008,2119021,78,1619016,1617,901212,1618,86,1110,87,1112,901717,89,1114,519005,95,98,109,2413,1319013,114,2419024,2421,2423,219002,123,1915,1917,1920,1411,901515,1415,902020,2319023,1019010,910,1423,1819018,719007,90011,411,901010,2215,90022,168,2220,2221,1710,2223,90033,1519015,1716,1719,901818,419004,1211,187,1213,90044,902323,90055,901313,718,2019020,90066,1219012,119001,90077,2018,2019,902121,2021,1510,2022,90088,1514,1519,919009,1522,90099,1011,1719017,1015,619006,1016,1017,901111,901616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,108,21,182,144,253,95,95,55,150,353,38,204,59,9,205,268,129,273,124,262,118,148,131,127,85,103,78,204,27,78,476,132,111,142,46,110,62,59,50,103,119,272,197,125,278,137,91,463,7,98,56,167,39,316,98,70,58,14,55,132,5,213,198,44,135,145,423,92,358,61,238,325,53,30,113,174,60,885,281,76,137,105,86,140,127,58,126,155,129,95,85,74,102,169,230,284,120,281,278,134,147,91,30,239,295,98,213,96,283,61,325,105,97,124,231,317,268,72,352,29,141,42,440,515
1800,217,61,388,296,509,256,218,117,305,715,93,495,184,60,465,589,316,561,277,618,289,300,315,330,243,265,174,499,64,170,963,272,259,287,120,232,169,170,191,323,269,549,396,272,576,311,206,934,49,221,149,316,170,713,200,168,149,33,153,269,44,465,422,135,277,293,850,222,735,127,665,675,119,81,279,352,194,1794,572,158,290,207,183,287,274,111,266,311,244,188,253,184,300,405,468,566,240,579,551,292,298,307,143,483,608,245,427,211,594,123,658,184,233,275,526,646,568,244,730,74,287,171,879,1038
2700,269,97,405,433,515,390,284,138,308,794,114,656,261,86,514,703,400,563,390,759,568,406,555,432,406,346,255,691,104,224,974,418,339,433,175,283,385,315,240,653,414,553,451,409,760,420,284,938,59,307,234,433,296,831,278,448,184,110,213,368,88,500,506,163,343,442,856,239,741,253,1168,863,141,123,380,354,233,1806,758,158,401,240,216,366,383,111,568,417,294,191,372,205,406,521,471,573,242,583,659,587,300,422,236,485,735,348,432,340,836,186,668,258,315,498,797,652,781,488,896,160,433,292,888,1047
3600,290,105,405,447,515,525,374,166,308,842,114,729,299,101,555,710,447,563,391,764,902,463,778,492,490,356,271,692,167,237,974,468,374,578,213,311,632,419,263,916,532,553,492,498,892,506,341,938,74,410,240,462,340,918,360,533,211,231,267,447,126,521,525,185,368,571,856,261,741,460,1583,937,197,167,444,354,234,1806,831,158,462,267,259,366,464,111,808,466,318,191,427,210,485,554,471,573,242,583,746,689,300,494,295,485,815,369,432,378,1042,202,668,316,375,576,907,652,900,804,990,264,578,378,888,1047
4500,296,109,405,453,515,550,407,183,308,849,114,749,325,109,567,715,464,563,391,766,944,466,854,509,511,359,273,693,189,245,974,468,378,724,216,313,661,440,267,991,571,553,518,508,949,510,376,938,74,414,240,464,342,952,373,561,232,305,273,468,158,529,526,186,369,572,856,262,741,560,1696,938,206,190,464,354,234,1806,831,158,479,267,260,366,470,111,825,470,329,191,457,211,498,566,471,573,242,583,760,720,300,539,341,485,822,373,432,382,1042,204,668,319,377,623,927,652,934,917,1023,290,662,394,888,1047
5400,296,112,405,453,515,556,407,183,308,849,115,772,327,110,567,715,467,563,391,767,955,466,872,509,515,360,276,693,191,245,974,468,378,837,216,314,668,441,267,1039,590,553,547,514,952,510,385,938,74,417,240,466,343,966,373,568,232,306,273,468,161,529,526,186,369,572,856,262,741,564,1751,938,207,190,476,354,234,1806,831,158,487,267,260,366,474,111,838,471,331,191,459,211,509,571,471,573,242,583,760,736,300,549,347,485,822,373,432,389,1042,204,668,323,377,636,941,652,967,943,1051,300,667,397,888,1047
6300,296,112,405,453,515,563,407,183,308,849,115,772,327,113,567,715,471,563,391,767,961,466,888,517,515,360,276,693,191,245,974,468,378,837,216,317,668,445,267,1039,590,553,547,515,952,510,397,938,74,424,240,474,343,988,373,573,235,309,273,468,163,529,526,186,369,572,856,262,741,568,1790,938,210,190,477,354,234,1806,831,158,487,267,261,366,476,111,846,471,331,191,463,211,509,577,471,573,242,583,760,738,300,556,347,485,822,373,432,390,1042,204,668,325,377,646,951,652,1000,943,1078,302,667,397,888,1047
7200,296,112,405,453,515,566,407,183,308,849,115,772,330,114,567,715,476,563,391,767,969,466,895,523,515,362,276,693,191,245,974,468,378,837,216,317,668,445,267,1039,590,553,547,515,952,510,401,938,74,426,240,478,343,989,373,581,238,309,273,468,163,529,526,186,369,572,856,262,741,574,1800,938,212,190,477,354,234,1806,831,158,487,267,261,366,478,111,851,471,331,191,470,211,509,583,471,573,242,583,760,738,300,559,349,485,822,373,432,390,1042,204,668,327,377,649,959,652,1007,943,1081,302,667,397,888,1047
8100,296,112,405,453,515,566,407,183,308,849,115,772,330,114,567,715,476,563,391,767,969,466,895,523,515,362,276,693,191,245,974,468,378,837,216,317,668,445,267,1039,590,553,547,515,952,510,401,938,74,426,240,478,343,989,373,582,238,309,273,468,163,529,526,186,369,572,856,262,741,575,1800,938,212,190,477,354,234,1806,831,158,487,267,261,366,478,111,851,471,331,191,470,211,509,584,471,573,242,583,760,738,300,559,350,485,822,373,432,390,1042,204,668,327,377,649,959,652,1007,943,1081,302,667,397,888,1047
