id	type	origin	dest	dtime	vot
764	111	7	1	0	0.6056818602883458
5029	111	31	1234	0	9.1342318144092
5374	111	34	33	0	20.846007187269965
6633	111	41	1175	0	15.806160066813014
20737	111	128	145	0	36.2134943961135
44107	111	246	898	0	130.5562325793042
45906	111	268	252	0	17.704088549979936
52044	111	317	323	0	20.052664985834525
52215	111	317	514	0	0.9562547837717298
16872	111	98	1204	1	14.251438512045347
30079	111	181	484	1	2.5759977659300684
33227	111	199	472	1	9.27088956872283
34433	111	204	200	1	2.2984200419083143
43862	111	245	544	1	13.570482198502834
49716	111	297	256	1	3.781824685161984
50848	111	308	1219	1	22.2040306485666
61400	111	374	518	1	82.3181814518231
62729	111	382	376	1	6.736373942095134
3986	111	28	60	2	24.393351048845865
4819	111	31	57	2	8.289428158976328
6317	111	40	64	2	46.90130010076869
6945	111	43	47	2	15.916234000018951
12272	111	75	784	2	49.38039457913121
17430	111	104	103	2	25.69088815170605
33856	111	201	245	2	43.130073122581045
41581	111	237	209	2	6.853662075003435
48151	111	288	473	2	6.641950563954653
60388	111	368	365	2	26.34883423386324
7615	111	46	796	3	102.77153507638175
9794	111	63	1031	3	22.804740493853643
18320	111	115	735	3	6.624978489902206
32416	111	193	246	3	17.713788744552566
34435	111	204	205	3	27.761420283896097
42324	111	238	824	3	95.37040122596413
59897	111	365	357	3	44.72172453867496
1591	111	12	765	4	20.680589919508513
8509	111	55	30	4	21.375660866300514
20263	111	126	641	4	33.95201790247745
42870	111	242	208	4	41.13497298562898
44372	111	247	817	4	3.6021146797856995
47560	111	283	1131	4	7.064611785983388
54227	111	329	515	4	30.464656585916075
61427	111	374	826	4	30.349890217673185
6361	111	40	649	5	50.45776981686481
8453	111	53	869	5	60.56057175674093
14402	111	82	1001	5	46.06277778416806
21291	111	129	130	5	88.45283678076477
23573	111	142	619	5	18.833990211900147
24497	111	150	515	5	26.64234257371093
37223	111	214	1052	5	20.23349208884954
2271	111	17	1135	6	46.18661594870299
4750	111	31	28	6	34.138472614771835
7012	111	43	115	6	22.68565797152101
37451	111	216	214	6	8.45242695595848
38861	111	222	214	6	1.3651183131089237
42573	111	240	474	6	14.884993495534406
54841	111	332	1204	6	1.0097762386333644
57153	111	344	407	6	38.795458625920396
62555	111	380	122	6	17.075037115481436
17408	111	104	72	7	7.970679369620773
17463	111	104	119	7	89.54737052294435
38367	111	220	473	7	8.445498443110898
39676	111	223	890	7	11.15450079964368
48240	111	288	885	7	18.44206792899184
52916	111	322	326	7	23.40964449346767
7989	111	49	1234	8	83.94263167221646
14567	111	83	115	8	12.547959661621402
16125	111	94	1017	8	16.200696431144124
18791	111	118	441	8	28.98529655024959
19296	111	122	424	8	20.115619875889116
21296	111	129	130	8	54.07679886224867
32598	111	195	212	8	5.584819862291058
38509	111	221	210	8	33.61880667075184
39402	111	223	227	8	23.88260588687729
46250	111	272	256	8	16.92536763154418
1540	111	12	40	9	20.064868016031344
2740	111	22	21	9	18.01568459940318
10224	111	65	79	9	6.690503217032235
29608	111	179	177	9	42.294184880819316
33337	111	200	193	9	26.006096966312604
36980	111	214	210	9	26.782731148840902
38173	111	220	211	9	4.527794761643126
49290	111	295	486	9	9.90583238608392
56579	111	341	584	9	9.164638946619533
61729	111	375	1209	9	23.474982388544667
8254	111	51	30	10	8.121669971917866
24408	111	150	149	10	15.96285703334587
25611	111	156	153	10	0.0923034277463962
29162	111	176	486	10	29.247643120515203
31504	111	188	210	10	36.76179603914778
32828	111	196	251	10	10.321688908067784
32859	111	196	360	10	7.541219203204201
42947	111	242	258	10	39.3535030377281
48441	111	290	825	10	153.12253637532618
57449	111	346	394	10	47.91181075612265
62514	111	379	514	10	6.7599985396442825
22	111	1	3	11	3.5236339808042665
11489	111	73	58	11	40.836160524734844
13982	111	81	115	11	40.74885851763862
21406	111	129	637	11	28.03208109081636
27941	111	173	192	11	26.345859148973997
52021	111	317	309	11	7.793387373487554
55313	111	335	421	11	3.006851817728671
65218	111	415	913	11	3.105127936311513
