    id coordinates
     1 (-104.2141, 55.4402), (-104.2179, 55.4344)
     2 (-104.2141, 55.4402), (-104.1963, 55.4409)
     3 (-104.1747, 55.4418), (-104.1878, 55.4377)
     4 (-104.1747, 55.4418), (-104.1742, 55.4381)
     5 (-104.1747, 55.4418), (-104.1587, 55.4435)
     6 (-104.2218, 55.4272), (-104.2273, 55.4208)
     7 (-104.2218, 55.4272), (-104.2161, 55.4204)
     8 (-104.2218, 55.4272), (-104.2179, 55.4344)
     9 (-104.2218, 55.4272), (-104.2036, 55.4249)
    10 (-104.2341, 55.4130), (-104.2300, 55.4086)
    11 (-104.2341, 55.4130), (-104.2273, 55.4208)
    12 (-104.2341, 55.4130), (-104.2219, 55.4138)
    13 (-104.1957, 55.4216), (-104.2036, 55.4249)
    14 (-104.1957, 55.4216), (-104.1954, 55.4194)
    15 (-104.2109, 55.4145), (-104.2219, 55.4138)
    16 (-104.2109, 55.4145), (-104.2161, 55.4204)
    17 (-104.2109, 55.4145), (-104.2041, 55.4146)
    18 (-104.1887, 55.4252), (-104.1910, 55.4196)
    19 (-104.1887, 55.4252), (-104.1856, 55.4262)
    20 (-104.1671, 55.4153), (-104.1679, 55.4152)
    21 (-104.1671, 55.4153), (-104.1604, 55.4159)
    22 (-104.1708, 55.4292), (-104.1856, 55.4262)
    23 (-104.1708, 55.4292), (-104.1742, 55.4381)
    24 (-104.1708, 55.4292), (-104.1687, 55.4189)
    25 (-104.1498, 55.4231), (-104.1487, 55.4203)
    26 (-104.1498, 55.4231), (-104.1447, 55.4282)
    27 (-104.1532, 55.4410), (-104.1579, 55.4395)
    28 (-104.1532, 55.4410), (-104.1465, 55.4406)
    29 (-104.1319, 55.4424), (-104.1465, 55.4406)
    30 (-104.1319, 55.4424), (-104.1312, 55.4367)
    31 (-104.1319, 55.4424), (-104.1124, 55.4436)
    32 (-104.1296, 55.4292), (-104.1447, 55.4282)
    33 (-104.1296, 55.4292), (-104.1265, 55.4327)
    34 (-104.1296, 55.4292), (-104.1181, 55.4206)
    35 (-104.1189, 55.4183), (-104.1181, 55.4206)
    36 (-104.1189, 55.4183), (-104.1075, 55.4186)
    37 (-104.0911, 55.4440), (-104.1124, 55.4436)
    38 (-104.0911, 55.4440), (-104.0906, 55.4378)
    39 (-104.0767, 55.4205), (-104.0762, 55.4154)
    40 (-104.0802, 55.4104), (-104.0803, 55.4045)
    41 (-104.0802, 55.4104), (-104.0762, 55.4154)
    42 (-104.0802, 55.4104), (-104.0675, 55.4116)
    43 (-104.0711, 55.3983), (-104.0803, 55.4045)
    44 (-104.1072, 55.3979), (-104.1100, 55.3947)
    45 (-104.1254, 55.3904), (-104.1282, 55.3903)
    46 (-104.1254, 55.3904), (-104.1245, 55.3925)
    47 (-104.1267, 55.4003), (-104.1302, 55.4000)
    48 (-104.1267, 55.4003), (-104.1268, 55.4056)
    49 (-104.1267, 55.4003), (-104.1171, 55.3941)
    50 (-104.1267, 55.4003), (-104.1076, 55.4012)
    51 (-104.1407, 55.3914), (-104.1406, 55.3906)
    52 (-104.1407, 55.3914), (-104.1361, 55.3917)
    53 (-104.1416, 55.3992), (-104.1412, 55.3960)
    54 (-104.1416, 55.3992), (-104.1374, 55.3995)
    55 (-104.1274, 55.4091), (-104.1268, 55.4056)
    56 (-104.1274, 55.4091), (-104.1250, 55.4110)
    57 (-104.1457, 55.4088), (-104.1511, 55.4088)
    58 (-104.1457, 55.4088), (-104.1398, 55.4092)
    59 (-104.1753, 55.4060), (-104.1810, 55.4056)
    60 (-104.1753, 55.4060), (-104.1744, 55.4015)
    61 (-104.1753, 55.4060), (-104.1762, 55.4119)
    62 (-104.1571, 55.3972), (-104.1602, 55.3987)
    63 (-104.1571, 55.3972), (-104.1567, 55.3938)
    64 (-104.1557, 55.3915), (-104.1572, 55.3897)
    65 (-104.1557, 55.3915), (-104.1567, 55.3938)
    66 (-104.1663, 55.3918), (-104.1701, 55.3909)
    67 (-104.1663, 55.3918), (-104.1672, 55.3889)
    68 (-104.1663, 55.3918), (-104.1633, 55.3935)
    69 (-104.1745, 55.3923), (-104.1816, 55.3906)
    70 (-104.1745, 55.3923), (-104.1755, 55.3883)
    71 (-104.1745, 55.3923), (-104.1701, 55.3909)
    72 (-104.1665, 55.3855), (-104.1699, 55.3860)
    73 (-104.1665, 55.3855), (-104.1617, 55.3859)
    74 (-104.1724, 55.3866), (-104.1739, 55.3884)
    75 (-104.1724, 55.3866), (-104.1700, 55.3842)
    76 (-104.1724, 55.3866), (-104.1699, 55.3860)
    77 (-104.1788, 55.3866), (-104.1808, 55.3864)
    78 (-104.1788, 55.3866), (-104.1790, 55.3881)
    79 (-104.1851, 55.3860), (-104.1882, 55.3853)
    80 (-104.1851, 55.3860), (-104.1857, 55.3882)
    81 (-104.1851, 55.3860), (-104.1808, 55.3864)
    82 (-104.1843, 55.3924), (-104.1898, 55.3930)
    83 (-104.1843, 55.3924), (-104.1856, 55.3985)
    84 (-104.1843, 55.3924), (-104.1814, 55.3918)
    85 (-104.1877, 55.4036), (-104.1921, 55.4023)
    86 (-104.1877, 55.4036), (-104.1856, 55.3985)
    87 (-104.1877, 55.4036), (-104.1810, 55.4056)
    88 (-104.1964, 55.4008), (-104.1921, 55.4023)
    89 (-104.1915, 55.3929), (-104.1898, 55.3930)
    90 (-104.2029, 55.4004), (-104.2054, 55.4001)
    91 (-104.2094, 55.3999), (-104.2090, 55.3978)
    92 (-104.2094, 55.3999), (-104.2054, 55.4001)
    93 (-104.2256, 55.4029), (-104.2315, 55.4015)
    94 (-104.2256, 55.4029), (-104.2264, 55.4045)
    95 (-104.2293, 55.3962), (-104.2250, 55.3958)
    96 (-104.2211, 55.3957), (-104.2250, 55.3958)
