    id   type Longitude Latitude Elevation
     1   1000 -104.2141 55.4402      0
     2   1000 -104.1747 55.4418      0
     3   1000 -104.2218 55.4272      0
     4   1000 -104.2341 55.4130      0
     5   1000 -104.1957 55.4216      0
     6   1000 -104.2109 55.4145      0
     7   1000 -104.1887 55.4252      0
     8   1000 -104.1671 55.4153      0
     9   1000 -104.1708 55.4292      0
    10   1000 -104.1498 55.4231      0
    11   1000 -104.1532 55.4410      0
    12   1000 -104.1319 55.4424      0
    13   1000 -104.1296 55.4292      0
    14   1000 -104.1189 55.4183      0
    15   1000 -104.0911 55.4440      0
    16   1000 -104.0767 55.4205      0
    17   1000 -104.0802 55.4104      0
    18   1000 -104.0711 55.3983      0
    19   1000 -104.1072 55.3979      0
    20   1000 -104.1254 55.3904      0
    21   1000 -104.1267 55.4003      0
    22   1000 -104.1407 55.3914      0
    23   1000 -104.1416 55.3992      0
    24   1000 -104.1274 55.4091      0
    25   1000 -104.1457 55.4088      0
    26   1000 -104.1753 55.4060      0
    27   1000 -104.1571 55.3972      0
    28   1000 -104.1557 55.3915      0
    29   1000 -104.1663 55.3918      0
    30   1000 -104.1745 55.3923      0
    31   1000 -104.1665 55.3855      0
    32   1000 -104.1724 55.3866      0
    33   1000 -104.1788 55.3866      0
    34   1000 -104.1851 55.3860      0
    35   1000 -104.1843 55.3924      0
    36   1000 -104.1877 55.4036      0
    37   1000 -104.1964 55.4008      0
    38   1000 -104.1915 55.3929      0
    39   1000 -104.2029 55.4004      0
    40   1000 -104.2094 55.3999      0
    41   1000 -104.2256 55.4029      0
    42   1000 -104.2293 55.3962      0
    43   1000 -104.2211 55.3957      0
    44   1000 -104.2151 55.3867      0
    45   1000 -104.2129 55.3922      0
    46   1000 -104.2010 55.3899      0
    47   1000 -104.2006 55.3933      0
    48   1000 -104.1968 55.3936      0
    49   1000 -104.1976 55.3851      0
    50   1000 -104.1973 55.3813      0
    51   1000 -104.1938 55.3820      0
    52   1000 -104.1899 55.3853      0
    53   1000 -104.1896 55.3820      0
    54   1000 -104.1857 55.3820      0
    55   1000 -104.1851 55.3791      0
    56   1000 -104.1895 55.3786      0
    57   1000 -104.1826 55.3759      0
    58   1000 -104.1767 55.3773      0
    59   1000 -104.1779 55.3826      0
    60   1000 -104.1735 55.3795      0
    61   1000 -104.1644 55.3807      0
    62   1000 -104.1695 55.3784      0
    63   1000 -104.1677 55.3756      0
    64   1000 -104.1700 55.3716      0
    65   1000 -104.1582 55.3735      0
    66   1000 -104.1521 55.3757      0
    67   1000 -104.1459 55.3734      0
    68   1000 -104.1510 55.3701      0
    69   1000 -104.1584 55.3688      0
    70   1000 -104.1514 55.3672      0
    71   1000 -104.1517 55.3623      0
    72   1000 -104.1467 55.3648      0
