nodeid	offset
3003	0
3014	0
3017	0
3024	0
3027	0
3037	0
3039	0
3051	0
3064	0
3084	0
3091	0
3093	0
3106	0
3118	0
3132	0
3136	0
3176	0
3188	0
3190	0
3200	0
3210	0
3217	0
3237	0
3242	0
3263	0
3265	0
3269	0
3284	0
3285	0
3308	0
3331	0
3354	0
3356	0
3367	0
3371	0
3373	0
3376	0
3378	0
3390	0
3396	0
3424	0
3430	0
3441	0
3444	0
3445	0
3460	0
3468	0
3474	0
3483	0
3485	0
3489	0
3492	0
3493	0
3503	0
3504	0
3522	0
3541	0
3564	0
3574	0
3581	0
3606	0
3615	0
3621	0
3628	0
3631	0
3649	0
3659	0
3663	0
3664	0
3668	0
3669	0
3687	0
3699	0
3703	0
3706	0
3731	0
3739	0
3740	0
3748	0
3749	0
3751	0
3756	0
3759	0
3768	0
3776	0
3788	0
3792	0
3816	0
3832	0
3836	0
3838	0
3848	0
3850	0
3851	0
3854	0
3897	0
3900	0
3904	0
3955	0
3958	0
3959	0
3966	0
3968	0
4024	0
4069	0
4071	0
4076	0
4080	0
4097	0
4121	0
4133	0
4162	0
4164	0
4180	0
4184	0
4202	0
4218	0
4227	0
4236	0
4256	0
4262	0
4279	0
4280	0
4294	0
4317	0
4320	0
4323	0
4324	0
4325	0
4326	0
4340	0
4342	0
4347	0
4350	0
4362	0
4403	0
4448	0
4468	0
4548	0
4549	0
4562	0
4574	0
4586	0
4661	0
4772	0
4776	0
4830	0
4831	0
4843	0
4855	0
4861	0
4865	0
4867	0
4870	0
4871	0
4872	0
4899	0
4911	0
4917	0
4926	0
4929	0
4937	0
4955	0
4963	0
4964	0
4966	0
4968	0
4970	0
4971	0
4980	0
4981	0
4985	0
4989	0
4991	0
4992	0
4997	0
4999	0
5001	0
5006	0
5015	0
5027	0
5030	0
5032	0
5039	0
5050	0
5054	0
5085	0
5089	0
5101	0
5110	0
5139	0
5163	0
5165	0
5177	0
5180	0
5189	0
5194	0
5197	0
5204	0
5226	0
5238	0
5239	0
5240	0
5248	0
5250	0
5257	0
5280	0
5292	0
5383	0
5457	0
5472	0
5474	0
5480	0
5548	0
5554	0
5588	0
5596	0
5599	0
5628	0
5638	0
5639	0
5641	0
5647	0
5652	0
5653	0
5654	0
5655	0
5661	0
5662	0
5664	0
5667	0
5672	0
5676	0
5682	0
5688	0
5692	0
5701	0
5706	0
5714	0
5720	0
5733	0
5736	0
5737	0
5742	0
5748	0
5758	0
5762	0
5770	0
5776	0
5780	0
5788	0
5815	0
5841	0
5859	0
5865	0
5871	0
5875	0
5881	0
5886	0
5892	0
5894	0
5896	0
5899	0
5900	0
5903	0
5904	0
5905	0
5908	0
5930	0
5938	0
5940	0
5942	0
5944	0
5947	0
5950	0
5988	0
5996	0
6010	0
6032	0
6036	0
6053	0
6077	0
6141	0
6143	0
6149	0
6150	0
6156	0
6180	0
6186	0
6194	0
6206	0
6249	0
6298	0
6307	0
6311	0
6314	0
6320	0
6321	0
6323	0
6327	0
6337	0
6338	0
6345	0
6347	0
6348	0
6354	0
6356	0
6358	0
6360	0
6361	0
6362	0
6365	0
6368	0
6379	0
6382	0
6385	0
6386	0
6391	0
6409	0
6414	0
6447	0
6491	0
6505	0
6516	0
6547	0
6550	0
6557	0
6575	0
6576	0
6580	0
6581	0
6583	0
6584	0
6586	0
6587	0
6592	0
6595	0
6602	0
6604	0
6606	0
6607	0
6611	0
6612	0
6618	0
6621	0
6622	0
6625	0
6626	0
6636	0
6637	0
6640	0
6642	0
6645	0
6646	0
6647	0
6655	0
6659	0
6662	0
6664	0
6674	0
6681	0
6683	0
6686	0
6689	0
6693	0
6704	0
6713	0
6715	0
6717	0
6730	0
6758	0
6776	0
6814	0
6828	0
6850	0
6851	0
6854	0
6855	0
6863	0
6867	0
6868	0
6871	0
6872	0
6873	0
6891	0
6897	0
6898	0
6899	0
6901	0
6905	0
6906	0
6907	0
6920	0
6924	0
6932	0
6949	0
6950	0
6954	0
6955	0
6957	0
6959	0
6960	0
6966	0
6970	0
6974	0
6979	0
6984	0
6985	0
6986	0
7016	0
7029	0
7032	0
7033	0
7057	0
7065	0
7069	0
7071	0
7072	0
7073	0
7075	0
7079	0
7094	0
7096	0
7109	0
7112	0
7118	0
7127	0
7130	0
7132	0
7134	0
7136	0
7137	0
7138	0
7140	0
7145	0
7146	0
7149	0
7153	0
7154	0
7156	0
7157	0
7158	0
7161	0
7162	0
7166	0
7170	0
7174	0
7180	0
7186	0
7187	0
7193	0
7199	0
7202	0
7207	0
7216	0
7223	0
7225	0
7229	0
7231	0
7257	0
7266	0
7269	0
7281	0
7295	0
7319	0
7322	0
7324	0
7326	0
7328	0
7330	0
7331	0
7333	0
7357	0
7358	0
7381	0
7408	0
7418	0
7419	0
7420	0
7422	0
7424	0
7427	0
7431	0
7458	0
7464	0
7466	0
7467	0
7482	0
7483	0
7488	0
7496	0
7499	0
7504	0
7505	0
7513	0
7525	0
7526	0
7533	0
7541	0
7543	0
7546	0
7586	0
7588	0
7593	0
7604	0
7616	0
7617	0
7628	0
7631	0
7640	0
7645	0
7687	0
7695	0
7696	0
7703	0
7709	0
7713	0
7716	0
7721	0
7734	0
7736	0
7738	0
7741	0
7772	0
7792	0
7796	0
7800	0
7816	0
7822	0
7824	0
7826	0
7829	0
7830	0
7835	0
7836	0
7840	0
7842	0
7844	0
7858	0
7859	0
7862	0
7895	0
7924	0
7927	0
7929	0
7931	0
7932	0
7935	0
7937	0
7939	0
7940	0
7946	0
7948	0
7950	0
7952	0
7968	0
7972	0
7974	0
7977	0
7984	0
7994	0
8003	0
8006	0
8008	0
8020	0
8030	0
8037	0
8039	0
8053	0
8059	0
8060	0
8062	0
8066	0
8070	0
8079	0
8087	0
8096	0
8115	0
8149	0
8154	0
8233	0
8243	0
8245	0
8246	0
8249	0
8255	0
8271	0
8277	0
8282	0
8295	0
8302	0
8312	0
8320	0
8321	0
8323	0
8324	0
8357	0
8366	0
8385	0
8404	0
8416	0
8417	0
8418	0
8421	0
8425	0
8431	0
8436	0
8439	0
8441	0
8504	0
8513	0
8546	0
8549	0
8554	0
8557	0
8560	0
8563	0
8564	0
8567	0
8568	0
8569	0
8573	0
8574	0
8575	0
8578	0
8579	0
8581	0
8583	0
8607	0
8646	0
8647	0
8657	0
8658	0
8661	0
8671	0
8675	0
8677	0
8678	0
8681	0
8684	0
8688	0
8692	0
8717	0
8720	0
8740	0
8748	0
8753	0
8760	0
8767	0
8773	0
8785	0
8815	0
8832	0
8834	0
8836	0
8837	0
8838	0
8841	0
8845	0
8846	0
8849	0
8857	0
8868	0
8870	0
8871	0
8874	0
8892	0
8936	0
8940	0
8943	0
8953	0
8955	0
8957	0
8972	0
8973	0
8976	0
8977	0
8978	0
8979	0
8980	0
8981	0
8982	0
8983	0
8985	0
8987	0
8989	0
8991	0
8994	0
8996	0
9026	0
9076	0
9079	0
9080	0
9090	0
9094	0
9096	0
9100	0
9101	0
9103	0
9105	0
9109	0
9111	0
9155	0
9160	0
9161	0
9162	0
9167	0
9171	0
9175	0
9177	0
9184	0
9185	0
9188	0
9191	0
9192	0
9194	0
9196	0
9197	0
9226	0
9235	0
9239	0
9240	0
