id	type	origin	dest	dtime	vot
343	111	106	1	32	7.121013887996828
443	111	1003	1	33	1.1247120118787737
430	111	804	1	45	19.92930713756498
349	111	120	1	48	39.432395759558425
303	111	50	1	55	11.793888974063114
128	111	7	1	69	14.209949053354789
97	111	3	1	71	20.687052514987133
145	111	9	1	117	3.283267186355788
420	111	796	1	133	209.07237026438114
462	111	1202	1	201	25.76492254463016
304	111	50	1	202	1.8567247714947308
471	111	1232	1	213	27.388700900933486
271	111	45	1	223	31.96048503319635
341	111	102	1	229	9.39934615993384
400	111	770	1	229	1.3771472427568316
478	111	1235	1	248	45.28001141148937
127	111	7	1	258	33.15664078086636
527	111	1236	1	272	45.89806581989911
514	111	1236	1	283	4.149573538713991
314	111	55	1	286	4.8771826426166465
134	111	9	1	291	16.040423049976457
62	111	3	1	306	43.58504829454904
263	111	44	1	329	12.293387199444354
23	111	2	1	337	3.5236339808042665
207	111	30	1	339	28.60838152084454
157	111	11	1	341	7.963958109351246
204	111	30	1	342	16.155618813905278
538	111	1236	1	346	10.531039090852126
479	111	1235	1	357	59.34184339559102
457	111	1176	1	389	21.049178085923934
86	111	3	1	391	5.2561972651228865
517	111	1236	1	393	0.2958036283490661
402	111	772	1	399	11.177878483334686
16	111	2	1	417	2.113465680482442
235	111	40	1	420	33.721209168692965
293	111	49	1	426	43.887641474336334
307	111	52	1	430	13.194747502635137
38	111	3	1	432	35.05451137484496
423	111	797	1	461	2.0966355297091575
447	111	1020	1	461	14.536377153712516
542	111	1236	1	473	128.20005068437408
7	111	2	1	484	36.06091657203826
521	111	1236	1	485	12.139680978731034
239	111	40	1	487	5.690278023394664
415	111	794	1	499	8.064246089870798
499	111	1236	1	499	35.387997265796365
282	111	46	1	501	16.305026664209173
507	111	1236	1	507	18.407995816028908
122	111	7	1	520	17.347553205979654
18	111	2	1	521	3.1974430879743343
502	111	1236	1	522	1.614911619244885
276	111	45	1	524	34.515814002993096
139	111	9	1	539	1.7010436729722431
328	111	66	1	563	6.3649996379983955
84	111	3	1	581	61.96661422233628
153	111	10	1	581	24.11692609459856
146	111	9	1	583	30.052606441443963
310	111	53	1	590	19.849521462848504
466	111	1202	1	610	31.604839571151242
294	111	49	1	611	84.33419698465862
115	111	5	1	616	9.587855635176622
195	111	26	1	618	22.663612366099077
431	111	842	1	632	5.896255606932374
326	111	64	1	640	29.493951717898078
465	111	1202	1	669	11.497513890708108
125	111	7	1	676	19.25329008424423
194	111	26	1	699	46.95614931053789
162	111	11	1	706	8.854560336182553
217	111	34	1	714	1.9202403619418418
417	111	795	1	743	24.878426071710575
384	111	736	1	761	3.5679111266222763
399	111	765	1	782	184.1890369682002
432	111	855	1	785	27.547064228257334
506	111	1236	1	803	1.356845928230285
495	111	1236	1	804	1.7789210974704561
205	111	30	1	810	15.22933963063637
152	111	10	1	811	25.050097692818227
159	111	11	1	813	49.393539006523675
250	111	42	1	822	49.04104648416429
481	111	1236	1	829	3.5021458827831857
83	111	3	1	847	12.495955884427552
359	111	388	1	856	44.204886533654744
211	111	33	1	859	10.183658459609559
22	111	2	1	897	12.965589857237058
302	111	50	1	902	13.710592747791045
487	111	1236	1	902	19.611493859426496
550	111	1236	1	910	16.756296228961183
315	111	56	1	930	58.074593948373526
25	111	2	1	942	39.58545203149753
297	111	49	1	952	2.185870906815753
286	111	48	1	962	7.330847332489904
73	111	3	1	980	17.949653439873433
100	111	3	1	994	31.695092948503305
119	111	6	1	1017	0.08630477072312102
220	111	35	1	1036	140.81663304635558
3	111	2	1	1081	47.88850572367168
39	111	3	1	1109	86.05794042339828
20	111	2	1	1111	0.48061061471069766
214	111	34	1	1121	58.097586558194166
199	111	27	1	1138	39.20050958036505
246	111	41	1	1141	24.8901033653219
450	111	1031	1	1145	22.246300148999207
247	111	42	1	1165	61.345551166983405
9	111	2	1	1178	56.369839755163596
474	111	1235	1	1186	0.6041944139850116
268	111	45	1	1205	15.700205219935656
544	111	1236	1	1206	6.812578085047169
113	111	5	1	1233	34.97909415480772
477	111	1235	1	1243	5.713137203359032
309	111	53	1	1244	3.798363820114266
29	111	2	1	1258	16.319060963326606
485	111	1236	1	1265	18.66931932310598
218	111	34	1	1271	30.05801082892336
405	111	773	1	1282	39.54607591399956
226	111	39	1	1286	13.744438902822338
387	111	744	1	1293	33.49554069518749
116	111	5	1	1295	1.7000103113282707
178	111	13	1	1332	31.335851625495966
429	111	803	1	1336	10.626232888028104
404	111	773	1	1342	45.89374581641469
438	111	977	1	1359	4.266061280126208
78	111	3	1	1381	45.78993190950499
290	111	49	1	1382	67.2774208261033
49	111	3	1	1390	0.372117468979461
136	111	9	1	1399	11.167845503124674
407	111	777	1	1400	12.685524968914404
372	111	615	1	1406	21.28018090910332
484	111	1236	1	1426	4.935547281245221
130	111	7	1	1434	58.903603804908215
95	111	3	1	1444	6.591849204692995
403	111	772	1	1452	2.375096970221198
522	111	1236	1	1458	0.11421566238366221
202	111	29	1	1465	45.5510095475286
375	111	663	1	1470	17.415605261153985
501	111	1236	1	1473	16.189181049014607
528	111	1236	1	1484	51.15052861201247
288	111	49	1	1508	14.23843781178559
323	111	60	1	1531	31.679543484843578
150	111	9	1	1542	28.143111421416002
184	111	22	1	1542	25.46246674482565
164	111	11	1	1543	18.35444512316801
67	111	3	1	1551	10.883440092662088
532	111	1236	1	1586	58.46609386943272
444	111	1004	1	1588	2.1197091088688835
132	111	8	1	1589	4.0264625247468535
489	111	1236	1	1604	4.292893741946756
425	111	798	1	1638	21.423774450354006
182	111	21	1	1639	22.57286380631283
483	111	1236	1	1658	20.449766783090503
301	111	50	1	1677	5.4137749199052845
123	111	7	1	1699	13.449881581449738
311	111	53	1	1729	579.5348631819688
332	111	75	1	1747	24.75783832975613
109	111	5	1	1779	25.67393600726621
291	111	49	1	1804	65.0620550200305
285	111	48	1	1813	21.32245069306658
10	111	2	1	1814	18.12206857415505
129	111	7	1	1823	71.56264935314113
135	111	9	1	1825	1.806384129938846
353	111	310	1	1825	11.841783153531118
287	111	48	1	1844	25.301064641043027
107	111	3	1	1856	7.727553794244088
363	111	437	1	1876	9.875585849370054
413	111	791	1	1885	16.223226376358493
435	111	959	1	1886	3.760217269697199
225	111	39	1	1916	1.3156406359749386
360	111	400	1	1928	78.26120225913792
196	111	27	1	1932	1.4823716680906884
480	111	1236	1	1960	20.429085020120812
335	111	79	1	1969	1.9544328872160375
298	111	49	1	1970	5.941563271524331
516	111	1236	1	1990	12.167578527954703
143	111	9	1	2003	0.5318959751443706
523	111	1236	1	2038	3.631902845001268
257	111	43	1	2048	0.6181963839866284
260	111	44	1	2064	34.26015902107835
14	111	2	1	2068	23.999176016728445
228	111	39	1	2107	21.171954838545847
334	111	78	1	2113	12.487752387323907
252	111	43	1	2120	6.442619507547078
543	111	1236	1	2120	15.821461634249117
258	111	43	1	2139	0.07920302171163665
295	111	49	1	2156	7.674011442704892
452	111	1163	1	2158	5.337417767304679
253	111	43	1	2160	25.281611518074886
273	111	45	1	2178	55.16659279695183
331	111	73	1	2187	10.217730675754387
167	111	11	1	2209	0.28865318543422747
17	111	2	1	2210	9.296482438998531
453	111	1164	1	2214	0.5444223186411111
412	111	789	1	2218	4.503955803917058
24	111	2	1	2251	17.90034654147758
549	111	1236	1	2263	28.147893015897992
374	111	658	1	2273	34.302597324701956
396	111	761	1	2279	22.43487230457789
389	111	751	1	2281	80.03172862634035
541	111	1236	1	2288	28.611635916776162
166	111	11	1	2290	4.32366204385092
160	111	11	1	2297	11.503221951294659
366	111	444	1	2318	5.421431746623255
72	111	3	1	2330	19.709365461029343
454	111	1175	1	2342	26.011672721513687
26	111	2	1	2354	17.58253753883954
448	111	1025	1	2370	32.28634512246361
70	111	3	1	2379	16.725857315960003
436	111	969	1	2390	1.1939538787732906
57	111	3	1	2398	12.696425239919591
222	111	36	1	2406	33.67144032939127
385	111	739	1	2419	37.678660542070865
356	111	362	1	2422	0.15824695200792946
58	111	3	1	2426	17.37335979876787
111	111	5	1	2437	27.705197788260705
