id	type	source	dest	length (ft)	ffspd (mph)	w (mph)	capacity	num_lanes
1	1001	1	4285	0.0	0.0	0.0	100000.0	1
2	1001	1	5140	0.0	0.0	0.0	100000.0	1
3	1001	2	5493	0.0	0.0	0.0	100000.0	1
4	1001	2	5910	0.0	0.0	0.0	100000.0	1
5	1001	2	7123	0.0	0.0	0.0	100000.0	1
6	1001	3	3996	0.0	0.0	0.0	100000.0	1
7	1001	3	4260	0.0	0.0	0.0	100000.0	1
8	1001	3	4285	0.0	0.0	0.0	100000.0	1
9	1001	3	4794	0.0	0.0	0.0	100000.0	1
10	1001	4	3884	0.0	0.0	0.0	100000.0	1
11	1001	4	3996	0.0	0.0	0.0	100000.0	1
12	1001	4	4084	0.0	0.0	0.0	100000.0	1
13	1001	5	4794	0.0	0.0	0.0	100000.0	1
14	1001	5	5043	0.0	0.0	0.0	100000.0	1
15	1001	6	4084	0.0	0.0	0.0	100000.0	1
16	1001	6	4260	0.0	0.0	0.0	100000.0	1
17	1001	6	4551	0.0	0.0	0.0	100000.0	1
18	1001	7	5159	0.0	0.0	0.0	100000.0	1
19	1001	7	5485	0.0	0.0	0.0	100000.0	1
20	1001	8	5945	0.0	0.0	0.0	100000.0	1
21	1001	8	6486	0.0	0.0	0.0	100000.0	1
22	1001	9	5485	0.0	0.0	0.0	100000.0	1
23	1001	9	5910	0.0	0.0	0.0	100000.0	1
24	1001	9	5946	0.0	0.0	0.0	100000.0	1
25	1001	10	7361	0.0	0.0	0.0	100000.0	1
26	1001	10	7676	0.0	0.0	0.0	100000.0	1
27	1001	11	7116	0.0	0.0	0.0	100000.0	1
28	1001	11	7730	0.0	0.0	0.0	100000.0	1
29	1001	12	7730	0.0	0.0	0.0	100000.0	1
30	1001	12	8301	0.0	0.0	0.0	100000.0	1
31	1001	12	9060	0.0	0.0	0.0	100000.0	1
32	1001	13	7676	0.0	0.0	0.0	100000.0	1
33	1001	13	8500	0.0	0.0	0.0	100000.0	1
34	1001	13	8636	0.0	0.0	0.0	100000.0	1
35	1001	14	8636	0.0	0.0	0.0	100000.0	1
36	1001	14	9048	0.0	0.0	0.0	100000.0	1
37	1001	15	9060	0.0	0.0	0.0	100000.0	1
38	1001	15	9634	0.0	0.0	0.0	100000.0	1
39	1001	16	9895	0.0	0.0	0.0	100000.0	1
40	1001	17	9808	0.0	0.0	0.0	100000.0	1
41	1001	17	9895	0.0	0.0	0.0	100000.0	1
42	1001	17	10106	0.0	0.0	0.0	100000.0	1
43	1001	18	9808	0.0	0.0	0.0	100000.0	1
44	1001	19	8776	0.0	0.0	0.0	100000.0	1
45	1001	20	8023	0.0	0.0	0.0	100000.0	1
46	1001	20	8188	0.0	0.0	0.0	100000.0	1
47	1001	21	8026	0.0	0.0	0.0	100000.0	1
48	1001	21	8217	0.0	0.0	0.0	100000.0	1
49	1001	21	8525	0.0	0.0	0.0	100000.0	1
50	1001	21	8900	0.0	0.0	0.0	100000.0	1
51	1001	22	7495	0.0	0.0	0.0	100000.0	1
52	1001	22	7711	0.0	0.0	0.0	100000.0	1
53	1001	23	7510	0.0	0.0	0.0	100000.0	1
54	1001	23	7740	0.0	0.0	0.0	100000.0	1
55	1001	24	8217	0.0	0.0	0.0	100000.0	1
56	1001	24	8315	0.0	0.0	0.0	100000.0	1
57	1001	25	7122	0.0	0.0	0.0	100000.0	1
58	1001	25	7715	0.0	0.0	0.0	100000.0	1
59	1001	26	5487	0.0	0.0	0.0	100000.0	1
60	1001	26	5650	0.0	0.0	0.0	100000.0	1
61	1001	26	5687	0.0	0.0	0.0	100000.0	1
62	1001	27	6196	0.0	0.0	0.0	100000.0	1
63	1001	27	6403	0.0	0.0	0.0	100000.0	1
64	1001	28	6257	0.0	0.0	0.0	100000.0	1
65	1001	28	6403	0.0	0.0	0.0	100000.0	1
66	1001	29	5715	0.0	0.0	0.0	100000.0	1
67	1001	29	5799	0.0	0.0	0.0	100000.0	1
68	1001	29	5936	0.0	0.0	0.0	100000.0	1
69	1001	30	5249	0.0	0.0	0.0	100000.0	1
70	1001	30	5549	0.0	0.0	0.0	100000.0	1
71	1001	30	5715	0.0	0.0	0.0	100000.0	1
72	1001	31	5695	0.0	0.0	0.0	100000.0	1
73	1001	31	5934	0.0	0.0	0.0	100000.0	1
74	1001	32	5601	0.0	0.0	0.0	100000.0	1
75	1001	32	5689	0.0	0.0	0.0	100000.0	1
76	1001	32	5695	0.0	0.0	0.0	100000.0	1
77	1001	33	5236	0.0	0.0	0.0	100000.0	1
78	1001	33	5367	0.0	0.0	0.0	100000.0	1
79	1001	34	5023	0.0	0.0	0.0	100000.0	1
80	1001	34	5118	0.0	0.0	0.0	100000.0	1
81	1001	34	5236	0.0	0.0	0.0	100000.0	1
82	1001	35	5033	0.0	0.0	0.0	100000.0	1
83	1001	35	5167	0.0	0.0	0.0	100000.0	1
84	1001	35	5268	0.0	0.0	0.0	100000.0	1
85	1001	36	5020	0.0	0.0	0.0	100000.0	1
86	1001	36	5167	0.0	0.0	0.0	100000.0	1
87	1001	36	5487	0.0	0.0	0.0	100000.0	1
88	1001	37	5020	0.0	0.0	0.0	100000.0	1
89	1001	38	5033	0.0	0.0	0.0	100000.0	1
90	1001	39	4411	0.0	0.0	0.0	100000.0	1
91	1001	40	4295	0.0	0.0	0.0	100000.0	1
92	1001	40	4411	0.0	0.0	0.0	100000.0	1
93	1001	41	3841	0.0	0.0	0.0	100000.0	1
94	1001	41	3930	0.0	0.0	0.0	100000.0	1
95	1001	42	3922	0.0	0.0	0.0	100000.0	1
96	1001	43	3922	0.0	0.0	0.0	100000.0	1
97	1001	43	4107	0.0	0.0	0.0	100000.0	1
98	1001	44	4104	0.0	0.0	0.0	100000.0	1
99	1001	45	4105	0.0	0.0	0.0	100000.0	1
100	1001	45	4204	0.0	0.0	0.0	100000.0	1
101	1001	46	4456	0.0	0.0	0.0	100000.0	1
102	1001	47	4451	0.0	0.0	0.0	100000.0	1
103	1001	47	4668	0.0	0.0	0.0	100000.0	1
104	1001	48	4668	0.0	0.0	0.0	100000.0	1
105	1001	49	4480	0.0	0.0	0.0	100000.0	1
106	1001	49	4809	0.0	0.0	0.0	100000.0	1
107	1001	50	4480	0.0	0.0	0.0	100000.0	1
108	1001	50	4778	0.0	0.0	0.0	100000.0	1
109	1001	50	4807	0.0	0.0	0.0	100000.0	1
110	1001	51	4778	0.0	0.0	0.0	100000.0	1
111	1001	51	4878	0.0	0.0	0.0	100000.0	1
112	1001	52	4938	0.0	0.0	0.0	100000.0	1
113	1001	52	5023	0.0	0.0	0.0	100000.0	1
114	1001	53	4936	0.0	0.0	0.0	100000.0	1
115	1001	53	5016	0.0	0.0	0.0	100000.0	1
116	1001	54	5016	0.0	0.0	0.0	100000.0	1
117	1001	54	5076	0.0	0.0	0.0	100000.0	1
118	1001	55	5013	0.0	0.0	0.0	100000.0	1
119	1001	55	5073	0.0	0.0	0.0	100000.0	1
120	1001	55	5076	0.0	0.0	0.0	100000.0	1
121	1001	55	5165	0.0	0.0	0.0	100000.0	1
122	1001	56	4935	0.0	0.0	0.0	100000.0	1
123	1001	56	5013	0.0	0.0	0.0	100000.0	1
124	1001	57	5164	0.0	0.0	0.0	100000.0	1
