Link	Type	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	Avg
1	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Centroid	208.0	180.0	200.0	212.0	188.0	244.0	180.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1656.0
4	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Centroid	4.0	0.0	0.0	4.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
11	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Centroid	56.0	36.0	56.0	28.0	48.0	52.0	36.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	376.0
14	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Centroid	44.0	24.0	12.0	32.0	0.0	40.0	28.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0
18	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	Centroid	52.0	48.0	64.0	48.0	48.0	48.0	88.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	488.0
20	Centroid	12.0	12.0	8.0	8.0	8.0	12.0	20.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0
21	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	Centroid	116.0	128.0	132.0	88.0	104.0	132.0	96.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	904.0
24	Centroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	Centroid	12.0	4.0	8.0	4.0	8.0	8.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0
26	Centroid	20.0	20.0	8.0	16.0	20.0	12.0	32.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0
27	Centroid	64.0	96.0	56.0	68.0	64.0	92.0	84.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600.0
