Link id	Type	FFtime	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700
1	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
2	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
3	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
4	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
5	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
6	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
7	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
8	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
9	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
10	1001	0.0	-0.1	6.0	6.0	-0.1	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
11	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
12	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
13	1001	0.0	6.0	6.0	6.5	6.0	8.5	7.0	22.0	73.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
14	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
15	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
16	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
17	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
18	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
19	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
20	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
21	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
22	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
23	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
24	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
25	1001	0.0	-0.1	-0.1	-0.1	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
26	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
27	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
28	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
29	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
30	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
31	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
32	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
33	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
34	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
35	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
36	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
37	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
38	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
39	1001	0.0	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
40	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
41	1001	0.0	-0.1	-0.1	6.0	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
42	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
43	1001	0.0	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
44	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
45	1001	0.0	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
46	1001	0.0	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
47	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
48	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
49	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
50	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
51	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
52	1001	0.0	-0.1	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
53	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
54	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
55	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
56	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
57	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
58	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
59	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
60	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
61	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
62	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
63	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
64	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
65	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
66	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
67	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
68	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
69	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
70	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
71	1001	0.0	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
72	1001	0.0	6.0	6.0	6.0	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
73	1001	0.0	6.0	-0.1	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
74	1001	0.0	6.0	6.0	6.0	6.0	6.0	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
75	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
76	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
77	1001	0.0	6.0	-0.1	6.0	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
78	1001	0.0	-0.1	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
79	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
80	1001	0.0	-0.1	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
81	1001	0.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
82	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
83	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
