id	type	origin	dest	dtime	vot
9241	111	125682	126393	5	13.264930872126182
18058	111	125553	131786	5	26.1867743602071
57894	111	125682	100385	6	16.00827188906658
15130	111	129912	125673	7	12.749195019128663
54974	111	126386	101413	9	0.8279978896346998
9242	111	125682	126393	10	5.187745547869793
12038	111	125545	125553	10	1.6279927874956537
12882	111	125545	125551	10	34.168095665704335
18059	111	125553	131786	10	5.386260691110926
34862	111	133099	126386	10	2.994089276735033
8979	111	125694	126393	11	3.742543892228325
58851	111	125682	101413	11	10.33024565167927
57895	111	125682	100385	12	20.17243761281745
59523	111	125682	100362	12	3.34532116840886
8262	111	125553	126364	13	39.651199027098805
14248	111	125553	125545	13	27.750959620788553
32373	111	131536	125669	13	8.113198724427983
35298	111	133099	126393	13	20.127012640095757
15131	111	129912	125673	14	23.216120923243437
34633	111	133099	130616	14	27.603884740496234
9243	111	125682	126393	15	67.58639221198133
11109	111	126364	133096	15	7.789898047684309
12574	111	125551	125545	15	26.098115871796534
16807	111	126384	125673	15	8.294838372560246
18060	111	125553	131786	15	3.8359803193018664
54975	111	126386	101413	18	0.5417858796163045
57896	111	125682	100385	18	49.95790454593256
51909	111	131536	100378	19	19.138616012011955
52303	111	131536	100380	19	2.5172827867469407
52816	111	131536	100383	19	12.646081524315798
52988	111	131536	100384	19	36.6103912973108
57332	111	129912	100377	19	44.89868322856492
9244	111	125682	126393	20	22.20469299403504
10902	111	126359	133096	20	7.313944263917805
12039	111	125545	125553	20	9.70640003875277
12883	111	125545	125551	20	18.856599614058496
18061	111	125553	131786	20	267.4928970525126
31858	111	125553	126386	20	36.40441567813042
34863	111	133099	126386	20	22.31644025719962
35755	111	125553	132097	20	8.839822703942948
50633	111	133099	101413	20	2.9129319984031636
52648	111	131536	100382	20	9.338962852303865
55624	111	129912	101413	20	27.7840384969705
58313	111	129912	100376	20	1.8524299317294994
15132	111	129912	125673	21	3.0382638174332883
8980	111	125694	126393	22	22.45660487729853
58852	111	125682	101413	22	21.15053926439782
369	111	130479	131786	23	4.413065032886385
57897	111	125682	100385	24	14.231921520222384
59524	111	125682	100362	24	1.0873687468554116
9245	111	125682	126393	25	4.900925354374147
18062	111	125553	131786	25	15.629337261967551
7947	111	125553	126359	26	5.5083039884236715
8263	111	125553	126364	26	14.436912427574844
14249	111	125553	125545	26	15.571210868239502
16464	111	125553	133096	26	28.582423972893043
32374	111	131536	125669	26	11.615963741921542
35299	111	133099	126393	26	16.03885451167312
41728	111	125553	100849	26	20.462234418064085
49003	111	125545	100378	27	67.10923616557365
54976	111	126386	101413	27	51.55565145212929
15133	111	129912	125673	28	3.26293123743042
34634	111	133099	130616	28	56.7851755229814
49098	111	125545	100379	28	32.62905728376781
9246	111	125682	126393	30	8.11952152339098
11110	111	126364	133096	30	11.086288536657433
12040	111	125545	125553	30	16.99512579938973
12575	111	125551	125545	30	6.99647689376732
12884	111	125545	125551	30	64.12836066947439
16808	111	126384	125673	30	0.2844194052635348
18063	111	125553	131786	30	1.6367031015524767
18514	111	125551	131786	30	74.21202972541964
34864	111	133099	126386	30	10.351938555829404
56652	111	129912	100385	30	25.2037016492368
57898	111	125682	100385	30	7.953589513394464
59870	111	125469	126364	31	16.717708978274374
33453	111	133099	132097	32	26.787079359388024
8981	111	125694	126393	33	63.681655799200165
28599	111	125682	100361	33	34.21945497037554
58853	111	125682	101413	33	56.8534537688957
10001	111	131536	125551	34	27.50536121203971
9247	111	125682	126393	35	58.76387811027637
15134	111	129912	125673	35	22.564498384150134
18064	111	125553	131786	35	20.720287466335815
54977	111	126386	101413	36	55.22965440388911
57899	111	125682	100385	36	67.23001978608784
59525	111	125682	100362	36	43.417005413844336
40489	111	133099	100377	37	29.695236642257722
50815	111	133099	101410	37	11.681720907654148
60359	111	125551	126364	37	3.857922435583886
51910	111	131536	100378	38	16.96592827859206
52304	111	131536	100380	38	13.43271038077808
52817	111	131536	100383	38	22.47380064626258
52989	111	131536	100384	38	39.840319332052296
57333	111	129912	100377	38	1.541649786220212
8264	111	125553	126364	39	38.68505634035084
14250	111	125553	125545	39	17.282392028781064
32375	111	131536	125669	39	17.929381852711224
35300	111	133099	126393	39	14.380540855862181
38785	111	133099	100375	39	0.6853623307054316
40999	111	133099	100362	39	9.529142584371316
9248	111	125682	126393	40	4.2841773206876335
10903	111	126359	133096	40	46.71541515159986
12041	111	125545	125553	40	9.000550009581834
12885	111	125545	125551	40	25.798971577757303
17428	111	133099	126399	40	35.31341090840322
18065	111	125553	131786	40	14.723720600169532
25173	111	126386	133099	40	5.375128342571651
31859	111	125553	126386	40	25.585403362506938
34865	111	133099	126386	40	44.3082829366333
35756	111	125553	132097	40	15.6210421563759
37945	111	133099	100405	40	23.448836906116636
39405	111	133099	100383	40	4.777263171666991
50634	111	133099	101413	40	7.637631447104274
52649	111	131536	100382	40	22.605305106259728
55625	111	129912	101413	40	49.45165355903342
58314	111	129912	100376	40	25.72425923437737
10737	111	125469	125545	42	8.988269753638695
15135	111	129912	125673	42	7.365304502281919
15898	111	126399	126234	42	45.61483793774539
29626	111	125669	100379	42	16.57410446224086
31578	111	125545	126386	42	3.3337512895397285
34235	111	133099	131027	42	24.393727215084272
34635	111	133099	130616	42	21.17230659169868
43885	111	126359	100376	42	34.54019268682994
57900	111	125682	100385	42	54.18057168442218
8982	111	125694	126393	44	5.237153424611281
58854	111	125682	101413	44	7.119157049425933
9249	111	125682	126393	45	10.365357264049798
11111	111	126364	133096	45	5.845713810665254
12576	111	125551	125545	45	9.303918639546032
16809	111	126384	125673	45	2.189803179144052
18066	111	125553	131786	45	14.467631491741676
18749	111	126234	126364	45	11.560708687074953
35911	111	125545	132097	45	1.4652293652390938
54978	111	126386	101413	45	13.153570667301459
370	111	130479	131786	46	6.1936920600510295
1406	111	100405	131791	47	37.00583328487563
1567	111	100358	131791	47	10.859377363468809
8184	111	125551	126307	47	30.15945089811128
28329	111	125682	100406	47	3.674080837865915
57901	111	125682	100385	48	4.3250351643776055
59526	111	125682	100362	48	27.474998267602704
15136	111	129912	125673	49	21.668415737345853
9250	111	125682	126393	50	83.28066586972548
12042	111	125545	125553	50	33.549947081179106
12886	111	125545	125551	50	24.632373880116003
17934	111	125469	131786	50	13.745890068829206
18067	111	125553	131786	50	27.87504274592953
34060	111	130616	126393	50	13.221940639904632
34866	111	133099	126386	50	50.98107823068048
48937	111	125545	100372	50	18.409177010236746
49777	111	125545	100381	50	17.637072974299617
5845	111	129912	100405	52	0.1508368111598419
7948	111	125553	126359	52	1.6456768161753572
8265	111	125553	126364	52	16.703675244651617
14251	111	125553	125545	52	26.901903189253083
16465	111	125553	133096	52	51.53574349371482
32376	111	131536	125669	52	16.78181523469188
35301	111	133099	126393	52	17.023690211153557
41729	111	125553	100849	52	21.784299390595713
46444	111	125545	101408	52	16.74807170266814
46477	111	125545	101409	52	13.7351491383708
47242	111	125545	100403	52	22.187918935408568
47444	111	125545	100407	52	6.426397308375634
47655	111	125545	100405	52	7.2027649614750295
49862	111	125545	100359	52	41.2431973242722
49004	111	125545	100378	54	54.0147873970062
54979	111	126386	101413	54	39.745970438077514
57902	111	125682	100385	54	17.946272662512325
8983	111	125694	126393	55	2.5528212627015963
9251	111	125682	126393	55	2.6617811972956176
18068	111	125553	131786	55	20.554649113852154
58855	111	125682	101413	55	10.616219791532153
15137	111	129912	125673	56	25.43832068431068
25838	111	129912	100406	56	40.295791192914265
26659	111	129912	100381	56	2.51012432717736
34636	111	133099	130616	56	8.806775717355478
49099	111	125545	100379	56	16.49224374023707
49671	111	125545	100380	56	18.271310959893253
60656	111	125551	101413	56	2.842973058643169
61361	111	125551	100385	56	20.769341602780408
62288	111	125551	100375	56	49.617344950960394
51911	111	131536	100378	57	28.77386523075534
52305	111	131536	100380	57	1.4857181955337895
52818	111	131536	100383	57	161.67334085823657
52990	111	131536	100384	57	37.81604004014853
57334	111	129912	100377	57	21.972626286115197
6073	111	131551	131786	60	37.77002547842308
9252	111	125682	126393	60	3.3511197480126147
10550	111	125694	125673	60	4.005789069014846
10904	111	126359	133096	60	39.82491958084025
11112	111	126364	133096	60	22.408023401543385
12043	111	125545	125553	60	21.39221615221289
12577	111	125551	125545	60	3.7461470158396706
12887	111	125545	125551	60	19.202362658285857
16810	111	126384	125673	60	8.345063753193935
18069	111	125553	131786	60	9.24114663399969
18515	111	125551	131786	60	30.660184891212275
21117	111	131027	100379	60	34.80957715929513
24666	111	130479	100380	60	7.882999236072533
31860	111	125553	126386	60	11.212146702987903
34867	111	133099	126386	60	31.498506974363803
35757	111	125553	132097	60	1.023571101482707
37081	111	100383	131483	60	1.3253707565667763
50635	111	133099	101413	60	48.14608048669336
52650	111	131536	100382	60	24.756268745223107
55626	111	129912	101413	60	7.268134231371891
56653	111	129912	100385	60	18.815050117101997
57903	111	125682	100385	60	5.811354347219068
58315	111	129912	100376	60	4.846242326268921
59527	111	125682	100362	60	130.89921840739802
60805	111	125551	101408	60	21.8850853083466
60864	111	125551	101409	60	17.756636076448803
61777	111	125551	100380	60	23.288168111504348
61939	111	125551	100378	60	31.502411663152515
59871	111	125469	126364	62	4.445688601840613
15138	111	129912	125673	63	32.26538745071395
54980	111	126386	101413	63	14.019450459233893
2085	111	125469	100378	64	19.45593752837385
23340	111	126386	100375	64	14.468639960063031
24800	111	130479	100381	64	26.236792169745883
24872	111	130479	100378	64	16.179990086558778
33454	111	133099	132097	64	0.23880518349389662
8266	111	125553	126364	65	63.20705231547038
9253	111	125682	126393	65	34.211830307644384
14252	111	125553	125545	65	8.939484109693538
18070	111	125553	131786	65	1.1417172348655429
32377	111	131536	125669	65	0.1654534080167113
35302	111	133099	126393	65	5.915464025764055
8984	111	125694	126393	66	42.63570148880719
28600	111	125682	100361	66	27.840403837816144
57904	111	125682	100385	66	12.994475819949866
58856	111	125682	101413	66	26.48112882202261
10002	111	131536	125551	68	3.321548047043916
371	111	130479	131786	69	5.56757847255512
6856	111	130615	131786	69	70.25103965607335
10521	111	125545	125469	69	31.08490893420159
20377	111	133099	125551	69	28.70183550082076
21425	111	125682	130479	69	49.17575662052172
24974	111	130479	100377	69	56.156124835877925
9254	111	125682	126393	70	30.139375026396554
12044	111	125545	125553	70	11.664901027360788
12888	111	125545	125551	70	41.639539352321016
15139	111	129912	125673	70	24.49003513173181
18071	111	125553	131786	70	33.17743149271779
34637	111	133099	130616	70	32.906466255562464
34868	111	133099	126386	70	31.17331291575172
54981	111	126386	101413	72	28.8447253481717
57905	111	125682	100385	72	18.59355454991885
59528	111	125682	100362	72	6.017358498939095
40490	111	133099	100377	74	16.436159636781603
50816	111	133099	101410	74	42.6904886709072
60360	111	125551	126364	74	32.0470913725564
2357	111	125469	100380	75	6.012644868578242
4259	111	125469	131551	75	13.695805811601682
5245	111	130616	131786	75	40.790029357553635
9255	111	125682	126393	75	9.967205326958213
11113	111	126364	133096	75	0.3371324047232524
12578	111	125551	125545	75	29.795664030287657
16811	111	126384	125673	75	0.0593287651874716
18072	111	125553	131786	75	10.802744721750308
21637	111	129912	130615	75	29.393905536310257
22069	111	132077	126399	75	13.889778169865238
42837	111	126364	100378	75	18.84704026120961
43985	111	126359	100375	75	59.660183912979335
44193	111	126364	100344	75	4.738313449064569
51912	111	131536	100378	76	3.600203802827943
52306	111	131536	100380	76	8.04294735168892
52819	111	131536	100383	76	13.770520542864144
52991	111	131536	100384	76	29.133653001702548
57335	111	129912	100377	76	0.09831141612405855
8985	111	125694	126393	77	48.06132287720117
15140	111	129912	125673	77	1.5412437601344788
58857	111	125682	101413	77	10.145813170195739
7949	111	125553	126359	78	5.986370898375586
8267	111	125553	126364	78	15.874026703095547
14253	111	125553	125545	78	30.14314242484048
16466	111	125553	133096	78	12.793524770315628
32378	111	131536	125669	78	17.21832650699853
35303	111	133099	126393	78	6.708120693916418
38786	111	133099	100375	78	21.375335237947304
41000	111	133099	100362	78	13.322463892299648
41730	111	125553	100849	78	1.7115698040522984
57906	111	125682	100385	78	9.540300699510238
9256	111	125682	126393	80	0.38264642958282424
10905	111	126359	133096	80	13.296137574202605
12045	111	125545	125553	80	8.033464605441683
12889	111	125545	125551	80	51.561684549345614
17429	111	133099	126399	80	24.396604637867412
18073	111	125553	131786	80	0.26711698964017544
25174	111	126386	133099	80	0.28611205377186993
31861	111	125553	126386	80	54.51894351999632
34869	111	133099	126386	80	19.62032121490073
35758	111	125553	132097	80	23.82419521310963
37946	111	133099	100405	80	0.4120244622341981
39406	111	133099	100383	80	18.08426164497157
50636	111	133099	101413	80	13.126619080095203
52651	111	131536	100382	80	112.60350975193683
55627	111	129912	101413	80	5.600765970307691
58316	111	129912	100376	80	14.856065101563013
3523	111	125469	100381	81	10.074057208315777
4684	111	129912	125545	81	26.670646237387594
14715	111	129912	125698	81	11.142127357466828
21393	111	125669	126399	81	10.970258216044135
23542	111	126386	100381	81	23.926004648463724
25956	111	129912	100384	81	20.835396885719053
26420	111	129912	100379	81	16.670625457211404
28529	111	125694	100376	81	32.23556850738859
28884	111	125682	100381	81	55.32203823140677
31405	111	125545	130615	81	9.645782015821572
41950	111	126234	100383	81	19.550319771030154
42150	111	126234	100379	81	12.605536068680411
43496	111	126364	100374	81	0.5593770672988099
49005	111	125545	100378	81	49.17243681411119
54982	111	126386	101413	81	26.32700265001314
10738	111	125469	125545	84	7.978772433425583
15141	111	129912	125673	84	30.353958672638537
15899	111	126399	126234	84	2.2933850992216915
29627	111	125669	100379	84	21.467629832515257
31579	111	125545	126386	84	52.14217356542911
34236	111	133099	131027	84	19.89177959332836
34638	111	133099	130616	84	25.60011419245198
43886	111	126359	100376	84	35.091975612427305
49100	111	125545	100379	84	4.493043622684521
57907	111	125682	100385	84	3.246333873294168
59529	111	125682	100362	84	2.4126229127069156
9257	111	125682	126393	85	51.54604267453471
18074	111	125553	131786	85	43.95750807763099
8986	111	125694	126393	88	2.951782773064812
58858	111	125682	101413	88	27.24377579080793
3960	111	125469	126393	90	9.777210010389346
5156	111	131551	125545	90	1.2457675075346348
5217	111	125694	125545	90	22.696565901990855
9258	111	125682	126393	90	17.885350006700833
11114	111	126364	133096	90	52.341119840867925
12046	111	125545	125553	90	3.1907172422520897
12579	111	125551	125545	90	85.18268863914022
12890	111	125545	125551	90	24.181182026869344
15608	111	125694	129913	90	18.653548874908985
16636	111	126384	125698	90	0.47387957448239326
16812	111	126384	125673	90	11.489218276065698
17377	111	126234	125551	90	0.02595181267906795
17754	111	133096	126364	90	21.0994098368289
18075	111	125553	131786	90	11.209703911742615
18516	111	125551	131786	90	19.077112091646175
18750	111	126234	126364	90	10.811221716545843
21524	111	125682	126399	90	24.084722735356394
26497	111	129912	100380	90	16.013843947323796
26938	111	129912	100383	90	80.2906850511058
