id	type	origin	destination	demand
1	111	132097	125698	1.729574
2	111	132097	100356	2.096996
3	111	132097	100359	1.572749
4	111	132097	100358	3.1455
5	111	132097	131786	35.07539
6	111	132097	100361	1.572747
7	111	132097	100360	1.572747
8	111	132097	100362	8.388
9	111	132097	100373	2.6212470000000003
10	111	132097	100372	3.340518
11	111	132097	100375	2.6212489999999997
12	111	132097	100374	2.621245
13	111	132097	100377	34.0762
14	111	132097	131483	3.6697480000000002
15	111	132097	100376	7.3395
16	111	132097	100379	55.570370000000004
17	111	132097	100378	32.503460000000004
18	111	132097	126234	2.096998
19	111	132097	125469	8.99611
20	111	132097	100381	42.98843
21	111	132097	100380	16.25175
22	111	132097	100383	45.609688999999996
23	111	132097	100382	22.542729
24	111	132097	100385	6.815247
25	111	132097	101409	4.718246
26	111	132097	100384	27.78521
27	111	132097	101408	9.960749
28	111	132097	126307	0.524249
29	111	132097	100386	1.048498
30	111	132097	101410	2.6212470000000003
31	111	132097	101413	24.639719999999997
32	111	132097	125545	15.032312
33	111	132097	125673	0.7729233
34	111	132097	133099	9.96075
35	111	132097	133096	0.524249
36	111	132097	100849	2.227014
37	111	132097	125553	12.805309999999999
38	111	132097	100403	3.89727
39	111	132097	100405	20.599850000000004
40	111	132097	100404	1.6702620000000001
41	111	132097	100407	1.572749
42	111	132097	100406	13.106248999999998
43	111	132097	100345	0.524249
44	111	132097	129913	1.2789869999999999
45	111	132097	126393	9.778178
46	111	132097	100344	1.048498
47	111	100356	133122	7.0
48	111	100356	125698	2.05474
49	111	100356	132097	1.55831
50	111	100356	100359	2.0
51	111	100356	100358	1.0
52	111	100356	100361	2.0
53	111	100356	100360	2.0
54	111	100356	100362	4.0
55	111	100356	100373	1.0
56	111	100356	100372	1.0
57	111	100356	100375	1.0
58	111	100356	126359	21.304319999999997
59	111	100356	100374	1.0
60	111	100356	100377	4.0
61	111	100356	100376	3.0
62	111	100356	100379	6.0
63	111	100356	100378	3.0
64	111	100356	126234	10.07342
65	111	100356	100381	7.0
66	111	100356	125469	1.61654
67	111	100356	100380	2.0
68	111	100356	126364	33.25001
69	111	100356	100383	6.0
70	111	100356	100382	2.0
71	111	100356	101409	1.0
72	111	100356	100385	1.0
73	111	100356	101408	2.0
74	111	100356	100384	2.0
75	111	100356	101410	1.0
76	111	100356	100386	1.0
77	111	100356	101413	5.0
78	111	100356	100403	1.0
79	111	100356	126386	3.2229
80	111	100356	100405	4.0
81	111	100356	100404	1.0
82	111	100356	130615	0.806606
83	111	100356	100407	1.0
84	111	100356	100406	4.0
85	111	100356	126393	0.464659
86	111	100356	130616	3.41008
87	111	100356	131786	2.5819530000000004
88	111	100356	131791	17.8149
89	111	100356	131551	0.933691
90	111	100356	125545	5.17722
91	111	100356	125673	0.124665
92	111	100356	133099	25.73682
93	111	100356	125551	0.748972
94	111	100356	132077	3.900062
95	111	100356	125553	4.165649999999999
96	111	100356	100849	2.0
97	111	100356	129913	1.7364970000000002
98	111	100356	100345	2.0
99	111	100356	100344	3.0
100	111	100359	133122	1.0
101	111	100359	125698	1.02737
102	111	100359	100356	1.0
103	111	100359	100358	2.0
104	111	100359	131786	1.721302
105	111	100359	100361	1.0
106	111	100359	100360	1.0
107	111	100359	100362	3.0
108	111	100359	131791	17.8149
109	111	100359	131027	1.74864
110	111	100359	100372	1.0
111	111	100359	100375	1.0
112	111	100359	126359	17.7536
113	111	100359	100374	1.0
114	111	100359	100377	3.0
115	111	100359	100376	2.0
116	111	100359	100379	4.0
117	111	100359	100378	2.0
118	111	100359	126234	7.834890000000001
119	111	100359	100381	3.0
120	111	100359	125469	1.61654
121	111	100359	100380	2.0
122	111	100359	126364	7.228250000000001
123	111	100359	100383	3.0
124	111	100359	100382	1.0
125	111	100359	101409	1.0
126	111	100359	100385	1.0
127	111	100359	101408	1.0
128	111	100359	100384	1.0
129	111	100359	101410	1.0
130	111	100359	101413	3.0
131	111	100359	125545	2.58861
132	111	100359	125673	0.099732
133	111	100359	133099	19.30263
134	111	100359	125551	0.5617289999999999
135	111	100359	125553	2.7771
136	111	100359	100849	1.0
137	111	100359	100403	1.0
138	111	100359	126386	9.6687
139	111	100359	100405	2.0
140	111	100359	100404	1.0
141	111	100359	100407	1.0
142	111	100359	100406	3.0
143	111	100359	129913	0.434124
144	111	100359	126393	2.787954
145	111	100359	100345	1.0
146	111	100359	130616	3.41008
147	111	100359	100344	2.0
148	111	100358	133122	2.0
149	111	100358	125698	2.05474
150	111	100358	132097	3.11662
151	111	100358	100359	2.0
152	111	100358	100361	3.0
153	111	100358	100360	2.0
154	111	100358	100363	1.0
155	111	100358	100362	3.0
156	111	100358	100373	1.0
157	111	100358	100372	1.0
158	111	100358	100375	1.0
159	111	100358	126359	17.7536
160	111	100358	100374	1.0
161	111	100358	100377	3.0
162	111	100358	100376	3.0
163	111	100358	100379	5.0
164	111	100358	100378	4.0
165	111	100358	126234	12.311950000000001
166	111	100358	100381	5.0
167	111	100358	125469	3.23308
168	111	100358	100380	2.0
169	111	100358	126364	15.902150000000002
170	111	100358	100383	3.0
171	111	100358	100382	3.0
172	111	100358	101409	2.0
173	111	100358	100385	1.0
174	111	100358	101408	1.0
175	111	100358	100384	2.0
176	111	100358	100386	1.0
177	111	100358	101413	5.0
178	111	100358	100403	1.0
179	111	100358	126386	12.89161
180	111	100358	100405	3.0
