id	coordinates
4229	(-97.7388,30.2788),(-97.739,30.2783)
104229	(-97.739,30.2783),(-97.7388,30.2788)
4247	(-97.7514,30.2769),(-97.7543,30.2779)
104247	(-97.7543,30.2779),(-97.7514,30.2769)
4258	(-97.743,30.2779),(-97.7433,30.2769)
4297	(-97.7507,30.2786),(-97.7511,30.2775)
104297	(-97.7511,30.2775),(-97.7507,30.2786)
4299	(-97.7419,30.2776),(-97.743,30.2779)
104299	(-97.743,30.2779),(-97.7419,30.2776)
4301	(-97.7466,30.2779),(-97.7468,30.2774)
104301	(-97.7468,30.2774),(-97.7466,30.2779)
4303	(-97.7364,30.2781),(-97.7368,30.2772)
4590	(-97.7463,30.2755),(-97.7474,30.2758)
104590	(-97.7474,30.2758),(-97.7463,30.2755)
4607	(-97.7469,30.2641),(-97.748,30.2644)
104607	(-97.748,30.2644),(-97.7469,30.2641)
4617	(-97.7463,30.269),(-97.7474,30.2693)
104624	(-97.747,30.2703),(-97.7459,30.27)
4865	(-97.754,30.2715),(-97.7578,30.273)
4868	(-97.7546,30.2703),(-97.7557,30.2678)
104868	(-97.7557,30.2678),(-97.7546,30.2703)
4885	(-97.7487,30.2656),(-97.7491,30.2647)
104885	(-97.7491,30.2647),(-97.7487,30.2656)
4887	(-97.7491,30.2647),(-97.751,30.2652)
104887	(-97.751,30.2652),(-97.7491,30.2647)
4888	(-97.748,30.2644),(-97.7491,30.2647)
104888	(-97.7491,30.2647),(-97.748,30.2644)
4890	(-97.7487,30.2656),(-97.7484,30.2665)
104890	(-97.7484,30.2665),(-97.7487,30.2656)
4892	(-97.7491,30.2678),(-97.7502,30.2681)
104892	(-97.7502,30.2681),(-97.7491,30.2678)
4895	(-97.7528,30.2739),(-97.7534,30.2727)
104895	(-97.7534,30.2727),(-97.7528,30.2739)
4896	(-97.7484,30.2761),(-97.7495,30.2763)
104896	(-97.7495,30.2763),(-97.7484,30.2761)
4899	(-97.7482,30.2737),(-97.7485,30.2727)
104899	(-97.7485,30.2727),(-97.7482,30.2737)
4901	(-97.754,30.2715),(-97.7546,30.2703)
104901	(-97.7546,30.2703),(-97.754,30.2715)
4905	(-97.7514,30.2769),(-97.7522,30.2752)
104905	(-97.7522,30.2752),(-97.7514,30.2769)
4906	(-97.747,30.2703),(-97.7481,30.2706)
104906	(-97.7481,30.2706),(-97.747,30.2703)
4908	(-97.7485,30.2727),(-97.7488,30.2718)
104908	(-97.7488,30.2718),(-97.7485,30.2727)
4909	(-97.7492,30.2709),(-97.7493,30.2706)
104909	(-97.7493,30.2706),(-97.7492,30.2709)
4910	(-97.7495,30.2701),(-97.7495,30.2699)
104910	(-97.7495,30.2699),(-97.7495,30.2701)
4912	(-97.7474,30.2758),(-97.7478,30.2746)
104912	(-97.7478,30.2746),(-97.7474,30.2758)
4914	(-97.7474,30.2758),(-97.7484,30.2761)
104914	(-97.7484,30.2761),(-97.7474,30.2758)
5062	(-97.7388,30.2618),(-97.7393,30.2604)
105062	(-97.7393,30.2604),(-97.7388,30.2618)
5073	(-97.7368,30.2612),(-97.7388,30.2618)
105073	(-97.7388,30.2618),(-97.7368,30.2612)
5084	(-97.7446,30.2634),(-97.7455,30.2609)
105084	(-97.7455,30.2609),(-97.7446,30.2634)
5136	(-97.7387,30.2721),(-97.739,30.2711)
5138	(-97.7387,30.2721),(-97.7397,30.2724)
105138	(-97.7397,30.2724),(-97.7387,30.2721)
5139	(-97.7372,30.2665),(-97.7382,30.2668)
5140	(-97.7418,30.2709),(-97.7421,30.2699)
105140	(-97.7421,30.2699),(-97.7418,30.2709)
105142	(-97.739,30.268),(-97.7379,30.2677)
5145	(-97.7371,30.2762),(-97.7389,30.2767)
105145	(-97.7389,30.2767),(-97.7371,30.2762)
5146	(-97.7459,30.27),(-97.7463,30.269)
105147	(-97.7443,30.2695),(-97.7438,30.2693)
5148	(-97.7393,30.2702),(-97.7397,30.2692)
5149	(-97.7431,30.2712),(-97.7434,30.2703)
5150	(-97.7382,30.2637),(-97.7388,30.2618)
105150	(-97.7388,30.2618),(-97.7382,30.2637)
5153	(-97.7358,30.2702),(-97.7362,30.2693)
105153	(-97.7362,30.2693),(-97.7358,30.2702)
105162	(-97.7438,30.2693),(-97.7425,30.269)
5165	(-97.7428,30.2681),(-97.7434,30.2682)
5166	(-97.7428,30.2681),(-97.7432,30.2671)
105166	(-97.7432,30.2671),(-97.7428,30.2681)
5170	(-97.7421,30.2627),(-97.7432,30.263)
105170	(-97.7432,30.263),(-97.7421,30.2627)
5172	(-97.7448,30.2666),(-97.7452,30.2656)
5173	(-97.7437,30.2658),(-97.7439,30.2652)
105173	(-97.7439,30.2652),(-97.7437,30.2658)
5174	(-97.7407,30.2664),(-97.7411,30.2655)
5177	(-97.7446,30.2634),(-97.7459,30.2638)
105177	(-97.7459,30.2638),(-97.7446,30.2634)
5178	(-97.7432,30.263),(-97.7446,30.2634)
105178	(-97.7446,30.2634),(-97.7432,30.263)
5179	(-97.7459,30.2638),(-97.7469,30.2641)
105179	(-97.7469,30.2641),(-97.7459,30.2638)
5183	(-97.7448,30.2666),(-97.7459,30.2669)
105183	(-97.7459,30.2669),(-97.7448,30.2666)
5186	(-97.7445,30.2675),(-97.7448,30.2666)
5187	(-97.7441,30.2684),(-97.7452,30.2687)
5189	(-97.7463,30.269),(-97.7464,30.2686)
5190	(-97.7432,30.2671),(-97.7435,30.2662)
105190	(-97.7435,30.2662),(-97.7432,30.2671)
5191	(-97.7435,30.2662),(-97.7448,30.2666)
105191	(-97.7448,30.2666),(-97.7435,30.2662)
5193	(-97.7441,30.2684),(-97.7445,30.2675)
5194	(-97.7438,30.2693),(-97.7441,30.2684)
5197	(-97.74,30.2621),(-97.7411,30.2624)
105197	(-97.7411,30.2624),(-97.74,30.2621)
5198	(-97.7414,30.2646),(-97.7418,30.2636)
5200	(-97.7388,30.2618),(-97.74,30.2621)
105200	(-97.74,30.2621),(-97.7388,30.2618)
105201	(-97.7406,30.2685),(-97.74,30.2683)
5202	(-97.7404,30.2674),(-97.7415,30.2677)
5203	(-97.7404,30.2674),(-97.7405,30.267)
105209	(-97.7425,30.269),(-97.7411,30.2686)
5210	(-97.7425,30.269),(-97.7428,30.2681)
105210	(-97.7428,30.2681),(-97.7425,30.269)
5214	(-97.74,30.2683),(-97.7404,30.2674)
5217	(-97.7424,30.2731),(-97.7429,30.2732)
105217	(-97.7429,30.2732),(-97.7424,30.2731)
5218	(-97.7435,30.2734),(-97.7446,30.2737)
105218	(-97.7446,30.2737),(-97.7435,30.2734)
5219	(-97.7446,30.2737),(-97.7447,30.2733)
105220	(-97.7431,30.2712),(-97.7418,30.2709)
105223	(-97.7441,30.2715),(-97.7431,30.2712)
5229	(-97.7433,30.2769),(-97.7437,30.2759)
5233	(-97.7397,30.2724),(-97.7411,30.2727)
105233	(-97.7411,30.2727),(-97.7397,30.2724)
105235	(-97.7418,30.2709),(-97.7404,30.2705)
5236	(-97.7414,30.2718),(-97.7416,30.2713)
105236	(-97.7416,30.2713),(-97.7414,30.2718)
5239	(-97.7411,30.2727),(-97.7414,30.2718)
105239	(-97.7414,30.2718),(-97.7411,30.2727)
5240	(-97.7411,30.2727),(-97.7424,30.2731)
105240	(-97.7424,30.2731),(-97.7411,30.2727)
5241	(-97.739,30.2711),(-97.7393,30.2702)
105242	(-97.7404,30.2705),(-97.7393,30.2702)
5244	(-97.7395,30.2769),(-97.7408,30.2773)
105244	(-97.7408,30.2773),(-97.7395,30.2769)
5246	(-97.7408,30.2773),(-97.7414,30.2774)
105246	(-97.7414,30.2774),(-97.7408,30.2773)
5250	(-97.7375,30.2655),(-97.7378,30.2646)
105250	(-97.7378,30.2646),(-97.7375,30.2655)
