id	type	source	dest	length (ft)	ffspd (mph)	w (mph)	capacity	num_lanes
204277	1000	100374	5178	580.8	60.0	30.0	800.0	1
304277	1000	5178	100374	580.8	60.0	30.0	800.0	1
204866	1000	100403	5571	475.2	60.0	30.0	800.0	1
304866	1000	5571	100403	475.2	60.0	30.0	800.0	1
204872	1000	100403	5577	950.4	60.0	30.0	800.0	1
304872	1000	5577	100403	950.4	60.0	30.0	800.0	1
204873	1000	100849	5458	475.2	60.0	30.0	800.0	1
304873	1000	5458	100849	475.2	60.0	30.0	800.0	1
204884	1000	100404	5579	686.4	60.0	30.0	800.0	1
304884	1000	5579	100404	686.4	60.0	30.0	800.0	1
204889	1000	100404	5584	475.2	60.0	30.0	800.0	1
304889	1000	5584	100404	475.2	60.0	30.0	800.0	1
304898	1000	10602	100373	369.6	60.0	30.0	800.0	1
204900	1000	100372	12736	528.0	60.0	30.0	800.0	1
304900	1000	12736	100372	528.0	60.0	30.0	800.0	1
204902	1000	100372	10601	475.2	60.0	30.0	800.0	1
304902	1000	10601	100372	475.2	60.0	30.0	800.0	1
204911	1000	100849	5472	528.0	60.0	30.0	800.0	1
304911	1000	5472	100849	528.0	60.0	30.0	800.0	1
304913	1000	13085	100373	264.0	60.0	30.0	800.0	1
205154	1000	100377	5733	897.6	60.0	30.0	800.0	1
305154	1000	5733	100377	897.6	60.0	30.0	800.0	1
205155	1000	100407	5729	369.6	60.0	30.0	800.0	1
305155	1000	5729	100407	369.6	60.0	30.0	800.0	1
205160	1000	100407	11030	475.2	60.0	30.0	800.0	1
305160	1000	11030	100407	475.2	60.0	30.0	800.0	1
205164	1000	100406	10489	369.6	60.0	30.0	800.0	1
305164	1000	10489	100406	369.6	60.0	30.0	800.0	1
205199	1000	100406	5747	369.6	60.0	30.0	800.0	1
305199	1000	5747	100406	369.6	60.0	30.0	800.0	1
205222	1000	100377	5152	1214.4	60.0	30.0	800.0	1
305222	1000	5152	100377	1214.4	60.0	30.0	800.0	1
205271	1000	100382	5771	316.8	60.0	30.0	800.0	1
305271	1000	5771	100382	316.8	60.0	30.0	800.0	1
205295	1000	100384	5777	422.40000000000003	60.0	30.0	800.0	1
305295	1000	5777	100384	422.40000000000003	60.0	30.0	800.0	1
205308	1000	100383	5788	316.8	60.0	30.0	800.0	1
305308	1000	5788	100383	316.8	60.0	30.0	800.0	1
205325	1000	100385	5198	316.8	60.0	30.0	800.0	1
305325	1000	5198	100385	316.8	60.0	30.0	800.0	1
205921	1000	100356	6188	1267.2	60.0	30.0	800.0	1
305921	1000	6188	100356	1267.2	60.0	30.0	800.0	1
205922	1000	100358	11085	1214.4	60.0	30.0	800.0	1
305922	1000	11085	100358	1214.4	60.0	30.0	800.0	1
206013	1000	100358	6147	580.8	60.0	30.0	800.0	1
306013	1000	6147	100358	580.8	60.0	30.0	800.0	1
206193	1000	100386	6322	844.8000000000001	60.0	30.0	800.0	1
306193	1000	6322	100386	844.8000000000001	60.0	30.0	800.0	1
206202	1000	100362	6337	1478.4	60.0	30.0	800.0	1
306202	1000	6337	100362	1478.4	60.0	30.0	800.0	1
206207	1000	100362	6344	1742.4	60.0	30.0	800.0	1
306207	1000	6344	100362	1742.4	60.0	30.0	800.0	1
206210	1000	100375	13048	158.4	60.0	30.0	800.0	1
306210	1000	13048	100375	158.4	60.0	30.0	800.0	1
206217	1000	100375	6347	633.6	60.0	30.0	800.0	1
306217	1000	6347	100375	633.6	60.0	30.0	800.0	1
206219	1000	100375	13049	264.0	60.0	30.0	800.0	1
306219	1000	13049	100375	264.0	60.0	30.0	800.0	1
306225	1000	6174	100359	475.2	60.0	30.0	800.0	1
206231	1000	100376	6345	580.8	60.0	30.0	800.0	1
306231	1000	6345	100376	580.8	60.0	30.0	800.0	1
306242	1000	6183	100356	528.0	60.0	30.0	800.0	1
206259	1000	100361	12043	369.6	60.0	30.0	800.0	1
306259	1000	12043	100361	369.6	60.0	30.0	800.0	1
206356	1000	100363	6312	528.0	60.0	30.0	800.0	1
306356	1000	6312	100363	528.0	60.0	30.0	800.0	1
213452	1000	100345	6166	1320.0	60.0	30.0	800.0	1
313452	1000	6166	100345	1320.0	60.0	30.0	800.0	1
213459	1000	100363	6315	1478.4	60.0	30.0	800.0	1
313459	1000	6315	100363	1478.4	60.0	30.0	800.0	1
314698	1000	5587	101408	475.2	60.0	30.0	800.0	1
214703	1000	101410	13051	105.60000000000001	60.0	30.0	800.0	1
314703	1000	13051	101410	105.60000000000001	60.0	30.0	800.0	1
214705	1000	101410	13058	264.0	60.0	30.0	800.0	1
314705	1000	13058	101410	264.0	60.0	30.0	800.0	1
214706	1000	101410	6351	844.8000000000001	60.0	30.0	800.0	1
314706	1000	6351	101410	844.8000000000001	60.0	30.0	800.0	1
214708	1000	101410	10607	1108.8	60.0	30.0	800.0	1
314708	1000	10607	101410	1108.8	60.0	30.0	800.0	1
214709	1000	101413	5214	316.8	60.0	30.0	800.0	1
314709	1000	5214	101413	316.8	60.0	30.0	800.0	1
314710	1000	5106	101413	528.0	60.0	30.0	800.0	1
214714	1000	101413	10610	633.6	60.0	30.0	800.0	1
314714	1000	10610	101413	633.6	60.0	30.0	800.0	1
215481	1000	100344	6169	792.0	60.0	30.0	800.0	1
315481	1000	6169	100344	792.0	60.0	30.0	800.0	1
216795	1000	100362	6338	422.40000000000003	60.0	30.0	800.0	1
316795	1000	6338	100362	422.40000000000003	60.0	30.0	800.0	1
316797	1000	12266	100359	422.40000000000003	60.0	30.0	800.0	1
316798	1000	6175	100358	158.4	60.0	30.0	800.0	1
216799	1000	100361	6334	158.4	60.0	30.0	800.0	1
316799	1000	6334	100361	158.4	60.0	30.0	800.0	1
216819	1000	100356	6184	528.0	60.0	30.0	800.0	1
316819	1000	6184	100356	528.0	60.0	30.0	800.0	1
216829	1000	100406	11384	528.0	60.0	30.0	800.0	1
316829	1000	11384	100406	528.0	60.0	30.0	800.0	1
217610	1000	100362	6342	1478.4	60.0	30.0	800.0	1
317610	1000	6342	100362	1478.4	60.0	30.0	800.0	1
217727	1000	100377	13023	580.8	60.0	30.0	800.0	1
317727	1000	13023	100377	580.8	60.0	30.0	800.0	1
217728	1000	100377	11533	1214.4	60.0	30.0	800.0	1
317728	1000	11533	100377	1214.4	60.0	30.0	800.0	1
217733	1000	100405	5745	528.0	60.0	30.0	800.0	1
317733	1000	5745	100405	528.0	60.0	30.0	800.0	1
317734	1000	10487	100404	316.8	60.0	30.0	800.0	1
217737	1000	100372	12737	422.40000000000003	60.0	30.0	800.0	1
317737	1000	12737	100372	422.40000000000003	60.0	30.0	800.0	1
218431	1000	100380	13130	580.8	60.0	30.0	800.0	1
318431	1000	13130	100380	580.8	60.0	30.0	800.0	1
