node	type	sequence	time_red	time_yellow	time_green	num_moves	link_from	link_to
6336	1	1		1	3	56	4	{15778,15778,106234,106234}	{6234,118559,115778,118559}
6336	1	2		1	3	26	2	{18559,18559}	{6234,115778}
6333	1	1		1	3	58	2	{18366,18366}	{6241,18560}
6333	1	2		1	3	24	2	{106241,106241}	{18560,118366}
11743	1	1		1	3	50	1	{116247}	{115710}
11743	1	2		1	3	62	1	{15710}	{16247}
11206	1	1		1	3	62	1	{6205}	{15710}
11206	1	2		1	3	50	1	{115710}	{106205}
11273	1	1		1	3	87	1	{115777}	{118528}
11273	1	2		1	3	25	1	{18528}	{15777}
6340	1	1		1	3	61	4	{6265,6265,106205,106205}	{6205,106258,106258,106265}
6340	1	2		1	3	21	2	{6258,6258}	{6205,106265}
5582	1	1		1	3	78	4	{104885,104885,104890,104890}	{4890,118383,4885,118383}
5582	1	2		1	3	34	2	{18383,18383}	{4885,4890}
13098	1	1		1	3	79	4	{4297,4297,118357,118357}	{18357,18359,18359,104297}
13098	1	2		1	3	33	2	{118359,118359}	{18357,104297}
13109	1	1		1	3	52	4	{18434,18434,118380,118380}	{18377,18380,18377,118434}
13109	1	2		1	3	30	3	{14511,14511,14511}	{18377,18380,118434}
5728	1	1		1	3	38	2	{105223,105223}	{5149,105220}
5728	1	2		1	3	44	2	{16877,16877}	{5149,105220}
5713	1	1		1	3	39	2	{105137,105137}	{105242,118190}
5713	1	2		1	3	43	2	{105235,105235}	{105242,118190}
13020	1	1		1	3	46	2	{18460,18460}	{18192,105234}
13020	1	2		1	3	36	2	{118190,118190}	{18192,105234}
5715	1	1		1	3	51	2	{5138,105233}	{5233,105138}
5715	1	2		1	3	61	2	{105234,105234}	{5233,105138}
5760	1	1		1	3	24	6	{5244,5244,5244,105246,105246,105246}	{5246,18211,118210,18211,105244,118210}
5760	1	2		1	3	58	6	{18210,18210,18210,118211,118211,118211}	{5246,18211,105244,5246,105244,118210}
5107	1	1		1	3	52	4	{18492,18492,105244,105244}	{5244,118216,118216,118492}
5107	1	2		1	3	30	2	{18216,18216}	{5244,118492}
13016	1	1		1	3	34	2	{18170,18170}	{18178,18196}
13016	1	2		1	3	48	2	{18179,18179}	{18178,18196}
5789	1	1		1	3	51	4	{5299,5299,105303,105303}	{5303,105302,105299,105302}
5789	1	2		1	3	31	3	{18196,18196,18196}	{5303,105299,105302}
5211	1	1		1	3	55	4	{5312,5312,105311,105311}	{5311,114713,105312,114713}
5211	1	2		1	3	27	3	{105292,105292,105292}	{5311,105312,114713}
6145	1	1		1	3	33	6	{5884,5884,5884,106015,106015,106015}	{5990,6015,118522,5990,105884,118522}
6145	1	2		1	3	49	6	{18522,18522,18522,105990,105990,105990}	{5990,6015,105884,6015,105884,118522}
6191	1	1		1	3	26	6	{6222,6222,6222,105924,105924,105924}	{5924,6223,115588,6223,106222,115588}
6191	1	2		1	3	56	6	{15588,15588,15588,106223,106223,106223}	{5924,6223,106222,5924,106222,115588}
5220	1	1		1	3	38	6	{18269,18269,18269,106222,106222,106222}	{6222,18280,118488,18280,118269,118488}
5220	1	2		1	3	44	6	{18488,18488,18488,118280,118280,118280}	{6222,18280,118269,6222,118269,118488}
6146	1	1		1	3	47	2	{6227,6227}	{5885,106224}
6146	1	2		1	3	35	2	{105885,105885}	{106224,106227}
6346	1	1		1	3	50	6	{6214,6214,6214,106212,106212,106212}	{6211,6212,106233,6211,106214,106233}
6346	1	2		1	3	32	3	{6233,6233,6233}	{6211,6212,106214}
6339	1	1		1	3	31	6	{15859,15859,15859,106213,106213,106213}	{6213,6233,118518,6233,115859,118518}
6339	1	2		1	3	51	6	{18518,18518,18518,106233,106233,106233}	{6213,6233,115859,6213,115859,118518}
13103	1	1		1	3	21	2	{6239,118366}	{18366,106239}
13103	1	2		1	3	61	2	{118367,118367}	{18366,106239}
6144	1	1		1	3	25	6	{18520,18520,18520,105884,105884,105884}	{5884,6197,118526,6197,118520,118526}
6144	1	2		1	3	57	3	{106197,106197,106197}	{5884,118520,118526}
6335	1	1		1	3	36	4	{18516,18516,106199,106199}	{6199,6239,6239,118516}
6335	1	2		1	3	46	2	{106239,106239}	{6199,118516}
6341	1	1		1	3	43	4	{15777,15777,106244,106244}	{6244,116247,115777,116247}
6341	1	2		1	3	39	2	{16247,16247}	{6244,115777}
6305	1	1		1	3	25	6	{6196,6196,6196,106245,106245,106245}	{6236,6245,118532,6236,106196,118532}
6305	1	2		1	3	57	6	{18532,18532,18532,106236,106236,106236}	{6236,6245,106196,6245,106196,118532}
10609	1	1		1	3	41	1	{6252}	{14711}
10609	1	2		1	3	41	1	{114711}	{106252}
6357	1	1		1	3	44	4	{6264,6264,106266,106266}	{6266,116547,106264,116547}
6357	1	2		1	3	38	2	{16547,16547}	{6266,106264}
6328	1	1		1	3	43	6	{6260,6260,6260,106261,106261,106261}	{6261,6264,115711,6264,106260,115711}
6328	1	2		1	3	39	6	{15711,15711,15711,106264,106264,106264}	{6261,6264,106260,6261,106260,115711}
6356	1	1		1	3	56	4	{6267,6267,106260,106260}	{6260,116008,106267,116008}
6356	1	2		1	3	26	2	{16008,16008}	{6260,106267}
6320	1	1		1	3	44	4	{6279,6279,106283,106283}	{6181,6283,6181,106279}
6320	1	2		1	3	38	2	{106181,106181}	{6283,106279}
6304	1	1		1	3	41	4	{106167,106167,106279,106279}	{6279,106284,6167,106284}
6304	1	2		1	3	41	2	{6284,6284}	{6167,6279}
6362	1	1		1	3	39	4	{16217,16217,106284,106284}	{6284,106273,106273,116217}
6362	1	2		1	3	43	2	{6273,6273}	{6284,116217}
6311	1	1		1	3	27	6	{106173,106173,106173,114227,114227,114227}	{6321,14227,106345,6173,6321,106345}
6311	1	2		1	3	55	6	{6345,6345,6345,106321,106321,106321}	{6173,6321,14227,6173,14227,106345}
6326	1	1		1	3	57	4	{6355,6355,106357,106357}	{6357,13458,13458,106355}
6326	1	2		1	3	25	2	{113458,113458}	{6357,106355}
6378	1	1		1	3	65	6	{6353,6353,6353,106355,106355,106355}	{6312,6355,118424,6312,106353,118424}
6378	1	2		1	3	47	6	{18424,18424,18424,106312,106312,106312}	{6312,6355,106353,6355,106353,118424}
13119	1	1		1	3	56	4	{6354,6354,118410,118410}	{18410,118411,106354,118411}
