id	origin	capacity
1	133122	4
2	133122	4
3	133122	4
4	133122	4
5	133122	4
6	133122	4
7	133122	4
8	133122	4
9	133122	4
10	133122	4
11	133122	4
12	133122	4
13	133122	4
14	133122	4
15	133122	4
16	133122	4
17	133122	4
18	133122	4
19	133122	4
20	133122	4
21	133122	4
22	133122	4
23	133122	4
24	133122	4
25	133122	4
26	133122	4
27	133122	4
28	133122	4
29	133122	4
30	133122	4
31	133122	4
32	133122	4
33	133122	4
34	133122	4
35	133122	4
36	133122	4
37	133122	4
38	133122	4
39	133122	4
40	133122	4
41	133122	4
42	133122	4
43	133122	4
44	133122	4
45	133122	4
46	133122	4
47	133122	4
48	133122	4
49	133122	4
50	133122	4
51	133122	4
52	133122	4
53	133122	4
54	133122	4
55	133122	4
56	133122	4
57	133122	4
58	133122	4
59	133122	4
60	133122	4
61	133122	4
62	133122	4
63	133122	4
64	133122	4
65	133122	4
66	133122	4
67	133122	4
68	133122	4
69	133122	4
70	133122	4
71	133122	4
72	133122	4
73	133122	4
74	133122	4
75	133122	4
76	133122	4
77	133122	4
78	133122	4
79	133122	4
80	133122	4
81	133122	4
82	133122	4
83	133122	4
84	133122	4
85	133122	4
86	133122	4
87	133122	4
88	133122	4
89	133122	4
90	133122	4
91	133122	4
92	133122	4
93	133122	4
94	133122	4
95	133122	4
96	133122	4
97	133122	4
98	133122	4
99	133122	4
100	133122	4
101	133122	4
102	133122	4
103	133122	4
104	133122	4
105	133122	4
106	133122	4
107	133122	4
108	133122	4
109	133122	4
110	133122	4
111	133122	4
112	133122	4
113	133122	4
114	100356	4
115	100356	4
116	100356	4
117	100356	4
118	100356	4
119	100356	4
120	100356	4
121	100356	4
122	100356	4
123	100356	4
124	100356	4
125	100356	4
126	100356	4
127	100356	4
128	100356	4
129	100356	4
130	100356	4
131	100356	4
132	100356	4
133	100356	4
134	100356	4
135	100356	4
136	100356	4
137	100356	4
138	100356	4
139	100356	4
140	100356	4
141	100356	4
142	100356	4
143	100356	4
144	100356	4
145	100356	4
146	100356	4
147	100356	4
148	100356	4
149	100356	4
150	100356	4
151	100356	4
152	100356	4
153	100356	4
154	100356	4
155	100356	4
156	100356	4
157	100356	4
158	100356	4
159	100356	4
160	100356	4
161	100356	4
162	100356	4
163	100356	4
164	100356	4
165	100356	4
166	100356	4
167	100356	4
168	100356	4
169	100356	4
170	100356	4
171	100356	4
172	100356	4
173	100356	4
174	100356	4
175	100356	4
176	100356	4
177	100356	4
178	100356	4
179	100356	4
180	100356	4
181	100356	4
182	100356	4
183	100356	4
184	100356	4
185	100356	4
186	100356	4
187	100356	4
188	100356	4
189	100356	4
190	100356	4
191	100356	4
192	100356	4
193	100356	4
194	100356	4
195	100356	4
196	100356	4
197	100356	4
198	100356	4
199	100356	4
200	100356	4
201	100356	4
202	100356	4
203	100356	4
204	100356	4
205	100356	4
206	100356	4
207	100356	4
208	100356	4
209	100356	4
210	100356	4
211	100356	4
212	100356	4
213	100356	4
214	100356	4
215	100356	4
216	100356	4
217	100356	4
218	100356	4
219	100356	4
220	100356	4
221	100356	4
222	100356	4
223	100356	4
224	100356	4
225	100356	4
226	100356	4
227	100359	4
228	100359	4
229	100359	4
230	100359	4
231	100359	4
232	100359	4
233	100359	4
234	100359	4
235	100359	4
236	100359	4
237	100359	4
238	100359	4
239	100359	4
240	100359	4
241	100359	4
242	100359	4
243	100359	4
244	100359	4
245	100359	4
246	100359	4
247	100359	4
248	100359	4
249	100359	4
250	100359	4
251	100359	4
252	100359	4
253	100359	4
254	100359	4
255	100359	4
256	100359	4
257	100359	4
258	100359	4
259	100359	4
260	100359	4
261	100359	4
262	100359	4
263	100359	4
264	100359	4
265	100359	4
266	100359	4
267	100359	4
268	100359	4
269	100359	4
270	100359	4
271	100359	4
272	100359	4
273	100359	4
274	100359	4
275	100359	4
276	100359	4
277	100359	4
278	100359	4
279	100359	4
280	100359	4
281	100359	4
282	100359	4
283	100359	4
284	100359	4
285	100359	4
286	100359	4
287	100359	4
288	100359	4
289	100359	4
290	100359	4
291	100359	4
292	100359	4
293	100359	4
294	100359	4
295	100359	4
296	100359	4
297	100359	4
298	100359	4
299	100359	4
300	100359	4
301	100359	4
302	100359	4
303	100359	4
304	100359	4
305	100359	4
306	100359	4
307	100359	4
308	100359	4
309	100359	4
310	100359	4
311	100359	4
312	100359	4
313	100359	4
314	100359	4
315	100359	4
316	100359	4
317	100359	4
318	100359	4
319	100359	4
320	100359	4
321	100359	4
322	100359	4
323	100359	4
324	100359	4
325	100359	4
326	100359	4
327	100359	4
328	100359	4
329	100359	4
330	100359	4
331	100359	4
332	100359	4
333	100359	4
334	100359	4
335	100359	4
336	100359	4
337	100359	4
338	100359	4
339	100359	4
340	100358	4
341	100358	4
342	100358	4
343	100358	4
344	100358	4
345	100358	4
346	100358	4
347	100358	4
348	100358	4
349	100358	4
350	100358	4
351	100358	4
352	100358	4
353	100358	4
354	100358	4
355	100358	4
356	100358	4
357	100358	4
358	100358	4
359	100358	4
360	100358	4
361	100358	4
362	100358	4
363	100358	4
364	100358	4
365	100358	4
366	100358	4
367	100358	4
368	100358	4
369	100358	4
370	100358	4
371	100358	4
372	100358	4
373	100358	4
374	100358	4
375	100358	4
376	100358	4
377	100358	4
378	100358	4
379	100358	4
380	100358	4
381	100358	4
382	100358	4
383	100358	4
384	100358	4
385	100358	4
386	100358	4
387	100358	4
388	100358	4
389	100358	4
390	100358	4
391	100358	4
392	100358	4
393	100358	4
394	100358	4
395	100358	4
396	100358	4
397	100358	4
398	100358	4
399	100358	4
400	100358	4
401	100358	4
402	100358	4
403	100358	4
404	100358	4
405	100358	4
406	100358	4
407	100358	4
408	100358	4
409	100358	4
410	100358	4
411	100358	4
412	100358	4
413	100358	4
414	100358	4
415	100358	4
416	100358	4
417	100358	4
418	100358	4
419	100358	4
420	100358	4
421	100358	4
422	100358	4
423	100358	4
424	100358	4
425	100358	4
426	100358	4
427	100358	4
428	100358	4
429	100358	4
430	100358	4
431	100358	4
432	100358	4
433	100358	4
434	100358	4
435	100358	4
436	100358	4
437	100358	4
438	100358	4
439	100358	4
440	100358	4
441	100358	4
442	100358	4
443	100358	4
444	100358	4
445	100358	4
446	100358	4
447	100358	4
448	100358	4
449	100358	4
450	100358	4
451	100358	4
452	100358	4
453	100361	4
454	100361	4
455	100361	4
456	100361	4
457	100361	4
458	100361	4
459	100361	4
460	100361	4
461	100361	4
462	100361	4
463	100361	4
464	100361	4
465	100361	4
466	100361	4
467	100361	4
468	100361	4
469	100361	4
470	100361	4
471	100361	4
472	100361	4
473	100361	4
474	100361	4
475	100361	4
476	100361	4
477	100361	4
478	100361	4
479	100361	4
480	100361	4
481	100361	4
482	100361	4
483	100361	4
484	100361	4
485	100361	4
486	100361	4
487	100361	4
488	100361	4
489	100361	4
490	100361	4
491	100361	4
492	100361	4
493	100361	4
494	100361	4
495	100361	4
496	100361	4
497	100361	4
498	100361	4
499	100361	4
500	100361	4
501	100361	4
502	100361	4
503	100361	4
504	100361	4
505	100361	4
506	100361	4
507	100361	4
508	100361	4
509	100361	4
510	100361	4
511	100361	4
512	100361	4
513	100361	4
514	100361	4
515	100361	4
516	100361	4
517	100361	4
518	100361	4
519	100361	4
520	100361	4
521	100361	4
522	100361	4
523	100361	4
524	100361	4
525	100361	4
526	100361	4
527	100361	4
528	100361	4
529	100361	4
530	100361	4
531	100361	4
532	100361	4
533	100361	4
534	100361	4
535	100361	4
536	100361	4
537	100361	4
538	100361	4
539	100361	4
540	100361	4
541	100361	4
542	100361	4
543	100361	4
544	100361	4
545	100361	4
546	100361	4
547	100361	4
548	100361	4
549	100361	4
550	100361	4
551	100361	4
552	100361	4
553	100361	4
554	100361	4
555	100361	4
556	100361	4
557	100361	4
558	100361	4
559	100361	4
560	100361	4
561	100361	4
562	100361	4
563	100361	4
564	100361	4
565	100361	4
566	100360	4
567	100360	4
568	100360	4
569	100360	4
570	100360	4
571	100360	4
572	100360	4
573	100360	4
574	100360	4
575	100360	4
576	100360	4
577	100360	4
578	100360	4
579	100360	4
580	100360	4
581	100360	4
582	100360	4
583	100360	4
584	100360	4
585	100360	4
586	100360	4
587	100360	4
588	100360	4
589	100360	4
590	100360	4
591	100360	4
592	100360	4
593	100360	4
594	100360	4
595	100360	4
596	100360	4
597	100360	4
598	100360	4
599	100360	4
600	100360	4
601	100360	4
602	100360	4
603	100360	4
604	100360	4
605	100360	4
606	100360	4
607	100360	4
608	100360	4
609	100360	4
610	100360	4
611	100360	4
612	100360	4
613	100360	4
614	100360	4
615	100360	4
616	100360	4
617	100360	4
618	100360	4
619	100360	4
620	100360	4
621	100360	4
622	100360	4
623	100360	4
624	100360	4
625	100360	4
626	100360	4
627	100360	4
628	100360	4
629	100360	4
630	100360	4
631	100360	4
632	100360	4
633	100360	4
634	100360	4
635	100360	4
636	100360	4
637	100360	4
638	100360	4
639	100360	4
640	100360	4
641	100360	4
642	100360	4
643	100360	4
644	100360	4
645	100360	4
646	100360	4
647	100360	4
648	100360	4
649	100360	4
650	100360	4
651	100360	4
652	100360	4
653	100360	4
654	100360	4
655	100360	4
656	100360	4
657	100360	4
658	100360	4
659	100360	4
660	100360	4
661	100360	4
662	100360	4
663	100360	4
664	100360	4
665	100360	4
666	100360	4
667	100360	4
668	100360	4
669	100360	4
670	100360	4
671	100360	4
672	100360	4
673	100360	4
674	100360	4
675	100360	4
676	100360	4
677	100360	4
678	100360	4
679	100363	4
