id	type	route	dtime
100000001	521	2	23
100000002	521	2	1223
100000003	521	2	2423
100000004	521	2	3623
100000005	521	2	6023
100000006	521	3	701
100000007	521	3	2021
100000008	521	3	3341
100000009	521	3	4659
100000010	521	3	5979
100000011	521	4	813
100000012	521	4	2193
100000013	521	4	3573
100000014	521	4	4953
100000015	521	4	6213
100000016	521	5	1129
100000017	521	5	2929
100000018	521	5	4729
100000019	521	5	6529
100000020	521	6	156
100000021	521	6	1656
100000022	521	6	3156
100000023	521	6	4656
100000024	521	6	6156
100000025	521	10	527
100000026	521	10	1847
100000027	521	10	3167
100000028	521	10	4487
100000029	521	10	5807
100000030	521	10	7127
100000031	521	17	623
100000032	521	17	2063
100000033	521	17	3143
100000034	521	17	4223
100000035	521	17	5063
100000036	521	17	5903
100000037	521	17	6743
100000038	521	19	746
100000039	521	19	2846
100000040	521	19	4946
100000041	521	19	7106
100000042	521	20	668
100000043	521	20	1928
100000044	521	20	3188
100000045	521	20	6968
100000046	521	22	1172
100000047	521	22	2972
100000048	521	22	4772
100000049	521	22	6572
100000050	521	30	2896
100000051	521	30	7096
100000052	521	300037	2859
100000053	521	300037	3939
100000054	521	300037	5019
100000055	521	300037	6099
100000056	521	37	165
100000057	521	37	1245
100000058	521	37	2925
100000059	521	37	4245
100000060	521	37	5325
100000061	521	37	6405
100000062	521	100142	835
100000063	521	100142	2635
100000064	521	100142	4435
100000065	521	100142	6235
100000066	521	202001	322
100000067	521	202001	1762
100000068	521	202001	3202
100000069	521	202001	4642
100000070	521	202001	6082
100000071	521	103	3780
100000072	521	100	1620
100000073	521	100	3420
100000074	521	100	5220
100000075	521	100	7020
100000076	521	100100	1488
100000077	521	100100	3288
100000078	521	100100	5088
100000079	521	100100	7045
100000080	521	101	4808
100000081	521	101	5544
100000082	521	101	6444
100000083	521	300103	1380
100000084	521	300103	2580
100000085	521	110	728
100000086	521	110	2228
100000087	521	600101	2238
100000088	521	600101	6858
100000089	521	300661	1500
100000090	521	300661	1740
100000091	521	300661	1980
100000092	521	300661	2220
100000093	521	300661	2580
100000094	521	300661	2820
100000095	521	300661	3120
100000096	521	300661	3420
100000097	521	300661	3720
100000098	521	300661	4020
100000099	521	300661	4380
100000100	521	300661	4620
100000101	521	300661	4860
100000102	521	300661	5100
100000103	521	300661	5460
100000104	521	300661	5700
100000105	521	300661	6000
100000106	521	300661	6300
100000107	521	127	248
100000108	521	675	1037
100000109	521	675	1877
100000110	521	675	2717
100000111	521	675	3557
100000112	521	675	4397
100000113	521	675	5237
100000114	521	675	6077
100000115	521	675	6917
100000116	521	672	907
100000117	521	672	1687
100000118	521	672	2467
100000119	521	672	3187
100000120	521	672	3967
100000121	521	672	4747
100000122	521	672	5467
100000123	521	672	6247
100000124	521	672	7027
100000125	521	800101	984
100000126	521	800101	2408
100000127	521	800101	3608
100000128	521	100338	1034
100000129	521	100338	2894
100000130	521	100338	4754
100000131	521	100338	6614
100000132	521	653	1666
100000133	521	653	1966
100000134	521	653	2266
100000135	521	653	2566
100000136	521	653	2866
100000137	521	653	3226
100000138	521	653	3526
100000139	521	653	3826
100000140	521	653	4126
100000141	521	653	4426
100000142	521	653	4786
100000143	521	653	5086
100000144	521	653	5386
100000145	521	653	5686
100000146	521	653	5986
100000147	521	653	6346
100000148	521	653	6646
100000149	521	653	6946
100000150	521	171	2100
100000151	521	171	4500
100000152	521	652	180
100000153	521	652	2160
100000154	521	652	4140
100000155	521	652	6120
100000156	521	500101	6438
100000157	521	100670	1839
100000158	521	100670	2139
100000159	521	100670	2439
100000160	521	100670	2739
100000161	521	100670	3039
100000162	521	100670	3339
100000163	521	100670	3639
100000164	521	100670	3939
100000165	521	100670	4239
100000166	521	100670	4539
100000167	521	100670	4839
100000168	521	100670	5139
100000169	521	100670	5439
100000170	521	100670	5739
100000171	521	100670	6039
100000172	521	100670	6339
100000173	521	100670	6639
100000174	521	100670	6939
100000175	521	651	1952
100000176	521	651	3032
100000177	521	651	4112
100000178	521	651	5192
100000179	521	651	6272
100000180	521	100656	2160
100000181	521	100656	2400
100000182	521	100656	2820
100000183	521	100656	3060
100000184	521	100656	3300
100000185	521	100656	3540
100000186	521	100656	3780
100000187	521	100656	4020
100000188	521	100656	4260
100000189	521	100656	4500
100000190	521	100656	4680
100000191	521	100656	4920
100000192	521	100656	5160
100000193	521	100656	5400
100000194	521	100656	5640
100000195	521	100656	5880
100000196	521	100656	6120
100000197	521	100656	6360
100000198	521	100656	6540
100000199	521	100656	6780
100000200	521	100656	7020
100000201	521	641	780
100000202	521	641	1980
100000203	521	641	2580
100000204	521	641	3180
100000205	521	641	3780
100000206	521	641	4380
100000207	521	641	4800
100000208	521	641	5220
100000209	521	641	5640
100000210	521	641	6060
100000211	521	641	6480
100000212	521	641	6900
100000213	521	100661	1440
100000214	521	100661	1680
100000215	521	100661	1980
100000216	521	100661	2280
100000217	521	100661	2580
100000218	521	100661	2880
100000219	521	100661	3240
100000220	521	100661	3480
100000221	521	100661	3720
100000222	521	100661	3960
100000223	521	100661	4320
100000224	521	100661	4560
100000225	521	100661	4860
100000226	521	100661	5160
100000227	521	100661	5460
100000228	521	100661	5760
100000229	521	100661	6120
100000230	521	100661	6360
100000231	521	100661	6600
100000232	521	100661	6840
100000233	521	100661	7140
100000234	521	640	1200
100000235	521	640	1800
100000236	521	640	2220
100000237	521	640	2400
100000238	521	640	2820
100000239	521	640	3000
100000240	521	640	3420
100000241	521	640	3600
100000242	521	640	3960
100000243	521	640	4020
100000244	521	640	4380
100000245	521	640	4620
100000246	521	640	4800
100000247	521	640	4980
100000248	521	640	5160
100000249	521	640	5400
100000250	521	640	5580
100000251	521	640	5820
100000252	521	640	6000
100000253	521	640	6180
100000254	521	640	6360
100000255	521	640	6600
100000256	521	640	6780
100000257	521	640	7020
100000258	521	640	7200
100000259	521	100663	1680
100000260	521	100663	2400
100000261	521	100663	3060
100000262	521	100663	3720
100000263	521	100663	4380
100000264	521	100663	5100
100000265	521	100663	5760
100000266	521	100663	6420
100000267	521	100663	7080
100000268	521	642	884
100000269	521	642	1304
100000270	521	642	1724
100000271	521	642	2144
100000272	521	642	2564
100000273	521	642	2984
100000274	521	642	3404
100000275	521	642	3824
100000276	521	642	4244
100000277	521	642	4664
100000278	521	642	5084
100000279	521	642	5504
100000280	521	642	5924
100000281	521	642	6344
100000282	521	642	6764
100000283	521	642	7184
100000284	521	100651	2322
100000285	521	100651	3402
100000286	521	100651	4482
100000287	521	100651	5562
100000288	521	100651	6642
100000289	521	670	1169
100000290	521	670	1469
100000291	521	670	1769
100000292	521	670	2069
100000293	521	670	2369
100000294	521	670	2669
100000295	521	670	2969
100000296	521	670	3269
100000297	521	670	3569
100000298	521	670	3869
100000299	521	670	4169
100000300	521	670	4469
100000301	521	670	4769
100000302	521	670	5069
100000303	521	670	5369
100000304	521	670	5669
100000305	521	670	5969
100000306	521	670	6269
100000307	521	670	6569
100000308	521	670	6869
100000309	521	670	7169
100000310	521	671	1195
100000311	521	671	1555
100000312	521	671	1915
100000313	521	671	2275
100000314	521	671	2695
100000315	521	671	3115
100000316	521	671	3535
100000317	521	671	3895
100000318	521	671	4255
100000319	521	671	4615
100000320	521	671	5035
100000321	521	671	5455
100000322	521	671	5875
100000323	521	671	6235
100000324	521	671	6595
100000325	521	671	6955
100000326	521	100653	2174
100000327	521	100653	2474
100000328	521	100653	2774
100000329	521	100653	3074
100000330	521	100653	3374
100000331	521	100653	3734
100000332	521	100653	4034
100000333	521	100653	4334
100000334	521	100653	4634
100000335	521	100653	4934
100000336	521	100653	5294
100000337	521	100653	5594
100000338	521	100653	5894
100000339	521	100653	6194
100000340	521	100653	6494
100000341	521	100653	6854
100000342	521	100653	7154
100000343	521	100641	333
100000344	521	100641	1533
100000345	521	100641	2133
100000346	521	100641	2733
100000347	521	100641	3333
100000348	521	100641	3933
100000349	521	100641	4353
100000350	521	100641	4533
100000351	521	100641	5133
100000352	521	100641	5553
100000353	521	100641	5973
100000354	521	100641	6393
100000355	521	100641	6813
100000356	521	661	0
100000357	521	661	300
100000358	521	661	600
100000359	521	661	900
100000360	521	661	1200
100000361	521	661	6600
100000362	521	661	6900
100000363	521	663	641
100000364	521	663	1361
100000365	521	663	2021
100000366	521	663	2681
100000367	521	663	3341
100000368	521	663	4061
100000369	521	663	4721
100000370	521	663	5381
100000371	521	663	6041
100000372	521	663	6761
100000373	521	656	1808
100000374	521	656	2108
100000375	521	656	2528
100000376	521	656	2768
100000377	521	656	3008
100000378	521	656	3248
100000379	521	656	3488
100000380	521	656	3728
100000381	521	656	3968
100000382	521	656	4208
100000383	521	656	4388
100000384	521	656	4628
100000385	521	656	4868
100000386	521	656	5108
100000387	521	656	5348
100000388	521	656	5588
100000389	521	656	5828
100000390	521	656	6068
100000391	521	656	6248
100000392	521	656	6488
100000393	521	656	6728
100000394	521	656	6968
100000395	521	100675	1590
100000396	521	100675	2430
100000397	521	100675	3270
100000398	521	100675	4110
100000399	521	100675	4950
100000400	521	100675	5790
100000401	521	100675	6630
100000402	521	100672	1471
100000403	521	100672	2251
100000404	521	100672	3031
100000405	521	100672	3751
100000406	521	100672	4531
100000407	521	100672	5311
100000408	521	100672	6031
100000409	521	100672	6811
100000410	521	800007	2195
100000411	521	800007	3395
100000412	521	800007	4295
100000413	521	800007	5195
100000414	521	300338	1831
100000415	521	300338	3691
100000416	521	300338	5551
100000417	521	200671	1820
100000418	521	200671	2180
100000419	521	200671	2540
100000420	521	200671	2900
100000421	521	200671	3320
100000422	521	200671	3740
100000423	521	200671	4160
100000424	521	200671	4520
100000425	521	200671	4880
100000426	521	200671	5240
100000427	521	200671	5660
100000428	521	200671	6080
100000429	521	200671	6500
100000430	521	200671	6860
100000431	521	400101	4338
100000432	521	400101	5538
100000433	521	200652	1918
100000434	521	200652	3898
100000435	521	200652	5878
100000436	521	101001	1042
100000437	521	101001	2482
100000438	521	101001	3922
100000439	521	101001	5362
100000440	521	101001	6802
100000441	521	200101	679
100000442	521	200101	1939
100000443	521	200101	3139
100000444	521	700007	967
100000445	521	700007	6067
100000446	521	700007	6967
100000447	521	400007	5613
100000448	521	400007	6573
100000449	521	2001	411
100000450	521	2001	1851
100000451	521	2001	3291
100000452	521	2001	4731
100000453	521	2001	5991
100000454	521	200020	130
100000455	521	200020	1390
100000456	521	200020	2650
100000457	521	200020	3910
100000458	521	200020	5170
100000459	521	200020	6430
100000460	521	200021	1614
100000461	521	200021	3414
100000462	521	200021	5214
100000463	521	200021	7014
100000464	521	300030	554
100000465	521	300030	5354
100000466	521	200017	244
100000467	521	200017	1684
100000468	521	200017	2764
100000469	521	200017	3844
100000470	521	200017	4684
100000471	521	200017	5524
100000472	521	200017	6364
100000473	521	200017	7176
100000474	521	200018	1059
100000475	521	200018	2379
100000476	521	200018	3699
100000477	521	200018	5019
100000478	521	200018	6819
100000479	521	200019	1448
100000480	521	200019	3548
100000481	521	200019	5708
100000482	521	300007	699
100000483	521	300007	2499
100000484	521	300007	3399
100000485	521	300007	4299
100000486	521	300007	5199
100000487	521	300002	804
100000488	521	300002	2004
100000489	521	300002	3204
100000490	521	300002	4404
100000491	521	300002	5604
100000492	521	300002	6804
100000493	521	100037	1616
100000494	521	100037	7016
100000495	521	100030	196
100000496	521	100030	4996
100000497	521	100020	4448
100000498	521	100020	5708
100000499	521	100018	616
100000500	521	100018	2056
100000501	521	100018	3376
100000502	521	100018	4696
100000503	521	100018	6016
100000504	521	464	2160
100000505	521	464	4260
100000506	521	464	6360
100000507	521	465	2242
100000508	521	465	4342
100000509	521	465	6442
100000510	521	1001	1131
100000511	521	1001	2571
100000512	521	1001	4011
100000513	521	1001	5451
100000514	521	1001	6711
100000515	521	100987	423
100000516	521	100987	1323
100000517	521	100987	2729
100000518	521	100987	3629
100000519	521	100987	5429
100000520	521	100985	600
100000521	521	100985	2700
100000522	521	100990	2311
100000523	521	100990	6091
100000524	521	100010	98
100000525	521	100010	1418
100000526	521	100010	2738
100000527	521	100010	4058
100000528	521	100010	5378
100000529	521	100010	6698
100000530	521	100006	1300
100000531	521	100006	2800
100000532	521	100006	4300
100000533	521	100006	5800
100000534	521	100007	1599
100000535	521	100007	6099
100000536	521	100007	6999
100000537	521	100004	663
100000538	521	100004	2043
100000539	521	100004	3423
100000540	521	100004	4803
100000541	521	100004	6183
100000542	521	100005	926
100000543	521	100005	2726
100000544	521	100005	4526
100000545	521	100005	6291
100000546	521	100982	209
100000547	521	100982	809
100000548	521	100982	1409
100000549	521	100982	2009
100000550	521	100982	2609
100000551	521	100982	3209
100000552	521	100982	3809
100000553	521	100982	4409
100000554	521	100982	5009
100000555	521	100982	5609
100000556	521	100982	6209
100000557	521	100982	6809
100000558	521	100983	123
100000559	521	100983	4589
100000560	521	100003	1363
100000561	521	100003	2683
100000562	521	100003	4003
