route	period	frequency	offset
2	1	1200	0
2	2	2400	0
3	3	1320	0
3	4	1318	0
3	5	1320	0
4	6	1380	0
4	7	1260	0
5	8	1800	0
6	9	1500	0
10	10	1320	0
17	11	1440	0
17	12	1080	0
17	13	840	0
19	14	2100	0
19	15	2160	0
20	16	1260	0
20	17	3780	0
22	18	1800	0
30	20	4200	0
300037	21	1080	0
37	22	1080	0
37	23	1680	0
37	24	1320	0
37	25	1080	0
100142	27	1800	0
202001	28	1440	0
103	29	1	0
100	30	1800	0
100100	31	1800	0
100100	32	1957	0
101	33	736	0
101	34	900	0
300103	35	1200	0
110	36	1500	0
600101	37	4620	0
300661	38	240	0
300661	39	360	0
300661	40	240	0
300661	41	300	0
300661	42	360	0
300661	43	240	0
300661	44	360	0
300661	45	240	0
300661	46	300	0
127	47	1	0
675	48	840	0
672	49	780	0
672	50	720	0
672	51	780	0
672	52	720	0
672	53	780	0
800101	54	1424	0
800101	55	1200	0
100338	56	1860	0
653	57	300	0
653	58	360	0
653	59	300	0
653	60	360	0
653	61	300	0
653	62	360	0
653	63	300	0
171	64	2400	0
652	65	1980	0
500101	66	1	0
100670	67	300	0
651	68	1080	0
100656	69	240	0
100656	70	420	0
100656	71	240	0
100656	72	180	0
100656	73	240	0
100656	74	180	0
100656	75	240	0
641	76	1200	0
641	77	600	0
641	78	420	0
100661	79	240	0
100661	80	300	0
100661	81	360	0
100661	82	240	0
100661	83	360	0
100661	84	240	0
100661	85	300	0
100661	86	360	0
100661	87	240	0
100661	88	300	0
640	89	600	0
640	90	420	0
640	91	180	0
640	92	420	0
640	93	180	0
640	94	420	0
640	95	180	0
640	96	360	0
640	97	60	0
640	98	360	0
640	99	240	0
640	100	180	0
640	101	240	0
640	102	180	0
640	103	240	0
640	104	180	0
640	105	240	0
640	106	180	0
640	107	240	0
640	108	180	0
100663	109	720	0
100663	110	660	0
100663	111	720	0
100663	112	660	0
642	113	420	0
100651	114	1080	0
670	115	300	0
671	116	360	0
671	117	420	0
671	118	360	0
671	119	420	0
671	120	360	0
100653	121	300	0
100653	122	360	0
100653	123	300	0
100653	124	360	0
100653	125	300	0
100653	126	360	0
100653	127	300	0
100641	128	1200	0
100641	129	600	0
100641	130	420	0
100641	131	180	0
100641	132	600	0
100641	133	420	0
661	134	300	0
661	135	5400	0
661	136	300	0
663	137	720	0
663	138	660	0
663	139	720	0
663	140	660	0
663	141	720	0
656	142	300	0
656	143	420	0
656	144	240	0
656	145	180	0
656	146	240	0
656	147	180	0
656	148	240	0
100675	149	840	0
100672	150	780	0
100672	151	720	0
100672	152	780	0
100672	153	720	0
100672	154	780	0
800007	155	1200	0
800007	156	900	0
300338	157	1860	0
200671	158	360	0
200671	159	420	0
200671	160	360	0
200671	161	420	0
200671	162	360	0
400101	163	1200	0
200652	164	1980	0
101001	166	1440	0
200101	167	1260	0
200101	168	1200	0
700007	169	5100	0
700007	170	900	0
400007	171	960	0
2001	173	1440	0
2001	174	1260	0
200020	175	1260	0
200021	176	1800	0
300030	177	4800	0
200017	178	1440	0
200017	179	1080	0
200017	180	840	0
200017	181	812	0
200018	182	1320	0
200018	183	1800	0
200019	184	2100	0
200019	185	2160	0
300007	186	1800	0
300007	187	900	0
300002	188	1200	0
100037	190	5400	0
100030	192	4800	0
100020	193	1260	0
100018	194	1440	0
100018	195	1320	0
464	196	2100	0
465	197	2100	0
1001	198	1440	0
1001	199	1260	0
100987	200	900	0
100987	201	1406	0
100987	202	900	0
100987	203	1800	0
100985	204	2100	0
100990	205	3780	0
100010	206	1320	0
100006	207	1500	0
100007	208	4500	0
100007	209	900	0
100004	210	1380	0
100005	211	1800	0
100005	212	1765	0
100982	213	600	0
100983	214	4466	0
100003	215	1320	0
983	216	3600	0
100935	217	600	0
100935	218	300	0
100935	219	900	0
100935	220	1200	0
100464	221	2100	0
200022	18	1800	0
300021	176	1800	0
10000015	0	300	0
10000016	0	300	0
