route	sequence	link	stop	dwelltime
2	1	17730	0	0
2	2	105223	1	650
2	3	105220	0	0
2	4	118458	0	0
2	5	105236	1	5044
2	6	105239	0	0
2	7	105233	1	2743
2	8	105138	1	863
2	9	105303	0	0
2	10	105299	0	0
2	11	105305	0	0
2	12	116602	0	0
2	13	105287	1	5209
2	14	105318	0	0
2	15	114722	1	657
3	1	118601	0	0
3	2	118600	0	0
3	3	116370	0	0
3	4	104870	0	0
3	5	104887	1	5498
3	6	104888	0	0
3	7	104607	0	0
3	8	105179	0	0
3	9	105177	0	0
3	10	105178	0	0
3	11	118373	0	0
3	12	114512	1	784
3	13	114454	0	0
3	14	105167	0	0
3	15	105205	0	0
3	16	105208	0	0
3	17	117729	0	0
3	18	105137	0	0
3	19	118190	0	0
3	20	18192	1	5556
3	21	18193	0	0
3	22	18195	0	0
3	23	18462	0	0
3	24	18194	0	0
3	25	115584	0	0
3	26	115585	1	590
3	27	115586	1	592
3	28	105215	1	593
3	29	115886	1	594
3	30	118219	0	0
3	31	104284	1	4657
3	32	118234	0	0
3	33	106230	0	0
3	34	6214	0	0
3	35	106233	1	596
3	36	118518	0	0
3	37	106234	0	0
3	38	115778	1	1042
3	39	106199	1	598
3	40	118516	0	0
3	41	116214	0	0
3	42	106244	1	599
3	43	115777	0	0
3	44	118528	0	0
3	45	106236	0	0
3	46	118532	1	5353
3	47	118369	1	5634
3	48	106167	0	0
3	49	106284	1	602
3	50	116217	0	0
3	51	115776	1	603
3	52	118418	0	0
3	53	118420	0	0
3	54	106282	1	604
4	1	104871	1	2107
4	2	104894	0	0
4	3	118319	1	2110
4	4	104891	0	0
4	5	104611	1	2112
4	6	105188	1	2113
4	7	118448	0	0
4	8	105185	1	2114
4	9	105181	0	0
4	10	105171	0	0
4	11	105205	0	0
4	12	105208	0	0
4	13	118440	0	0
4	14	105201	1	924
4	15	118172	1	925
4	16	105142	1	926
4	17	118450	0	0
4	18	105275	1	927
4	19	116041	0	0
4	20	105268	1	928
4	21	105253	0	0
4	22	114720	1	929
5	1	105177	0	0
5	2	118375	1	578
5	3	105180	0	0
5	4	114516	1	579
5	5	105173	0	0
5	6	105192	1	580
5	7	105190	1	581
5	8	105166	0	0
5	9	105210	0	0
5	10	115885	1	584
5	11	105140	1	585
5	12	118458	0	0
5	13	105236	1	5044
5	14	105239	0	0
5	15	5240	0	0
5	16	5217	0	0
5	17	18197	0	0
5	18	115584	0	0
5	19	115585	1	590
5	20	115586	1	592
5	21	105215	1	593
5	22	115886	1	594
5	23	118219	0	0
5	24	104284	1	4657
5	25	118234	0	0
5	26	106230	0	0
5	27	6214	0	0
5	28	106233	1	596
5	29	118518	0	0
5	30	106234	0	0
5	31	115778	1	1042
5	32	106199	1	598
5	33	118516	0	0
5	34	116214	1	1043
5	35	106244	0	0
5	36	116247	0	0
5	37	115710	0	0
5	38	106205	0	0
5	39	106265	0	0
5	40	106266	0	0
5	41	106264	1	3955
5	42	106260	0	0
5	43	106267	0	0
5	44	6179	1	1046
5	45	116526	0	0
5	46	116548	0	0
5	47	118415	0	0
5	48	118417	0	0
6	1	17730	0	0
6	2	105223	1	650
6	3	105220	0	0
6	4	118458	0	0
6	5	105236	1	5044
6	6	105239	0	0
6	7	105233	1	2743
6	8	105138	1	863
6	9	105303	0	0
6	10	105299	0	0
6	11	105305	0	0
6	12	105298	1	1569
6	13	105282	0	0
6	14	105317	0	0
10	1	118375	1	578
10	2	105180	0	0
10	3	114516	1	579
10	4	105173	0	0
10	5	105192	1	580
10	6	105190	1	581
10	7	105166	0	0
10	8	105210	0	0
10	9	115885	1	584
10	10	105140	1	585
10	11	118458	0	0
10	12	105236	1	5044
10	13	105239	0	0
10	14	105233	1	2743
10	15	105138	1	863
10	16	105303	0	0
10	17	105299	0	0
10	18	105305	0	0
10	19	105298	1	1569
10	20	105285	0	0
10	21	118554	1	1570
10	22	105286	1	1571
10	23	115803	0	0
10	24	104290	1	1572
10	25	116582	0	0
10	26	106183	0	0
10	27	106321	0	0
10	28	6173	1	3743
10	29	115712	0	0
10	30	113458	0	0
10	31	106355	0	0
10	32	118424	1	4144
10	33	118410	1	2493
10	34	106354	0	0
17	1	117729	0	0
17	2	105137	0	0
17	3	118190	1	654
17	4	105234	0	0
17	5	5233	0	0
17	6	5239	1	507
