Iter	RMSE	DA	AV	TR	veh trips	gap	time
1	43.18940961023686	187	0	13	187	0.9140128956046653	0.2
2	0.8339477615987687	187	0	13	187	0.999493542669032	0.2
3	0.25865443183419135	187	0	13	187	0.8833534756725316	0.1
4	0.1565427368065496	187	0	13	187	0.9735872235872094	0.1
5	0.0753654897152599	187	0	13	186	0.8822510822510722	0.1
6	0.08075100230506373	187	0	13	187	0.8357335733573337	0.1
7	0.04469688164473488	187	0	13	186	0.961374893680882	0.1
8	0.017119273632616026	187	0	13	188	1.0692148760330449	0.2
9	0.021405792219344487	187	0	13	186	0.9581249387074563	0.1
10	0.010098711811467168	187	0	13	188	0.9808744540936618	0.1
11	0.014249488299721877	187	0	13	186	0.7340897652925764	0.1
12	0.022268491122142527	187	0	13	187	0.8423937871174021	0.1
13	0.02141182972366535	187	0	13	187	0.953392703765635	0.1
14	0.011939510311463062	187	0	13	189	0.9515805201475374	0.1
15	0.006082883213667395	187	0	13	186	0.8840408088904995	0.1
