Origin	Dest	Dep_time	Park	Repositioning	Transit	Minimum
1	5	0	5.133	2147483647.000	1.104	1.104
1	5	900	6.562	2147483647.000	2.516	2.516
1	5	1800	8.462	2147483647.000	4.416	4.416
1	5	2700	10.342	2147483647.000	6.316	6.316
1	5	3600	12.262	2147483647.000	8.216	8.216
1	5	4500	14.162	2147483647.000	10.116	10.116
1	5	5400	16.063	2147483647.000	12.016	12.016
1	5	6300	17.963	2147483647.000	13.916	13.916
5	1	0	2147483652.000	2147483647.000	6441332.196	6441332.196
5	1	900	2147483652.000	2147483647.000	6441331.396	6441331.396
5	1	1800	2147483652.000	2147483647.000	6441330.597	6441330.597
5	1	2700	2147483652.000	2147483647.000	6441329.797	6441329.797
5	1	3600	2147483652.000	2147483647.000	6441328.998	6441328.998
5	1	4500	2147483652.000	2147483647.000	6441328.198	6441328.198
5	1	5400	2147483652.000	2147483647.000	6441327.399	6441327.399
5	1	6300	2147483652.000	2147483647.000	6441326.599	6441326.599
