Origin	Dest	Dep_time	Park	Transit	Minimum
1	5	0	70.500	4.545	4.545
1	5	900	18.000	4.545	4.545
1	5	1800	18.000	4.545	4.545
1	5	2700	12.709	4.545	4.545
1	5	3600	18.000	4.545	4.545
1	5	4500	18.000	4.545	4.545
1	5	5400	18.000	4.545	4.545
1	5	6300	18.000	4.545	4.545
5	1	0	0.000	2147483197.000	0.000
5	1	900	0.000	2147482297.000	0.000
5	1	1800	0.000	2147481397.000	0.000
5	1	2700	0.000	2147480497.000	0.000
5	1	3600	0.000	2147479597.000	0.000
5	1	4500	0.000	2147478697.000	0.000
5	1	5400	0.000	2147477797.000	0.000
5	1	6300	0.000	2147476897.000	0.000
