Iter	RMSE	DA	AV	TR	veh trips	gap	time
1	22.81496435465799	175	0	12	174	2.0085763293310643	0.1
2	0.571404973604324	175	0	12	174	2.0637898686679175	0.1
3	0.19033790278389853	175	0	12	175	2.363636363636381	0.1
4	0.09522386907042475	175	0	12	174	1.694915254237288	0.1
5	0.06093204719847543	175	0	12	175	2.363636363636381	0.1
6	0.03759745556196354	175	0	12	174	1.509433962264151	0.1
7	0.02682458050661788	175	0	12	176	2.0408163265306123	0.1
8	0.020118435379963558	175	0	12	174	2.247191011235955	0.1
9	0.015647671962193754	175	0	12	174	2.376965140123053	0.1
10	0.01256071461199261	175	0	12	174	5.054477357848146	0.1
11	0.010870932184949922	175	0	12	175	3.4706083390294693	0.1
12	0.008995186946634327	175	0	12	175	3.088210490807911	0.1
13	0.007183629072163047	175	0	12	176	2.1686135093956502	0.1
14	0.0061573963475692476	175	0	12	175	3.3997972287935467	0.1
15	0.005432880569829811	175	0	12	173	2.924156822461931	0.1
