Iter	Step	Moved	Gap %	AEC	TSTT	Trips	Non-exit	time
1	1.0000	174	100.00%	12.5	0.6	174	1	0.04
2	0.5000	81	26.79%	5.1	0.9	174	1	0.02
3	0.3333	56	13.04%	2.8	1.0	174	1	0.01
4	0.2500	45	9.20%	1.9	1.0	174	1	0.01
5	0.2000	47	6.67%	1.3	1.0	174	1	0.01
6	0.1667	29	4.96%	1.0	0.9	174	1	0.01
7	0.1429	27	4.44%	0.9	0.9	174	1	0.01
8	0.1250	27	3.89%	0.8	0.9	174	1	0.02
9	0.1111	20	3.20%	0.6	0.9	174	1	0.01
10	0.1000	13	3.20%	0.6	0.9	174	1	0.01
11	0.0909	14	2.85%	0.6	0.9	174	1	0.01
12	0.0833	14	2.85%	0.6	0.9	174	1	0.01
13	0.0769	13	2.68%	0.5	0.9	174	1	0.01
14	0.0714	15	1.97%	0.4	0.9	174	1	0.01
15	0.0667	13	1.80%	0.3	0.9	174	1	0.01
16	0.0625	8	1.80%	0.3	0.9	174	1	0.01
17	0.0588	8	1.44%	0.3	0.9	174	1	0.01
18	0.0556	10	1.44%	0.3	0.9	174	1	0.04
19	0.0526	10	1.44%	0.3	0.9	174	1	0.01
20	0.0500	8	1.26%	0.2	0.9	174	1	0.01
21	0.0476	7	1.26%	0.2	0.9	174	1	0.01
22	0.0455	6	1.26%	0.2	0.9	174	1	0.06
23	0.0435	6	1.08%	0.2	0.9	174	1	0.02
24	0.0417	6	1.08%	0.2	0.9	174	1	0.01
25	0.0400	5	1.08%	0.2	0.9	174	1	0.05
26	0.0385	7	1.08%	0.2	0.9	174	1	0.05
27	0.0370	4	1.08%	0.2	0.9	174	1	0.02
28	0.0357	4	0.90%	0.2	0.9	174	1	0.01
29	0.0345	6	0.90%	0.2	0.9	174	1	0.00
30	0.0333	6	0.90%	0.2	0.9	174	1	0.00
31	0.0323	4	0.90%	0.2	0.9	174	1	0.00
32	0.0313	2	0.90%	0.2	0.9	174	1	0.00
33	0.0303	6	0.90%	0.2	0.9	174	1	0.00
34	0.0294	6	0.90%	0.2	0.9	174	1	0.00
35	0.0286	5	0.72%	0.1	0.9	174	1	0.00
36	0.0278	5	0.72%	0.1	0.9	174	1	0.00
37	0.0270	6	0.72%	0.1	0.9	174	1	0.01
38	0.0263	3	0.72%	0.1	0.9	174	1	0.01
39	0.0256	8	0.72%	0.1	0.9	174	1	0.03
40	0.0250	5	0.72%	0.1	0.9	174	1	0.03
41	0.0244	7	0.72%	0.1	0.9	174	1	0.01
42	0.0238	4	0.72%	0.1	0.9	174	1	0.00
43	0.0233	4	7.29%	1.4	0.9	174	1	0.00
44	0.0227	6	0.72%	0.1	0.9	174	1	0.00
45	0.0222	0	0.72%	0.1	0.9	174	1	0.00
46	0.0217	2	0.72%	0.1	0.9	174	1	0.00
47	0.0213	2	0.72%	0.1	0.9	174	1	0.00
48	0.0208	0	0.72%	0.1	0.9	174	1	0.00
49	0.0204	4	0.72%	0.1	0.9	174	1	0.00
50	0.0200	3	0.72%	0.1	0.9	174	1	0.00
51	0.0196	2	0.72%	0.1	0.9	174	1	0.01
52	0.0192	2	0.72%	0.1	0.9	174	1	0.01
53	0.0189	2	0.72%	0.1	0.9	174	1	0.00
54	0.0185	5	0.72%	0.1	0.9	174	1	0.01
55	0.0182	3	0.72%	0.1	0.9	174	1	0.01
56	0.0179	6	0.72%	0.1	0.9	174	1	0.01
57	0.0175	0	0.72%	0.1	0.9	174	1	0.00
58	0.0172	1	0.72%	0.1	0.9	174	1	0.00
59	0.0169	2	0.72%	0.1	0.9	174	1	0.00
60	0.0167	3	0.72%	0.1	0.9	174	1	0.00
61	0.0164	4	0.72%	0.1	0.9	174	1	0.00
62	0.0161	0	0.72%	0.1	0.9	174	1	0.00
63	0.0159	7	0.72%	0.1	0.9	174	1	0.00
64	0.0156	7	0.72%	0.1	0.9	174	1	0.00
65	0.0154	4	0.72%	0.1	0.9	174	1	0.00
66	0.0152	2	7.15%	1.4	0.9	174	1	0.00
67	0.0149	3	0.72%	0.1	0.9	174	1	0.00
68	0.0147	4	7.15%	1.4	0.9	174	1	0.00
69	0.0145	5	0.90%	0.2	0.9	174	1	0.00
70	0.0143	2	0.90%	0.2	0.9	174	1	0.00
71	0.0141	4	0.72%	0.1	0.9	174	1	0.00
72	0.0139	3	0.72%	0.1	0.9	174	1	0.00
73	0.0137	2	0.72%	0.1	0.9	174	1	0.00
74	0.0135	3	0.72%	0.1	0.9	174	1	0.00
75	0.0133	4	0.72%	0.1	0.9	174	1	0.00
76	0.0132	0	0.72%	0.1	0.9	174	1	0.00
77	0.0130	2	0.72%	0.1	0.9	174	1	0.00
78	0.0128	2	0.72%	0.1	0.9	174	1	0.00
79	0.0127	2	0.72%	0.1	0.9	174	1	0.00
80	0.0125	2	0.72%	0.1	0.9	174	1	0.00
81	0.0123	1	7.15%	1.4	0.9	174	1	0.00
82	0.0122	1	0.72%	0.1	0.9	174	1	0.00
83	0.0120	1	0.72%	0.1	0.9	174	1	0.00
84	0.0119	1	0.72%	0.1	0.9	174	1	0.00
85	0.0118	3	0.72%	0.1	0.9	174	1	0.00
86	0.0116	2	0.72%	0.1	0.9	174	1	0.00
87	0.0115	1	0.72%	0.1	0.9	174	1	0.00
88	0.0114	2	0.72%	0.1	0.9	174	1	0.00
89	0.0112	1	0.72%	0.1	0.9	174	1	0.00
90	0.0111	1	0.72%	0.1	0.9	174	1	0.00
91	0.0110	2	0.72%	0.1	0.9	174	1	0.00
92	0.0109	2	0.72%	0.1	0.9	174	1	0.00
93	0.0108	1	0.72%	0.1	0.9	174	1	0.00
94	0.0106	3	0.72%	0.1	0.9	174	1	0.00
95	0.0105	0	0.72%	0.1	0.9	174	1	0.00
96	0.0104	1	0.72%	0.1	0.9	174	1	0.00
97	0.0103	2	0.72%	0.1	0.9	174	1	0.00
98	0.0102	3	0.72%	0.1	0.9	174	1	0.00
99	0.0101	2	0.72%	0.1	0.9	174	1	0.00
TSTT	0.2	hr
Avg. TT	0.06	min/veh

Energy:	0.0
VMT:	0.00
MPG:	NaN

HV TT:	0.06	min
AV TT:	0.00	min

DA TT:	0.06	min
Bus TT:	0.00	min
Bus TT ratio:	NaN
CPU time: 1.0s
