source	dest	time
100374	5178	6.0
5178	200374	6.0
100403	5571	6.0
5571	200403	6.0
100403	5577	6.0
5577	200403	6.0
100849	5458	6.0
5458	200849	6.0
100404	5579	6.0
5579	200404	6.0
100404	5584	6.6
5584	200404	6.0
10602	200373	6.0
100372	12736	9.0
12736	200372	6.0
100372	10601	6.0
10601	200372	6.0
100849	5472	6.0
5472	200849	12.0
13085	200373	6.0
100377	5733	6.0
5733	200377	6.0
100407	5729	6.0
5729	200407	6.0
100407	11030	6.0
11030	200407	6.0
100406	10489	6.0
10489	200406	6.0
100406	5747	6.0
5747	200406	6.0
100377	5152	6.0
5152	200377	6.0
100382	5771	6.0
5771	200382	6.0
100384	5777	6.0
5777	200384	6.0
100383	5788	6.0
5788	200383	6.0
100385	5198	6.0
5198	200385	6.0
100356	6188	6.0
6188	200356	6.0
100358	11085	6.0
11085	200358	6.0
100358	6147	6.75
6147	200358	6.0
100386	6322	6.0
6322	200386	6.0
100362	6337	6.0
6337	200362	6.0
100362	6344	6.0
6344	200362	6.0
100375	13048	6.0
13048	200375	6.0
100375	6347	6.0
6347	200375	6.0
100375	13049	6.0
13049	200375	6.0
6174	200359	6.0
100376	6345	6.0
6345	200376	6.0
6183	200356	6.0
100361	12043	6.0
12043	200361	6.0
100363	6312	0.0
6312	200363	6.0
100345	6166	6.0
6166	200345	6.0
100363	6315	6.0
6315	200363	6.0
5587	201408	6.0
101410	13051	0.0
13051	201410	6.0
101410	13058	0.0
13058	201410	6.0
101410	6351	6.0
6351	201410	6.0
101410	10607	0.0
10607	201410	6.0
101413	5214	6.0
5214	201413	6.0
5106	201413	6.0
101413	10610	6.0
10610	201413	6.0
100344	6169	6.0
6169	200344	6.0
100362	6338	0.0
6338	200362	0.0
12266	200359	0.0
6175	200358	0.0
100361	6334	6.0
6334	200361	6.0
100356	6184	0.0
6184	200356	0.0
100406	11384	6.0
11384	200406	6.0
100362	6342	6.0
6342	200362	6.0
100377	13023	6.0
13023	200377	6.0
100377	11533	6.0
11533	200377	6.0
100405	5745	7.111111111111111
5745	200405	6.0
10487	200404	6.0
100372	12737	6.0
12737	200372	6.0
100380	13130	6.0
13130	200380	6.0
100405	13131	0.0
13131	200405	6.0
100405	13132	6.0
13132	200405	6.0
100405	13133	6.0
13133	200405	6.0
100381	13134	6.0
13134	200381	6.0
100381	13135	6.0
13135	200381	6.0
100381	13136	6.0
13136	200381	6.0
100381	13137	6.0
13137	200381	0.0
100380	13138	6.0
13138	200380	6.0
100380	13139	6.0
13139	200380	6.0
100382	13140	6.0
13140	200382	6.0
100382	13141	6.0
13141	200382	0.0
100382	13142	6.0
13142	200382	6.0
100379	13143	6.0
13143	200379	6.0
100379	13145	6.0
13145	200379	6.0
100378	13146	6.0
13146	200378	6.0
100378	13147	6.0
13147	200378	6.0
100378	13148	6.0
13148	200378	6.0
100378	13149	6.0
13149	200378	6.0
100380	13150	6.0
13150	200380	6.0
100849	13151	6.0
13151	200849	6.0
101408	13152	6.0
13152	201408	6.0
101408	13153	6.0
13153	201408	6.0
100373	13154	6.0
13154	200373	6.0
101409	13155	6.0
13155	201409	6.0
101409	13156	6.0
13156	201409	6.0
100374	13157	6.0
13157	200374	6.0
100374	13158	6.0
13158	200374	6.0
100375	13159	6.0
13159	200375	6.0
100376	13160	6.0
13160	200376	6.0
100377	13161	6.0
13161	200377	6.0
100407	13162	6.0
13162	200407	6.0
101408	13163	6.0
13163	201408	6.0
100383	13164	0.0
13164	200383	0.0
100374	13165	6.0
13165	200374	6.0
101409	13166	0.0
13166	201409	6.0
100385	13167	6.0
13167	200385	6.0
100376	13168	6.0
13168	200376	6.0
101413	13169	6.0
13169	201413	6.0
100376	13170	6.0
13170	200376	6.0
100386	13171	6.0
13171	200386	6.0
100359	13172	6.0
13172	200359	6.0
100362	13173	6.0
13173	200362	6.0
100359	13174	0.0
13174	200359	0.0
100359	13175	6.0
13175	200359	6.0
100356	13176	6.0
13176	200356	6.0
100360	13177	6.0
13177	200360	6.0
100360	13178	7.2
13178	200360	6.0
100360	13179	0.0
13179	200360	6.0
100360	13180	6.0
13180	200360	6.0
100361	13181	6.0
13181	200361	6.0
100356	13183	6.0
13183	200356	6.0
100345	13184	6.0
13184	200345	6.0
5469	225469	6.0
5545	225545	6.0
