Cost	avg origin J	max dist
0.0	3.4883449208811905	410
0.05	3.4897462231232064	58
0.1	3.490745869952292	51
0.15	3.4916028996014945	48
0.2	3.492368379015847	45
0.25	3.493070835526296	43
0.3	3.493730646142257	42
0.35	3.494351489512719	40
0.4	3.4949228326291712	39
0.45	3.495474850380589	38
0.5	3.4959956848185088	37
0.55	3.496496313650583	37
0.6	3.496977826093132	36
0.65	3.4974423298805624	35
0.7	3.497884179667497	35
0.75	3.4983011744068984	34
0.8	3.498701320775211	34
0.85	3.499094207690324	33
0.9	3.499477112239328	33
0.95	3.4998490138642313	32
1.0	3.5002082064151994	32
1.05	3.5005531364960545	32
1.1	3.500897014946131	31
1.15	3.5012331080490755	31
1.2	3.501560583139283	31
1.25	3.50188729056363	30
1.3	3.5022113252391702	30
1.35	3.5025236898984042	30
1.4	3.502829048713428	30
1.45	3.5031182762113207	29
1.5	3.50339668746068	29
1.55	3.503666013400846	29
1.6	3.503932748443996	29
1.65	3.5041966853848505	29
1.7	3.504446186329145	29
1.75	3.504690740713076	29
1.8	3.5049281650409476	29
1.85	3.5051650340276437	29
1.9	3.505400217277928	29
1.95	3.505634887425591	29
2.0	3.5058679470636633	29
2.05	3.5060951667116127	29
2.1	3.5063165001857572	28
2.15	3.506535094368792	28
2.2	3.506753688551822	28
2.25	3.5069704552068908	28
2.3	3.507183525901851	28
2.35	3.507391498343929	28
2.4	3.5075932644381895	28
2.45	3.50779111328662	28
2.5	3.5079872313513807	28
2.55	3.508183349416137	28
2.6	3.5083794674808986	28
2.65	3.5085755855456573	28
2.7	3.508771703610418	28
2.75	3.508967821675177	28
2.8	3.509163131049066	28
2.85	3.5093509903918783	28
2.9	3.509538849734682	28
2.95	3.5097267090774933	28
3.0	3.5099135983255407	28
3.05	3.510099508175628	28
3.1	3.5102838245295565	28
3.15	3.5104672105657397	28
3.2	3.510650596601922	28
3.25	3.510818252686735	28
3.3	3.5109852383193747	28
3.35	3.511151835896642	28
3.4	3.5113115252894045	28
3.45	3.5114711344334277	28
3.5	3.511630743577458	28
3.55	3.511790352721485	28
3.6	3.511949961865511	28
3.65	3.5121095710095385	28
3.7	3.512269017652817	28
3.75	3.512426406819947	28
3.8	3.512582893197583	28
3.85	3.5127393795752195	28
3.9	3.5128958659528577	28
3.95	3.513052352330495	28
4.0	3.513208838708131	28
4.05	3.5133653250857653	28
4.1	3.5135172561851844	28
4.15	3.5136659280688614	28
4.2	3.5138145192249444	28
4.25	3.5139629599490187	28
4.3	3.514111400673091	28
4.35	3.5142558582049768	28
4.4	3.514400198828163	28
4.45	3.514544539451348	28
4.5	3.5146888685888467	28
4.55	3.514825911390226	28
4.6	3.5149564567991773	28
4.65	3.5150870022081264	28
4.7	3.5152175476170813	28
4.75	3.5153474740215422	28
4.8	3.515476506134434	28
4.85	3.5156045644015643	28
4.9	3.5157298156282883	27
4.95	3.515853716117579	27
5.0	3.515977616606869	27
