p	max_dist
0.01	207
0.02	115
0.03	82
0.04	67
0.05	63
0.06	56
0.07	51
0.08	48
0.09	45
0.1	43
0.11	41
0.12	40
0.13	38
0.14	37
0.15	36
0.16	36
0.17	35
0.18	34
0.19	34
0.2	33
0.21	33
0.22	32
0.23	32
0.24	32
0.25	32
0.26	32
0.27	32
0.28	32
0.29	32
0.3	32
0.31	32
0.32	31
0.33	31
0.34	31
0.35	31
0.36	31
0.37	31
0.38	30
0.39	30
0.4	30
0.41	30
0.42	30
0.43	30
0.44	30
0.45	29
0.46	29
0.47	29
0.48	29
0.49	29
0.5	29
0.51	29
0.52	29
0.53	29
0.54	29
0.55	28
0.56	28
0.57	28
0.58	28
0.59	28
0.6	28
0.61	28
0.62	28
0.63	28
0.64	28
0.65	28
0.66	28
0.67	27
0.68	27
0.69	27
0.7	27
0.71	27
0.72	27
0.73	27
0.74	27
0.75	27
0.76	27
0.77	27
0.78	27
0.79	27
0.8	27
0.81	27
0.82	27
0.83	26
0.84	26
0.85	26
0.86	26
0.87	26
0.88	26
0.89	26
0.9	26
0.91	26
0.92	26
0.93	26
0.94	26
0.95	26
0.96	26
0.97	26
0.98	25
0.99	25
1.0	25
