p	no reserve J	 reserve J
0.01	6.171929444014519	4.225967828315464
0.02	4.837073898644163	3.77495040835759
0.03	4.3910090672446	3.651854637666867
0.04	4.167198324565776	3.599294473941437
0.05	4.032329142111709	3.5713501495318876
0.06	3.9419584244121877	3.5542893273630716
0.07	3.8770470529935905	3.542776493618077
0.08	3.8280656625211176	3.5345054461019005
0.09	3.789723526633658	3.528277772207555
0.1	3.7588430685787104	3.523431192176046
0.11	3.733400385551717	3.5195517571409556
0.12	3.7120319265080526	3.5163575696592826
0.13	3.693573916284493	3.513704252343855
0.14	3.6774587682247204	3.511451961790357
0.15	3.6633771349493505	3.509512771444765
0.16	3.650958154057297	3.50782158514632
0.17	3.6399166009973016	3.5063442684446198
0.18	3.630030036135687	3.5050631942931054
0.19	3.6211022136920223	3.503884909152751
0.2	3.613025650485927	3.502856625407909
0.21	3.6056821867923468	3.501907717267235
0.22	3.598975233463549	3.5010773575783256
0.23	3.5928247339140427	3.500280113589361
0.24	3.587163737672844	3.4995998793596486
0.25	3.581936014461472	3.4989441188917314
0.26	3.5770811368535553	3.498326138820017
0.27	3.572567489263572	3.4977937154975245
0.28	3.568332298380408	3.497290441710009
0.29	3.564326190573738	3.496794618948188
0.3	3.5605906160983074	3.4963417705672106
0.31	3.5570993918385265	3.4959451219478956
0.32	3.553829313828939	3.4955779530408755
0.33	3.5507585692649233	3.4951976898192716
0.34	3.5478702687641146	3.4948413748925393
0.35	3.5451494060407542	3.49451145314924
0.36	3.542581820393215	3.4942178183320625
0.37	3.540154985964316	3.4939567432610446
0.38	3.5378573011596344	3.493687969298196
0.39	3.535677841620067	3.493410941439401
0.4	3.53360882339327	3.493161354946217
0.41	3.531642089309229	3.492921556834802
0.42	3.5297702569577405	3.4926922962099365
0.43	3.527986652321634	3.492485082477977
0.44	3.526285191098078	3.4922980683006837
0.45	3.5246603405780297	3.4921274779001577
0.46	3.5231070519775343	3.491944264695522
0.47	3.5216207088667164	3.4917419600453377
0.48	3.520197082011373	3.4915567294690955
0.49	3.5188322897526274	3.491387314264953
0.5	3.5175191917186304	3.4912325585658546
0.51	3.5162557383081605	3.4910913989604393
0.52	3.5150419399576665	3.490960534142855
0.53	3.5138749515494228	3.49082185260904
0.54	3.5127521382949607	3.490694948379135
0.55	3.5116710566391585	3.4905735560174054
0.56	3.5106294372125695	3.490461057430685
0.57	3.5096229300528794	3.490358404968053
0.58	3.508650741157637	3.4902346530871413
0.59	3.507712387318499	3.4900933480206233
0.6	3.5068061432152806	3.489961967382082
0.61	3.505930396532996	3.4898399740280888
0.62	3.5050836388823408	3.4897268629125335
0.63	3.5042644575857773	3.4896221583766778
0.64	3.503471528234308	3.4895254117032266
0.65	3.5027036079317604	3.4894361989048788
0.66	3.5019595291534538	3.4893541187213866
0.67	3.501238194154829	3.489273834580408
0.68	3.500538569873295	3.4891789459821916
0.69	3.4998596832729816	3.489092666084588
0.7	3.499200617087922	3.4890145319592074
0.71	3.4985601982266017	3.4889440995823557
0.72	3.4979376445588892	3.4888539212085714
0.73	3.4973325296962616	3.4887565490673653
0.74	3.4967441190231785	3.4886678480979367
0.75	3.496171291596252	3.4885779615714876
0.76	3.495613106882668	3.4884323740188896
0.77	3.4950699474489477	3.4882949638716694
0.78	3.494541178544272	3.488164886757334
0.79	3.4940261994962865	3.4880443746227807
0.8	3.4935244416204383	3.4879326151731695
0.81	3.4930353662784035	3.4878293358899928
0.82	3.492558463073706	3.4877346382029484
0.83	3.492093248173716	3.487643119903094
0.84	3.4916392627484254	3.4875545739198923
0.85	3.4911960715170545	3.487474157268929
0.86	3.4907632613946498	3.4873957697053775
0.87	3.490340440231316	3.487270541711612
0.88	3.4899272356375755	3.487156202359098
0.89	3.489523293889797	3.4870526573440634
0.9	3.489128278910256	3.4869598218246143
0.91	3.4887418713168126	3.4868776201177596
0.92	3.48836376753767	3.4868059854312192
0.93	3.4879936789870043	3.486744859628111
0.94	3.487631331297656	3.4866941900297648
0.95	3.4872764636074023	3.4865919858715193
0.96	3.486928827895542	3.486360585507674
0.97	3.486470486560074	3.4861345411825777
0.98	3.4859542910329635	3.485893208961269
0.99	3.485444670309463	3.485444670309463
1.0	3.48494141414142	3.48494141414142
