n	tau	r	J	s	rho
null	0	null	0.0	null	null
13136	0	0	3.1949312791475175	690	0
13136	1	0	3.2055979458141843	null	0
13136	2	0	3.216264612480851	null	0
13136	0	5471	3.196597945814184	690	0
13136	1	5471	3.207264612480851	null	0
13136	2	5471	3.2179312791475176	null	0
13136	0	12735	3.196597945814184	690	0
13136	1	12735	3.207264612480851	null	0
13136	2	12735	3.2179312791475176	null	0
13136	0	10488	3.196597945814184	690	0
13136	1	10488	3.207264612480851	null	0
13136	2	10488	3.2179312791475176	null	0
13136	0	5464	3.196597945814184	690	0
13136	1	5464	3.207264612480851	null	0
13136	2	5464	3.2179312791475176	null	0
13136	0	5741	3.196597945814184	690	0
13136	1	5741	3.207264612480851	null	0
13136	2	5741	3.2179312791475176	null	0
13136	0	13075	3.196597945814184	690	0
13136	1	13075	3.207264612480851	null	0
13136	2	13075	3.2179312791475176	null	0
13136	0	5584	3.196597945814184	690	0
13136	1	5584	3.207264612480851	null	0
13136	2	5584	3.2179312791475176	null	0
13136	0	12670	3.196597945814184	690	0
13136	1	12670	3.207264612480851	null	0
13136	2	12670	3.2179312791475176	null	0
13136	0	10782	3.196597945814184	690	0
13136	1	10782	3.207264612480851	null	0
13136	2	10782	3.2179312791475176	null	0
13136	0	12669	3.196597945814184	690	0
13136	1	12669	3.207264612480851	null	0
13136	2	12669	3.2179312791475176	null	0
13136	0	10487	3.196597945814184	690	0
13136	1	10487	3.207264612480851	null	0
13136	2	10487	3.2179312791475176	null	0
13136	0	13080	3.196597945814184	690	0
13136	1	13080	3.207264612480851	null	0
13136	2	13080	3.2179312791475176	null	0
13136	0	5458	3.196597945814184	690	0
13136	1	5458	3.207264612480851	null	0
13136	2	5458	3.2179312791475176	null	0
13136	0	10778	3.196597945814184	690	0
13136	1	10778	3.207264612480851	null	0
13136	2	10778	3.2179312791475176	null	0
13136	0	13082	3.196597945814184	690	0
13136	1	13082	3.207264612480851	null	0
13136	2	13082	3.2179312791475176	null	0
13136	0	10777	3.196597945814184	690	0
13136	1	10777	3.207264612480851	null	0
